asn|aspp_average|moreSpecific_average|selective_average
4637|62.55|7.68|93.58
4648||17.59|62.16
4657|94.23|9.54|78.35
4658|100.0||
4671|||83.5
4673|100.0|33.33|67.0
4678|100.0||
4680|100.0||
4685|91.04|50.0|68.75
4693|100.0||
4694|70.66|25.21|42.35
4697|100.0||
4704|100.0||
4713||20.0|75.0
4721||50.0|
4725|||50.0
4739||10.0|58.05
4741|100.0|50.0|50.0
4750||19.28|90.0
4755|30.68|8.53|88.2
4758||7.34|100.0
4760|98.25||11.0
4761|49.16|37.29|100.0
4762|46.12||33.0
4764|56.09|19.66|96.19
4765||25.0|
4766||4.47|87.7
4768|||50.0
4770|100.0|34.85|50.0
4773|9.42|5.99|96.53
4775|30.51|3.39|99.5
4776||50.0|100.0
4777|||100.0
4780|23.47|29.36|74.29
4785|79.08|14.45|89.6
4787||28.29|46.28
4788|75.76|25.0|85.53
4795||49.52|63.05
4796|51.33||50.0
4800||22.27|98.01
4802|18.0|16.19|
4804|61.11|4.92|100.0
4808|0.42|1.02|100.0
4809|1.7|0.88|99.96
4811||10.36|100.0
4812||4.56|
4817|94.34|22.27|71.08
4818|100.0|33.22|44.21
4821||14.29|
4826||20.37|79.87
4837|98.44|3.27|82.66
4842||20.91|83.03
4844|50.74|27.2|83.22
4847|||100.0
4851|100.0||57.8
4858|100.0||
4859|100.0||
4864||16.67|
4878|||89.13
4893|||50.0
4901||33.33|62.75
4906|||50.0
4922||37.13|43.75
4927||50.0|67.24
4986|100.0||
5009|100.0||
5017|||70.0
5050|75.98||78.6
5056||6.18|51.87
5065||13.54|83.25
5068|||100.0
5078|100.0||50.0
5080|100.0||
5081|100.0||
5087||36.93|100.0
5132|||25.0
5377||45.27|97.14
5378||1.31|100.0
5381|100.0||
5384||0.1|
5385|51.44|29.84|79.36
5391||50.0|100.0
5392|100.0||
5394|100.0||
5398|||83.5
5400||12.5|62.0
5401||33.33|
5404|100.0||
5405|100.0|5.23|100.0
5408||50.0|67.0
5409|||50.0
5410|100.0||50.0
5411|33.33|33.33|100.0
5413|99.42|29.73|55.46
5416||30.68|87.71
5418|100.0||
5420|98.21||61.11
5421|51.11|49.85|46.45
5431|100.0||
5432|96.08||67.0
5438|36.2|33.82|98.04
5459|||100.0
5464|100.0||62.5
5466||50.0|93.56
5482||38.89|61.33
5483|66.67|32.87|70.67
5500|||100.0
5501|58.38||72.78
5505|100.0||
5511|33.67|21.39|85.44
5517|100.0|33.33|
5518||24.76|32.0
5520|100.0|50.0|
5521|||50.0
5524|100.0||76.4
5538||52.6|100.0
5539|100.0||60.42
5541|||100.0
5547|50.0||50.0
5550|100.0||
5555||38.25|
5564|100.0||
5577|100.0||
5578|||67.13
5580|100.0|12.32|93.48
5588|98.67|5.82|99.55
5602|||50.0
5603|24.18|16.68|90.69
5605||46.18|63.29
5606|98.14|19.05|76.28
5607|100.0|11.27|83.66
5610|95.9|24.49|55.87
5615|100.0||
5617|75.76|30.92|34.57
5619|84.93||50.0
5630|100.0||
5631||33.33|75.0
5645|25.0|27.08|65.15
5650||28.25|59.24
5662||48.84|54.46
5669|||25.0
5670|19.82|14.2|58.1
5692||50.0|64.0
5713|66.03|49.79|95.15
5715|36.15||41.33
5723|100.0||
5738|100.0||
5744||29.07|100.0
5766|||100.0
5769|79.54|19.63|64.18
5774|50.0|50.0|98.68
5786||48.72|46.95
5794|100.0||
5927|||86.0
6025|34.31||100.0
6057|100.0|4.03|63.98
6062|100.0||
6071|||45.67
6075|92.86||97.26
6079||11.01|89.76
6082|100.0||
6083|100.0|50.0|
6099|100.0||
6106||50.0|50.0
6109|||100.0
6122||26.68|49.24
6124|100.0||
6128|97.85|20.95|73.43
6129|||50.0
6130||18.17|93.46
6134|20.9|16.67|100.0
6142||28.4|52.5
6145|98.61|11.11|11.0
6147|12.23|7.56|99.99
6167|8.28|11.71|81.59
6181||33.33|37.64
6185||1.79|
6188|100.0||
6192|25.0|32.72|67.54
6204|100.0||50.0
6206||8.71|100.0
6223||25.0|
6233|78.07||98.86
6262||10.61|
6263|100.0|50.0|100.0
6295|54.76||100.0
6301|||100.0
6315|||75.63
6327|56.91|8.03|98.08
6336|29.05||99.33
6356||50.0|
6360|87.5|20.0|100.0
6363|||100.0
6364|51.91|15.55|100.0
6366|100.0||
6373|||100.0
6377|100.0||
6400||16.67|100.0
6405|96.97||50.0
6406|100.0||
6421||50.0|
6423|||33.0
6424|100.0|14.58|100.0
6428|60.67|36.24|93.27
6429||30.95|30.71
6431||10.95|
6453|96.06|16.89|92.47
6461||3.02|98.57
6473|||50.39
6481|100.0||
6488|93.59|16.67|83.0
6498|100.0|50.0|50.0
6503|24.18|25.06|88.19
6509||50.0|54.55
6510|||50.0
6517||10.09|20.48
6521|||50.0
6528|90.91|14.06|80.75
6535||50.0|
6556|||84.55
6568|78.47|41.87|56.65
6576|33.33|39.49|53.4
6580|100.0||
6584||33.99|100.0
6596|100.0||
6597|100.0||41.06
6619||19.58|97.48
6621|32.16|2.82|100.0
6623|66.67|35.72|64.74
6629|||50.0
6643|||100.0
6648||50.0|50.0
6649||24.81|73.18
6653|||50.0
6661|68.18|50.0|50.0
6663|100.0||59.26
6677||50.0|77.27
6695|100.0||33.0
6696|100.0|33.33|67.66
6697|40.0|25.03|86.32
6700|50.0||75.0
6702|74.24|50.0|94.74
6713|85.53|27.92|72.2
6718|28.93|12.6|49.77
6720|||90.0
6723|100.0||
6724|95.71|26.49|94.55
6730||9.21|83.63
6734|100.0||
6735|||59.82
6736|29.27|25.6|73.56
6739|||56.8
6753|||50.0
6761||33.33|
6762||33.33|93.8
6768|94.32||88.0
6774||49.23|78.3
6775|53.62|25.0|78.87
6786|||60.0
6799||10.01|98.33
6802|100.0||
6805|100.0|7.38|80.58
6807|100.0||
6810|5.26|19.19|44.38
6819|100.0||
6829|71.88||
6830|0.8|22.87|99.56
6838||6.55|
6848|17.01||49.05
6855|100.0|50.0|75.11
6866||38.09|94.8
6871|100.0|33.91|33.0
6876|100.0|47.22|56.46
6878|70.37||67.0
6881||36.11|100.0
6883|100.0||
6886|100.0||
6893|100.0|47.4|39.18
6895|||53.08
6898|100.0||
6900||50.0|50.0
6908|||32.12
6910|||54.55
6913||50.0|50.0
6921|64.5|15.02|92.61
6922|100.0||
6939|66.98|4.97|99.53
6966||47.92|75.0
6968|||61.1
6984||5.14|71.86
6994|99.76||18.14
7004|33.33|25.02|64.8
7015|||100.0
7018|56.43|3.62|78.6
7029|1.96|9.33|92.46
7034|93.1||
7040|||100.0
7046|5.78|2.91|100.0
7048||43.14|93.88
7049|100.0||
7063|12.53|17.6|86.41
7065|100.0||50.0
7078|100.0||
7087||24.05|
7131||5.88|17.92
7133|89.18||50.41
7138|||100.0
7151|100.0||
7155||25.0|74.75
7160|7.32||100.0
7162||36.29|82.28
7175|41.21|19.7|96.3
7181|||50.0
7195|14.46|13.14|98.73
7203|92.59||65.64
7212|75.0||100.0
7215|||100.0
7219|100.0||
7247|100.0||50.0
7280|65.4|25.0|
7287||12.51|100.0
7296||25.0|96.43
7303||5.83|44.09
7324|100.0||
7342|||100.0
7345|100.0||
7349|10.61||99.9
7352|||50.0
7363||50.0|100.0
7381||16.67|53.86
7385|100.0||68.18
7415|100.0||
7438|100.0||
7459|42.34|24.05|85.11
7468|27.27|9.18|
7470|47.62|20.8|62.78
7473||13.24|88.32
7474|87.49|27.37|43.81
7477|80.52|14.09|89.32
7480||20.0|100.0
7489||6.17|100.0
7492|||71.71
7496|||70.0
7497|97.37|1.42|56.08
7500|100.0||50.0
7503|50.93|50.0|50.0
7506|20.81||100.0
7514|100.0||
7522|100.0||
7530|100.0||50.0
7532|100.0||
7539|||59.21
7543|22.78|21.15|92.9
7545|56.18|5.17|99.01
7546||40.47|100.0
7552|21.71|11.11|99.96
7565|100.0||
7568|100.0||83.71
7575|81.81|9.18|72.42
7587||11.11|
7590|||90.16
7594|93.23|48.48|69.02
7595|100.0|20.0|20.0
7598|100.0||
7600||49.44|
7602|100.0|41.11|70.9
7603|||100.0
7604|75.0|25.0|50.0
7628|62.26|9.71|48.07
7629|87.48|20.0|100.0
7630|100.0||
7632||17.81|84.99
7633|2.5|10.59|99.98
7634|64.29||91.67
7641||20.0|100.0
7642||12.39|91.68
7643|100.0|11.11|
7650|100.0||
7654|95.0||
7660|86.45|23.19|100.0
7664|||68.57
7667|||33.0
7671|50.0||50.0
7674|100.0||
7679|||71.21
7682|100.0||
7687||50.0|50.0
7693|100.0|50.0|100.0
7701|||100.0
7713|77.74|3.04|88.51
7719|40.0|27.22|100.0
7720|66.67|50.0|96.15
7721|31.3||92.76
7726||34.36|99.57
7738|86.39|6.89|84.69
7743|19.48|28.69|95.18
7752||35.54|46.82
7753||35.58|52.92
7754|9.2||100.0
7764|61.92|33.24|75.53
7767|95.83||65.15
7774|100.0||
7782|||50.0
7784|||50.0
7786|27.87|16.39|100.0
7794||33.33|100.0
7795||50.0|61.76
7806|||50.0
7819|||54.72
7828|66.67|36.84|69.59
7829||50.0|
7830||50.0|50.0
7843||13.57|64.89
7850||29.58|73.28
7859|||100.0
7861|24.3||
7862|25.49|44.98|57.19
7871|||53.12
7872|100.0||
7896|100.0||
7908||9.12|26.56
7922||7.82|65.75
7979|27.39|5.26|99.45
7991|||74.19
7992|83.33||43.62
8001||28.53|82.32
8008|87.31|0.26|100.0
8015||50.0|64.16
8038|24.91||100.0
8047||17.85|81.94
8053|81.8|14.29|65.76
8068|||100.0
8071||32.76|100.0
8075|77.78|18.35|98.07
8092||45.45|50.0
8095|||75.0
8100|18.09|4.74|100.0
8103|24.39|39.4|83.07
8111|87.76|33.84|98.77
8121||18.92|82.55
8145||40.77|99.31
8147|100.0||
8148|100.0||
8151|2.23|9.08|86.12
8190|100.0|50.0|82.76
8193||16.72|
8194|62.32|50.0|100.0
8201|||26.6
8208|56.9|50.0|85.44
8211||28.39|100.0
8218||6.25|89.02
8220||1.35|95.33
8224|100.0|50.0|51.0
8226|100.0||
8245|||53.32
8251|100.0||
8262|100.0|10.0|70.0
8264|100.0|50.0|
8265|33.33|33.66|99.51
8267||50.0|
8271|100.0||
8280|95.11|7.12|49.2
8283|100.0|5.41|97.02
8298|33.33|32.55|90.72
8301||50.0|50.0
8302||16.2|74.61
