#type|date|observed_ases|use_aspp
internet|20150715|9962|1030
internet|20150815|10062|1034
internet|20150915|10143|1048
internet|20151015|10352|1077
internet|20151115|10573|1087
internet|20151215|10773|1090
internet|20160115|10884|1113
internet|20160215|10884|1113
internet|20160315|11287|1161
internet|20160415|11382|1154
internet|20160515|11551|1185
internet|20160615|11679|1212
internet|20160715|11879|1239
internet|20160815|12000|1242
internet|20160915|12125|1260
internet|20161015|12296|1258
internet|20161115|12382|1292
internet|20161215|12603|1314
internet|20170115|12663|1317
internet|20170215|12921|1333
internet|20170315|13081|1357
internet|20170415|13081|1357
internet|20170515|13307|1379
internet|20170615|13521|1391
internet|20170715|13521|1391
internet|20170815|13860|1426
internet|20170915|13860|1426
internet|20171015|14064|1468
internet|20171115|14454|1531
internet|20171215|14459|1562
internet|20180115|14575|1552
internet|20180215|14727|1596
internet|20180315|14800|1810
internet|20180415|14949|1643
internet|20180515|15133|1669
internet|20180615|15376|1719
internet|20180715|15733|1786
internet|20180815|15733|1786
internet|20180915|15815|1788
internet|20181015|15975|1790
internet|20181115|16113|1834
internet|20181215|16367|1888
internet|20190115|16440|1902
internet|20190215|16440|1902
internet|20190315|16680|1978
internet|20190415|16814|2015
internet|20190515|17074|2095
internet|20190615|17195|2125
internet|20190715|17195|2125
internet|20190815|17559|2176
internet|20190915|17559|2176
internet|20191015|18064|2246
internet|20191115|18202|2293
internet|20191215|18400|2309
internet|20200115|18680|2361
internet|20200215|18853|2410
internet|20200315|19006|2271
internet|20200415|19404|2523
internet|20200515|19655|2545
internet|20200615|19702|2526
internet|20200715|20218|2592
internet|20200815|20214|2754
internet|20200915|20696|2882
internet|20201015|20766|2845
internet|20201115|20972|2779
internet|20201215|21250|2932
internet|20210115|21437|2959
internet|20210215|21756|2915
internet|20210315|21975|2973
internet|20210415|22224|3024
internet|20210515|22496|3123
internet|20210615|23009|3239
internet|20210715|22923|3183
internet|20210815|23130|3335
internet|20210915|23452|3192
internet|20211015|23508|3361
internet|20211115|23631|3340
internet|20211215|23805|3307
internet|20220115|23991|3447
internet|20220215|24180|3320
internet|20220315|24478|3515
internet|20220415|24545|3434
internet|20220515|24663|3505
internet|20220615|24821|3636
internet|20220715|25096|3642
internet|20220815|25398|3751
internet|20220915|25521|3821
internet|20221015|25608|3846
internet|20221115|25881|3891
internet|20221215|26130|3960
internet|20230115|26288|4000
internet|20230215|26541|4104
internet|20230315|27016|4067
internet|20230415|27025|4225
internet|20230515|27176|4299
internet|20230615|27237|4359
internet|20230715|27354|4395
internet|20230815|27759|4415
internet|20230915|28212|4594
internet|20231015|28128|4608
internet|20231115|28148|4636
internet|20231215|28215|4723
internet|20240115|28443|4742
internet|20240215|28707|4785
internet|20240315|28858|4850
internet|20240415|29078|4937
internet|20240515|29283|4999
internet|20240615|29405|5040
