region|date|tam_1|tam_2|tam_3|tam_4plus
arin|20211115|223|109|98|99
arin|20211215|210|108|95|102
arin|20220115|220|110|96|106
arin|20220215|209|110|89|107
arin|20220315|226|113|89|111
arin|20220415|209|108|92|105
arin|20220515|209|112|94|108
arin|20220615|209|119|93|106
arin|20220715|206|110|91|106
arin|20220815|220|119|88|110
arin|20220915|219|120|92|112
arin|20221015|210|120|97|115
arin|20221115|216|119|97|115
arin|20221215|216|117|102|112
arin|20230115|212|116|106|110
arin|20230215|216|113|101|109
arin|20230315|211|113|102|108
arin|20230415|225|116|104|113
arin|20230515|242|117|105|112
arin|20230615|249|115|103|115
arin|20230715|246|116|104|113
arin|20230815|240|118|100|111
arin|20230915|254|124|111|117
arin|20231015|239|127|111|128
arin|20231115|241|125|110|126
arin|20231215|243|128|116|122
arin|20240115|245|130|114|117
arin|20240215|244|135|111|121
arin|20240315|236|134|118|122
arin|20240415|244|140|117|124
arin|20240515|243|141|111|125
arin|20240615|243|144|107|127
internet|20140615|335|216|157|142
internet|20140715|341|219|165|154
internet|20140815|341|227|163|153
internet|20140915|352|214|159|143
internet|20141015|353|210|164|142
internet|20141115|352|208|165|164
internet|20141215|352|203|164|162
internet|20150115|364|218|175|163
internet|20150215|364|218|175|163
internet|20150315|362|224|177|181
internet|20150415|366|232|175|187
internet|20150515|367|233|179|192
internet|20150615|374|246|187|200
internet|20150715|397|251|184|198
internet|20150815|395|250|195|194
internet|20150915|397|253|200|198
internet|20151015|400|255|214|208
internet|20151115|395|263|222|207
internet|20151215|403|260|215|212
internet|20160115|418|271|219|205
internet|20160215|418|271|219|205
internet|20160315|441|284|226|210
internet|20160415|445|273|230|206
internet|20160515|444|281|245|215
internet|20160615|447|291|256|218
internet|20160715|454|292|263|230
internet|20160815|470|282|263|227
internet|20160915|472|281|276|231
internet|20161015|468|288|270|232
internet|20161115|500|290|278|224
internet|20161215|513|286|281|234
internet|20170115|513|286|276|242
internet|20170215|511|289|286|247
internet|20170315|526|292|289|250
internet|20170415|526|292|289|250
internet|20170515|516|317|286|260
internet|20170615|537|316|278|260
internet|20170715|537|316|278|260
internet|20170815|561|313|292|260
internet|20170915|561|313|292|260
internet|20171015|558|324|303|283
internet|20171115|591|340|307|293
internet|20171215|606|351|321|284
internet|20180115|606|351|321|284
internet|20180215|612|359|326|299
internet|20180315|612|359|326|299
internet|20180415|636|364|330|313
internet|20180515|644|367|343|315
internet|20180615|654|399|352|314
internet|20180715|673|409|373|331
internet|20180815|673|409|373|331
internet|20180915|676|413|364|335
internet|20181015|671|410|373|336
internet|20181115|660|437|374|363
internet|20181215|684|445|393|366
internet|20190115|676|458|396|373
internet|20190215|676|458|396|373
internet|20190315|722|478|390|389
internet|20190415|738|473|401|404
internet|20190515|758|483|432|422
internet|20190615|780|498|438|409
internet|20190715|780|498|438|409
internet|20190815|802|513|445|416
internet|20190915|802|513|445|416
internet|20191015|822|535|459|431
internet|20191115|841|549|461|443
internet|20191215|838|566|475|431
internet|20200115|872|571|468|450
internet|20200215|894|582|474|460
internet|20200315|854|545|455|417
internet|20200415|932|600|489|503
internet|20200515|920|615|500|511
internet|20200615|939|605|485|497
internet|20200715|970|621|489|513
internet|20200815|970|657|621|507
internet|20200915|1026|685|638|534
internet|20201015|1006|709|603|527
internet|20201115|1023|681|532|543
internet|20201215|1070|688|608|566
internet|20210115|1059|720|613|569
internet|20210215|1064|731|546|576
internet|20210315|1110|725|551|589
internet|20210415|1112|740|564|609
internet|20210515|1178|752|579|615
internet|20210615|1227|771|621|621
internet|20210715|1221|747|615|601
internet|20210815|1232|768|702|635
internet|20210915|1201|755|635|602
internet|20211015|1266|765|676|656
internet|20211115|1282|766|663|630
internet|20211215|1238|781|655|633
internet|20220115|1295|822|685|646
internet|20220215|1241|792|629|659
internet|20220315|1313|824|683|697
internet|20220415|1266|826|658|685
internet|20220515|1288|851|679|688
internet|20220615|1368|882|681|706
internet|20220715|1393|854|676|720
internet|20220815|1424|900|695|734
internet|20220915|1441|916|709|756
internet|20221015|1432|934|722|760
internet|20221115|1477|931|713|771
internet|20221215|1493|968|729|771
internet|20230115|1500|954|752|795
internet|20230215|1564|970|770|801
internet|20230315|1541|995|744|788
internet|20230415|1613|1002|783|829
internet|20230515|1638|1011|821|831
internet|20230615|1656|1004|813|887
internet|20230715|1679|1011|834|873
internet|20230815|1694|1031|798|893
internet|20230915|1742|1077|847|929
internet|20231015|1731|1071|866|942
internet|20231115|1764|1055|849|970
internet|20231215|1788|1053|888|996
internet|20240115|1806|1084|866|987
internet|20240215|1804|1117|864|1001
internet|20240315|1826|1136|885|1005
internet|20240415|1860|1138|919|1022
internet|20240515|1873|1181|900|1047
internet|20240615|1868|1180|925|1069
lacnic|20140615|7|11|7|8
lacnic|20140715|7|11|7|8
lacnic|20140815|7|13|6|9
lacnic|20140915|5|15|6|9
lacnic|20141015|5|15|6|9
lacnic|20141115|6|11|9|12
lacnic|20141215|9|13|11|9
lacnic|20150115|9|13|11|9
lacnic|20150215|9|13|11|9
lacnic|20150315|10|12|12|10
lacnic|20150415|11|11|12|10
lacnic|20150515|14|15|10|14
lacnic|20150615|14|15|10|14
lacnic|20150715|15|12|11|12
lacnic|20150815|14|13|14|12
lacnic|20150915|14|13|14|12
lacnic|20151015|10|17|19|11
