#region|date|observed_ases|use_aspp
lacnic|20150615|1035|53
lacnic|20150715|1065|50
lacnic|20150815|1109|53
lacnic|20150915|1159|50
lacnic|20151015|1217|57
lacnic|20151115|1277|63
lacnic|20151215|1368|63
lacnic|20160115|1411|66
lacnic|20160215|1411|66
lacnic|20160315|1495|67
lacnic|20160415|1544|75
lacnic|20160515|1576|87
lacnic|20160615|1632|85
lacnic|20160715|1718|97
lacnic|20160815|1750|99
lacnic|20160915|1786|104
lacnic|20161015|1802|104
lacnic|20161115|1838|106
lacnic|20161215|1903|118
lacnic|20170115|1936|114
lacnic|20170215|2051|114
lacnic|20170315|2102|128
lacnic|20170415|2102|128
lacnic|20170515|2184|147
lacnic|20170615|2224|140
lacnic|20170715|2224|140
lacnic|20170815|2350|144
lacnic|20170915|2350|144
lacnic|20171015|2435|156
lacnic|20171115|2598|178
lacnic|20171215|2585|181
lacnic|20180115|2605|184
lacnic|20180215|2666|191
lacnic|20180315|2711|281
lacnic|20180415|2762|202
lacnic|20180515|2821|213
lacnic|20180615|2918|243
lacnic|20180715|3034|262
lacnic|20180815|3034|262
lacnic|20180915|3060|256
lacnic|20181015|3123|272
lacnic|20181115|3199|291
lacnic|20181215|3299|314
lacnic|20190115|3355|332
lacnic|20190215|3355|332
lacnic|20190315|3425|352
lacnic|20190415|3473|349
lacnic|20190515|3590|399
lacnic|20190615|3665|420
lacnic|20190715|3665|420
lacnic|20190815|3859|436
lacnic|20190915|3859|436
lacnic|20191015|4067|477
lacnic|20191115|4135|480
lacnic|20191215|4222|479
lacnic|20200115|4336|487
lacnic|20200215|4424|511
lacnic|20200315|4506|518
lacnic|20200415|4718|552
lacnic|20200515|4855|580
lacnic|20200615|4896|579
lacnic|20200715|5125|603
lacnic|20200815|5116|618
lacnic|20200915|5403|684
lacnic|20201015|5457|698
lacnic|20201115|5561|716
lacnic|20201215|5689|751
lacnic|20210115|5799|769
lacnic|20210215|5899|783
lacnic|20210315|6013|795
lacnic|20210415|6129|845
lacnic|20210515|6234|897
lacnic|20210615|6428|953
lacnic|20210715|6419|943
lacnic|20210815|6517|983
lacnic|20210915|6642|991
lacnic|20211015|6666|1027
lacnic|20211115|6721|1010
lacnic|20211215|6815|1031
lacnic|20220115|6833|1053
lacnic|20220215|6914|1060
lacnic|20220315|7042|1104
lacnic|20220415|7074|1112
lacnic|20220515|7118|1153
lacnic|20220615|7151|1186
lacnic|20220715|7229|1225
lacnic|20220815|7322|1233
lacnic|20220915|7399|1279
lacnic|20221015|7476|1304
lacnic|20221115|7555|1345
lacnic|20221215|7614|1372
lacnic|20230115|7641|1377
lacnic|20230215|7697|1447
lacnic|20230315|7810|1455
lacnic|20230415|7830|1508
lacnic|20230515|7896|1541
lacnic|20230615|7925|1571
