as_type|date|from1to24|from25to49|from50to74|from75to100
hosting|20210915|100|84|111|499
hosting|20211015|99|86|117|484
hosting|20211115|96|85|116|499
hosting|20211215|99|91|114|473
hosting|20220115|104|94|122|502
hosting|20220215|100|100|119|460
hosting|20220315|103|94|117|514
hosting|20220415|102|92|109|498
hosting|20220515|99|103|115|489
hosting|20220615|107|101|119|519
hosting|20220715|104|108|122|492
hosting|20220815|118|106|120|529
hosting|20220915|116|110|120|538
hosting|20221015|114|104|126|537
hosting|20221115|111|105|123|534
hosting|20221215|111|106|129|537
hosting|20230115|120|110|126|541
hosting|20230215|136|105|123|555
hosting|20230315|125|113|132|526
hosting|20230415|131|109|126|556
hosting|20230515|139|105|124|573
hosting|20230615|140|100|120|585
hosting|20230715|140|100|131|575
hosting|20230815|145|94|125|578
hosting|20230915|147|110|145|581
hosting|20231015|153|98|152|587
hosting|20231115|145|106|145|585
hosting|20231215|157|108|147|601
hosting|20240115|144|110|153|584
hosting|20240215|152|113|158|588
hosting|20240315|161|112|149|608
hosting|20240415|158|121|154|629
hosting|20240515|163|114|161|618
hosting|20240615|160|127|152|630
internet|20140615|30|48|79|695
internet|20140715|33|51|83|716
internet|20140815|32|47|86|723
internet|20140915|32|45|91|703
internet|20141015|29|51|81|711
internet|20141115|32|50|87|723
internet|20141215|31|49|88|716
internet|20150115|31|53|89|750
internet|20150215|31|53|89|750
internet|20150315|33|50|96|769
internet|20150415|39|53|93|779
internet|20150515|40|57|91|786
internet|20150615|41|62|96|810
internet|20150715|41|63|94|835
internet|20150815|41|64|93|839
internet|20150915|47|55|95|854
internet|20151015|47|63|102|868
internet|20151115|53|60|110|867
internet|20151215|57|52|105|879
internet|20160115|58|62|102|894
internet|20160215|58|62|102|894
internet|20160315|62|69|108|925
internet|20160415|60|76|117|904
internet|20160515|61|76|118|933
internet|20160615|64|79|121|951
internet|20160715|63|89|124|966
internet|20160815|61|84|125|976
internet|20160915|58|79|125|976
internet|20161015|60|85|129|987
internet|20161115|68|86|143|998
internet|20161215|77|87|141|1012
internet|20170115|77|84|138|1021
internet|20170215|82|87|143|1024
internet|20170315|83|99|148|1030
internet|20170415|83|99|148|1030
internet|20170515|83|99|148|1030
internet|20170615|88|98|155|1053
internet|20170715|94|106|157|1072
internet|20170815|94|106|157|1072
internet|20170915|108|109|163|1090
internet|20171015|108|109|163|1090
internet|20171115|113|116|174|1131
internet|20171215|113|128|175|1149
internet|20180115|120|133|171|1131
internet|20180215|122|131|183|1163
internet|20180315|132|148|205|1329
internet|20180415|122|140|171|1212
internet|20180515|123|142|185|1220
internet|20180615|138|135|189|1258
internet|20180715|152|156|195|1284
internet|20180815|152|156|195|1284
internet|20180915|154|156|201|1278
internet|20181015|162|148|199|1282
internet|20181115|172|155|206|1303
internet|20181215|171|171|218|1332
internet|20190115|170|176|222|1338
internet|20190215|170|176|222|1338
internet|20190315|185|192|225|1380
internet|20190415|173|185|233|1427
internet|20190515|184|200|235|1478
internet|20190615|185|201|229|1513
internet|20190715|185|201|229|1513
internet|20190815|180|229|237|1533
internet|20190915|180|229|237|1533
internet|20191015|206|217|239|1587
internet|20191115|210|227|260|1599
internet|20191215|216|235|247|1615
internet|20200115|233|213|257|1662
internet|20200215|239|228|254|1692
internet|20200315|226|250|236|1560
internet|20200415|242|235|285|1762
internet|20200515|253|239|272|1783
internet|20200615|248|233|262|1784
internet|20200715|261|245|274|1814
internet|20200815|255|255|299|1946
internet|20200915|268|296|317|2001
internet|20201015|264|266|317|1998
internet|20201115|258|271|323|1927
internet|20201215|280|289|325|2038
internet|20210115|282|308|326|2043
internet|20210215|282|301|329|2003
internet|20210315|283|323|329|2038
internet|20210415|302|321|349|2053
internet|20210515|321|327|377|2099
internet|20210615|338|357|403|2142
internet|20210715|330|344|386|2124
internet|20210815|346|368|388|2236
internet|20210915|330|361|377|2125
internet|20211015|344|375|391|2253
internet|20211115|323|378|387|2255
internet|20211215|338|378|391|2202
internet|20220115|343|398|406|2302
internet|20220215|336|399|392|2194
internet|20220315|353|389|418|2357
internet|20220415|337|389|397|2314
internet|20220515|356|398|405|2349
internet|20220615|357|405|437|2441
internet|20220715|360|417|447|2423
internet|20220815|389|431|447|2491
internet|20220915|380|456|458|2533
internet|20221015|373|454|463|2558
internet|20221115|386|455|491|2563
internet|20221215|398|452|504|2609
internet|20230115|396|450|521|2633
internet|20230215|418|471|513|2702
internet|20230315|426|512|523|2608
internet|20230415|422|510|530|2765
internet|20230515|431|514|525|2830
internet|20230615|448|496|535|2881
internet|20230715|466|492|555|2883
internet|20230815|477|494|577|2867
internet|20230915|515|550|601|2928
internet|20231015|494|526|609|2983
internet|20231115|490|545|606|2998
internet|20231215|524|564|583|3054
internet|20240115|528|561|601|3053
internet|20240215|524|562|612|3090
internet|20240315|555|592|599|3108
internet|20240415|576|607|611|3149
internet|20240515|575|617|640|3171
internet|20240615|576|630|619|3222
isp|20140615|3|19|22|177
isp|20140715|6|19|22|185
isp|20140815|5|21|24|187
isp|20140915|6|19|23|185
isp|20141015|3|22|20|185
isp|20141115|5|19|27|189
isp|20141215|5|22|23|187
isp|20150115|5|23|24|197
isp|20150215|5|23|24|197
isp|20150315|6|17|25|204
isp|20150415|11|21|28|206
isp|20150515|9|23|27|208
isp|20150615|8|26|30|217
isp|20150715|7|29|26|226
isp|20150815|11|29|27|229
isp|20150915|16|28|29|235
isp|20151015|15|28|33|228
isp|20151115|18|24|32|237
isp|20151215|17|21|25|244
isp|20160115|17|24|27|252
isp|20160215|17|24|27|252
isp|20160315|22|25|31|261
isp|20160415|22|32|35|266
isp|20160515|19|34|33|277
isp|20160615|20|32|34|275
isp|20160715|23|39|31|287
isp|20160815|26|32|34|291
isp|20160915|22|32|28|307
isp|20161015|26|32|30|306
isp|20161115|26|34|42|308
isp|20161215|31|36|42|309
isp|20170115|30|36|35|321
isp|20170215|29|39|37|314
isp|20170315|32|43|42|321
isp|20170415|32|43|42|321
isp|20170515|32|46|44|345
isp|20170615|34|44|47|336
isp|20170715|17|26|20|145
isp|20170815|34|47|45|349
isp|20170915|20|20|22|135
isp|20171015|38|48|47|370
isp|20171115|42|47|57|396
isp|20171215|43|57|61|396
isp|20180115|46|55|56|388
isp|20180215|49|55|60|406
isp|20180315|51|66|70|482
isp|20180415|42|64|60|414
isp|20180515|42|65|58|433
isp|20180615|52|60|64|445
isp|20180715|55|67|61|462
isp|20180815|55|67|61|462
isp|20180915|60|70|74|444
isp|20181015|67|66|78|444
isp|20181115|73|68|84|460
isp|20181215|70|72|91|496
isp|20190115|75|75|99|489
isp|20190215|75|75|99|489
isp|20190315|78|93|98|507
isp|20190415|77|88|96|532
isp|20190515|82|98|97|565
isp|20190615|78|104|95|582
isp|20190715|78|104|95|582
isp|20190815|79|117|95|595
isp|20190915|88|115|96|622
isp|20191015|88|115|96|622
isp|20191115|86|124|105|619
isp|20191215|87|121|97|632
isp|20200115|99|112|103|639
isp|20200215|103|124|97|660
isp|20200315|103|124|97|660
isp|20200415|110|130|116|716
isp|20200515|112|128|116|738
isp|20200615|114|126|109|752
isp|20200715|126|126|114|748
isp|20200815|118|136|126|788
isp|20200915|131|154|143|823
isp|20201015|120|151|136|842
isp|20201115|124|159|135|822
isp|20201215|139|167|138|883
isp|20210115|138|182|134|886
isp|20210215|142|169|132|875
