region|date|from1to24|from25to49|from50to74|from75to99
arin|20220115|272|213|132|0
arin|20220215|279|208|136|0
arin|20220315|284|214|137|0
arin|20220415|286|207|135|0
arin|20220515|285|208|134|0
arin|20220615|286|211|142|0
arin|20220715|293|212|142|0
arin|20220815|297|211|142|0
arin|20220915|305|201|146|0
arin|20221015|295|202|149|0
arin|20221115|295|205|141|0
arin|20221215|297|211|144|0
arin|20230115|295|208|149|0
arin|20230215|296|212|160|0
arin|20230315|303|218|155|0
arin|20230415|307|215|167|0
arin|20230515|311|218|168|0
arin|20230615|302|223|174|0
arin|20230715|301|224|174|0
arin|20230815|305|223|171|0
arin|20230915|309|231|176|0
arin|20231015|313|227|176|0
arin|20231115|305|230|172|0
arin|20231215|320|222|178|0
arin|20240115|314|226|177|0
arin|20240215|324|225|173|0
arin|20240315|323|234|180|0
arin|20240415|329|232|181|0
arin|20240515|340|242|186|0
arin|20240615|337|242|185|0
internet|20140615|271|287|258|2
internet|20140715|278|292|261|2
internet|20140815|278|298|282|2
internet|20140915|287|301|283|2
internet|20141015|292|313|285|2
internet|20141115|308|343|281|1
internet|20141215|307|348|295|1
internet|20150115|326|337|291|1
internet|20150215|326|337|291|1
internet|20150315|319|351|305|1
internet|20150415|329|352|301|1
internet|20150515|338|361|311|1
internet|20150615|345|377|306|1
internet|20150715|352|388|300|1
internet|20150815|359|379|307|1
internet|20150915|346|383|306|1
internet|20151015|356|404|320|1
internet|20151115|366|422|333|1
internet|20151215|382|440|329|1
internet|20160115|392|444|333|1
internet|20160215|392|444|333|1
internet|20160315|426|466|354|1
internet|20160415|421|460|361|2
internet|20160515|435|481|366|2
internet|20160615|450|493|378|2
internet|20160715|456|515|377|2
internet|20160815|461|525|374|1
internet|20160915|463|525|382|2
internet|20161015|469|544|397|2
internet|20161115|472|558|412|1
internet|20161215|481|581|416|1
internet|20170115|481|595|409|1
internet|20170215|499|602|411|1
internet|20170315|514|619|419|1
internet|20170415|514|619|419|1
internet|20170515|514|648|424|1
internet|20170615|539|663|439|1
internet|20170715|247|289|201|0
internet|20170815|574|703|435|1
internet|20170915|250|286|186|0
internet|20171015|577|695|434|1
internet|20171115|608|731|470|1
internet|20171215|630|752|469|1
internet|20180115|639|776|472|1
internet|20180215|648|770|480|1
internet|20180315|655|779|488|1
internet|20180415|669|794|496|1
internet|20180515|678|803|495|1
internet|20180615|708|820|510|1
internet|20180715|735|862|537|1
internet|20180815|735|862|537|1
internet|20180915|782|882|568|2
internet|20181015|798|912|583|2
internet|20181115|802|938|594|2
internet|20181215|819|958|609|2
internet|20190115|835|955|619|2
internet|20190215|835|955|619|2
internet|20190315|830|985|629|2
internet|20190415|861|1004|627|2
internet|20190515|888|1020|639|4
internet|20190615|907|1079|629|4
internet|20190715|907|1079|629|4
internet|20190815|952|1123|629|5
internet|20190915|952|1123|629|5
internet|20191015|990|1211|666|5
internet|20191115|1033|1219|667|6
internet|20191215|1020|1253|687|4
internet|20200115|1035|1252|723|4
internet|20200215|1055|1271|713|5
internet|20200315|1051|1318|723|5
internet|20200415|1084|1388|738|5
internet|20200515|1119|1414|735|4
internet|20200615|1145|1433|726|5
internet|20200715|1185|1497|746|7
internet|20200815|1192|1487|753|4
internet|20200915|1241|1598|778|5
internet|20201015|1244|1599|814|6
internet|20201115|1270|1657|811|6
internet|20201215|1305|1679|835|4
internet|20210115|1326|1735|835|6
internet|20210215|1323|1807|826|5
internet|20210315|1374|1857|844|6
internet|20210415|1363|1903|869|6
internet|20210515|1406|1957|882|7
internet|20210615|1469|2057|914|7
internet|20210715|1471|2029|905|6
internet|20210815|1461|2069|922|3
internet|20210915|1513|2155|942|4
internet|20211015|1537|2149|981|5
internet|20211115|1539|2150|980|4
internet|20211215|1541|2218|964|6
internet|20220115|1552|2242|945|5
internet|20220215|1580|2255|951|6
internet|20220315|1620|2271|985|7
internet|20220415|1640|2276|975|7
internet|20220515|1642|2296|977|6
internet|20220615|1677|2336|1004|4
internet|20220715|1716|2408|1029|5
internet|20220815|1735|2463|1042|5
internet|20220915|1774|2479|1092|3
internet|20221015|1752|2462|1097|4
internet|20221115|1783|2503|1115|5
internet|20221215|1842|2537|1113|5
internet|20230115|1846|2546|1138|5
internet|20230215|1881|2596|1176|3
internet|20230315|1925|2713|1205|4
internet|20230415|1904|2671|1211|4
internet|20230515|1932|2690|1218|4
internet|20230615|1932|2674|1217|6
internet|20230715|1942|2707|1227|8
internet|20230815|1986|2774|1243|8
internet|20230915|2059|2872|1266|9
internet|20231015|2004|2811|1247|9
internet|20231115|1997|2850|1245|8
internet|20231215|2024|2881|1254|7
internet|20240115|2017|2908|1248|8
internet|20240215|2054|2926|1274|6
internet|20240315|2053|2968|1280|6
internet|20240415|2071|2978|1290|7
internet|20240515|2104|3022|1326|7
internet|20240615|2136|3015|1328|8
lacnic|20140615|28|55|22|1
lacnic|20140715|28|60|21|1
lacnic|20140815|27|62|29|1
lacnic|20140915|31|65|26|1
lacnic|20141015|34|70|27|1
lacnic|20141115|37|73|31|1
lacnic|20141215|35|76|32|1
lacnic|20150115|37|67|34|1
lacnic|20150215|37|67|34|1
lacnic|20150315|40|69|36|1
lacnic|20150415|40|72|34|1
lacnic|20150515|39|73|39|1
lacnic|20150615|40|80|42|1
lacnic|20150715|40|80|41|1
lacnic|20150815|47|76|41|1
lacnic|20150915|47|79|41|1
lacnic|20151015|53|81|42|1
lacnic|20151115|50|92|47|1
lacnic|20151215|56|105|44|1
lacnic|20160115|58|110|42|1
lacnic|20160215|58|110|42|1
lacnic|20160315|68|111|48|1
lacnic|20160415|63|114|48|2
lacnic|20160515|67|117|55|2
lacnic|20160615|72|129|63|2
lacnic|20160715|66|140|69|2
lacnic|20160815|72|146|68|1
lacnic|20160915|71|152|67|2
lacnic|20161015|67|159|73|2
lacnic|20161115|67|168|72|1
lacnic|20161215|69|176|72|1
lacnic|20170115|68|181|68|1
lacnic|20170215|72|187|70|1
lacnic|20170315|82|199|77|1
lacnic|20170415|82|199|77|1
lacnic|20170515|90|215|84|1
lacnic|20170615|96|221|89|1
lacnic|20170715|96|221|89|1
lacnic|20170815|108|253|86|1
lacnic|20170915|108|253|86|1
lacnic|20171015|107|250|90|1
lacnic|20171115|115|267|111|1
lacnic|20171215|127|267|118|1
lacnic|20180115|127|277|118|1
lacnic|20180215|135|284|121|1
lacnic|20180315|138|288|124|1
lacnic|20180415|142|299|128|1
lacnic|20180515|149|302|123|1
lacnic|20180615|159|317|126|1
lacnic|20180715|169|340|137|1
lacnic|20180815|169|340|137|1
lacnic|20180915|189|350|160|2
lacnic|20181015|191|361|175|2
lacnic|20181115|195|370|175|2
lacnic|20181215|192|387|183|2
lacnic|20190115|197|389|189|2
lacnic|20190215|197|389|189|2
lacnic|20190315|187|425|193|2
lacnic|20190415|198|430|195|2
lacnic|20190515|203|440|200|4
lacnic|20190615|212|494|190|4
lacnic|20190715|212|494|190|4
lacnic|20190815|228|533|196|5
lacnic|20190915|228|533|196|5
lacnic|20191015|244|596|230|5
lacnic|20191115|265|599|230|6
lacnic|20191215|259|616|244|4
lacnic|20200115|256|618|262|4
lacnic|20200215|266|642|257|5
lacnic|20200315|265|664|263|5
lacnic|20200415|282|716|264|5
lacnic|20200515|303|750|267|4
lacnic|20200615|326|765|280|5
lacnic|20200715|351|795|286|7
lacnic|20200815|355|799|297|4
lacnic|20200915|374|885|313|5
lacnic|20201015|372|904|343|6
lacnic|20201115|381|939|343|6
lacnic|20201215|405|962|359|4
lacnic|20210115|417|1006|355|5
lacnic|20210215|418|1050|356|4
lacnic|20210315|443|1103|373|5
lacnic|20210415|426|1164|387|5
lacnic|20210515|448|1201|394|6
lacnic|20210615|481|1282|408|6
lacnic|20210715|485|1255|416|5
lacnic|20210815|474|1286|426|2
lacnic|20210915|511|1347|437|3
lacnic|20211015|527|1342|470|4
lacnic|20211115|515|1370|461|3
lacnic|20211215|519|1423|466|4
lacnic|20220115|514|1444|454|4
lacnic|20220215|533|1458|456|5
lacnic|20220315|549|1480|476|6
lacnic|20220415|550|1503|475|6
lacnic|20220515|559|1512|477|5
lacnic|20220615|563|1539|497|3
lacnic|20220715|580|1590|510|4
lacnic|20220815|578|1638|514|4
lacnic|20220915|592|1676|538|3
lacnic|20221015|596|1665|544|4
lacnic|20221115|611|1694|566|4
lacnic|20221215|641|1718|564|4
lacnic|20230115|641|1709|594|3
lacnic|20230215|654|1757|608|2
lacnic|20230315|659|1833|636|3
lacnic|20230415|647|1814|634|3
lacnic|20230515|662|1825|635|3
lacnic|20230615|673|1814|635|5
lacnic|20230715|686|1850|633|5
lacnic|20230815|706|1899|655|5
lacnic|20230915|741|1967|678|5
lacnic|20231015|703|1916|655|6
lacnic|20231115|701|1949|652|5
lacnic|20231215|699|1990|652|5
lacnic|20240115|697|1997|650|6
lacnic|20240215|707|2011|668|4
lacnic|20240315|703|2045|669|4
lacnic|20240415|705|2058|669|5
lacnic|20240515|700|2078|702|5
lacnic|20240615|732|2080|697|5
ripencc|20140615|69|91|117|0
ripencc|20140715|71|92|117|0
ripencc|20140815|71|93|122|0
ripencc|20140915|74|92|124|0
ripencc|20141015|76|95|122|0
ripencc|20141115|81|114|119|0
ripencc|20141215|84|119|127|0
ripencc|20150115|88|120|121|0
ripencc|20150215|88|120|121|0
ripencc|20150315|85|117|128|0
ripencc|20150415|89|111|126|0
ripencc|20150515|93|115|131|0
ripencc|20150615|94|121|129|0
ripencc|20150715|98|125|126|0
ripencc|20150815|98|125|131|0
ripencc|20150915|98|125|131|0
ripencc|20151015|100|133|136|0
ripencc|20151115|106|131|140|0
ripencc|20151215|104|137|140|0
ripencc|20160115|108|139|142|0
ripencc|20160215|108|139|142|0
ripencc|20160315|118|154|147|0
ripencc|20160415|117|155|149|0
ripencc|20160515|121|164|148|0
ripencc|20160615|123|171|155|0
ripencc|20160715|122|174|148|0
ripencc|20160815|120|181|148|0
ripencc|20160915|123|178|155|0
ripencc|20161015|127|183|155|0
ripencc|20161115|141|179|160|0
ripencc|20161215|138|186|168|0
ripencc|20170115|134|193|173|0
ripencc|20170215|138|192|172|0
ripencc|20170315|146|197|170|0
ripencc|20170415|146|197|170|0
ripencc|20170515|153|201|161|0
ripencc|20170615|161|202|170|0
ripencc|20170715|161|202|170|0
ripencc|20170815|171|203|176|0
ripencc|20170915|171|203|176|0
ripencc|20171015|168|197|167|0
ripencc|20171115|183|202|179|0
ripencc|20171215|192|229|167|0
ripencc|20180115|194|234|170|0
ripencc|20180215|191|218|171|0
ripencc|20180315|192|222|178|0
ripencc|20180415|194|229|181|0
ripencc|20180515|192|227|182|0
ripencc|20180615|199|229|183|0
ripencc|20180715|206|238|197|0
ripencc|20180815|206|238|197|0
ripencc|20180915|218|257|194|0
ripencc|20181015|218|270|198|0
ripencc|20181115|225|270|202|0
ripencc|20181215|235|269|207|0
ripencc|20190115|241|268|205|0
ripencc|20190215|241|268|205|0
ripencc|20190315|246|256|209|0
ripencc|20190415|252|262|214|0
ripencc|20190515|264|262|214|0
ripencc|20190615|266|265|216|0
ripencc|20190715|266|265|216|0
ripencc|20190815|282|258|214|0
ripencc|20190915|282|258|214|0
ripencc|20191015|285|269|223|0
ripencc|20191115|293|274|223|0
ripencc|20191215|291|281|227|0
ripencc|20200115|295|280|235|0
ripencc|20200215|303|276|231|0
ripencc|20200315|303|297|230|0
ripencc|20200415|313|306|235|0
ripencc|20200515|317|304|232|0
ripencc|20200615|316|307|214|0
ripencc|20200715|323|321|232|0
ripencc|20200815|326|319|222|0
ripencc|20200915|344|323|230|0
ripencc|20201015|345|320|225|0
ripencc|20201115|351|332|231|0
ripencc|20201215|361|334|229|0
ripencc|20210115|366|346|228|1
ripencc|20210215|354|357|227|1
ripencc|20210315|355|354|230|1
ripencc|20210415|361|343|224|1
ripencc|20210515|376|356|224|1
ripencc|20210615|386|369|230|1
ripencc|20210715|383|360|228|1
ripencc|20210815|381|360|228|1
ripencc|20210915|392|375|234|1
ripencc|20211015|389|376|236|1
ripencc|20211115|393|363|246|1
ripencc|20211215|389|376|239|2
ripencc|20220115|399|374|239|1
ripencc|20220215|403|372|233|1
ripencc|20220315|413|360|243|1
ripencc|20220415|414|361|238|1
ripencc|20220515|421|361|234|1
ripencc|20220615|437|368|234|1
ripencc|20220715|443|379|239|1
ripencc|20220815|447|388|242|1
ripencc|20220915|447|390|249|0
ripencc|20221015|438|383|246|0
ripencc|20221115|446|383|251|0
ripencc|20221215|458|387|255|0
ripencc|20230115|461|389|245|1
ripencc|20230215|475|393|245|1
ripencc|20230315|496|424|247|1
ripencc|20230415|485|411|246|1
ripencc|20230515|489|411|255|1
ripencc|20230615|490|403|252|1
ripencc|20230715|485|406|254|1
ripencc|20230815|503|415|248|1
ripencc|20230915|523|429|242|1
ripencc|20231015|504|429|253|1
ripencc|20231115|510|431|257|1
ripencc|20231215|517|429|264|1
ripencc|20240115|515|441|260|1
ripencc|20240215|531|438|269|1
ripencc|20240315|541|436|265|1
ripencc|20240415|547|433|265|1
ripencc|20240515|564|434|269|1
ripencc|20240615|566|427|274|1
