#as_type|date|disagg_1|disagg_2|disagg_3|disagg_4plus
hosting|20171015|25|11|55|348
hosting|20171115|28|12|57|358
hosting|20171215|25|12|54|355
hosting|20180115|25|12|54|360
hosting|20180215|27|11|54|367
hosting|20180315|28|11|56|367
hosting|20180415|30|11|52|383
hosting|20180515|30|12|52|384
hosting|20180615|33|12|52|396
hosting|20180715|36|12|53|412
hosting|20180815|36|12|53|412
hosting|20180915|33|12|57|420
hosting|20181015|33|12|59|426
hosting|20181115|33|14|53|435
hosting|20181215|34|14|59|443
hosting|20190115|35|15|56|447
hosting|20190215|35|15|56|447
hosting|20190315|33|19|55|436
hosting|20190415|34|20|54|450
hosting|20190515|36|20|56|459
hosting|20190615|37|18|55|469
hosting|20190715|37|18|55|469
hosting|20190815|42|20|56|467
hosting|20190915|42|20|56|467
hosting|20191015|44|19|60|481
hosting|20191115|42|20|62|494
hosting|20191215|41|22|64|495
hosting|20200115|43|22|64|502
hosting|20200215|43|20|64|513
hosting|20200315|44|22|65|524
hosting|20200415|47|21|63|534
hosting|20200515|47|25|63|529
hosting|20200615|46|23|58|532
hosting|20200715|48|26|63|561
hosting|20200815|49|27|60|562
hosting|20200915|48|27|59|581
hosting|20201015|49|31|59|573
hosting|20201115|50|30|59|587
hosting|20201215|54|28|63|588
hosting|20210115|54|27|63|599
hosting|20210215|52|28|64|602
hosting|20210315|54|29|68|607
hosting|20210415|54|30|61|608
hosting|20210515|54|29|62|614
hosting|20210615|55|29|63|631
hosting|20210715|57|27|62|635
hosting|20210815|59|27|61|634
hosting|20210915|58|27|65|653
hosting|20211015|59|27|60|656
hosting|20211115|59|28|57|658
hosting|20211215|59|27|58|663
hosting|20220115|61|27|60|664
hosting|20220215|59|31|59|674
hosting|20220315|60|34|61|680
hosting|20220415|60|30|60|674
hosting|20220515|59|30|62|679
hosting|20220615|62|33|64|692
hosting|20220715|65|31|66|700
hosting|20220815|64|31|65|717
hosting|20220915|65|28|64|724
hosting|20221015|63|28|63|708
hosting|20221115|65|28|69|704
hosting|20221215|65|28|67|726
hosting|20230115|65|31|66|734
hosting|20230215|66|29|67|742
hosting|20230315|69|31|69|760
hosting|20230415|69|29|68|740
hosting|20230515|67|30|72|745
hosting|20230615|66|27|71|748
hosting|20230715|67|27|72|736
hosting|20230815|66|28|74|737
hosting|20230915|67|30|73|758
hosting|20231015|71|27|71|761
hosting|20231115|72|25|74|769
hosting|20231215|72|24|76|782
hosting|20240115|73|25|78|784
hosting|20240215|71|26|79|807
hosting|20240315|73|29|79|806
hosting|20240415|71|28|78|823
hosting|20240515|72|28|79|843
hosting|20240615|70|29|77|846
isp|20140615|33|17|25|218
isp|20140715|33|16|23|229
isp|20140815|32|17|29|240
