#as_type|date|from1to24|from25to49|from50to74|from75to99
government|20160415|175|139|55|0
government|20160515|174|138|56|0
government|20160615|174|145|54|0
government|20160715|176|142|52|0
government|20160815|176|146|52|0
government|20160915|176|142|54|0
government|20161015|175|142|56|0
government|20161115|173|143|56|0
government|20161215|175|148|51|0
government|20170115|175|145|56|0
government|20170215|160|117|44|0
government|20170315|169|115|45|0
government|20170415|167|117|47|0
government|20170515|169|118|44|0
government|20170615|168|118|44|0
government|20170715|169|115|43|0
government|20170815|165|122|42|0
government|20170915|164|130|41|0
government|20171015|154|133|39|0
government|20171115|157|133|41|0
government|20171215|166|129|41|0
government|20180115|163|126|44|0
government|20180215|162|132|43|0
government|20180315|165|132|42|0
government|20180415|162|140|44|0
government|20180515|166|139|44|0
government|20180615|166|142|41|0
government|20180715|170|142|40|0
government|20180815|175|142|42|0
government|20180915|178|146|40|0
government|20181015|179|145|40|0
government|20181115|173|146|41|0
government|20181215|171|147|42|0
government|20190115|170|147|41|0
government|20190215|175|146|41|0
government|20190315|175|146|36|0
government|20190415|206|151|39|0
government|20190515|211|152|41|0
government|20190615|210|156|38|0
government|20190715|210|158|38|0
government|20190815|217|155|37|0
government|20190915|216|152|41|0
government|20191015|213|151|42|0
government|20191115|214|156|39|0
government|20191215|212|158|45|0
government|20200115|210|157|33|0
government|20200215|208|164|34|0
government|20200315|217|175|39|0
government|20200415|214|175|44|0
government|20200515|217|172|48|0
government|20200615|220|172|45|0
government|20200715|223|171|45|0
government|20200815|219|177|48|0
government|20200915|223|175|51|0
government|20201015|222|173|50|0
government|20201115|226|172|54|0
government|20201215|230|175|55|0
government|20210115|227|171|58|0
government|20210215|228|167|61|0
government|20210315|227|166|58|0
government|20210415|223|173|59|0
government|20210515|221|176|57|0
government|20210615|222|179|55|0
government|20210715|226|179|56|0
government|20210815|228|183|55|0
government|20210915|239|180|56|0
government|20211015|234|177|57|0
government|20211115|232|182|56|0
government|20211215|233|183|59|0
government|20220115|233|190|57|0
government|20220215|236|180|49|0
government|20220315|236|179|58|0
government|20220415|234|176|59|0
government|20220515|233|177|56|0
government|20220615|235|178|55|0
government|20220715|236|180|55|0
government|20220815|237|183|55|0
government|20220915|242|180|54|0
government|20221015|245|175|55|0
government|20221115|240|179|53|0
government|20221215|241|183|52|0
government|20230115|235|184|54|0
government|20230215|237|188|55|0
government|20230315|238|191|56|0
government|20230415|250|188|56|0
government|20230515|246|192|58|0
government|20230615|251|195|60|0
government|20230715|257|190|62|0
government|20230815|257|188|62|0
government|20230915|252|181|47|0
government|20231015|247|181|52|0
government|20231115|252|179|50|0
government|20231215|252|181|48|0
government|20240115|251|181|48|0
government|20240215|258|183|43|0
government|20240315|259|185|46|0
government|20240415|262|188|46|0
government|20240515|259|189|48|0
government|20240615|255|199|51|0
hosting|20140615|1110|436|124|0
hosting|20140715|1089|437|116|0
hosting|20140815|1095|444|108|0
hosting|20140915|1135|461|121|0
hosting|20141015|1144|469|120|0
hosting|20141115|1180|454|123|0
hosting|20141215|1189|465|115|0
hosting|20150115|1197|483|113|0
hosting|20150215|1200|479|117|0
hosting|20150315|1204|474|113|0
hosting|20150415|1211|487|110|0
hosting|20150515|1262|483|115|0
hosting|20150615|1228|481|111|0
hosting|20150715|1239|477|119|0
hosting|20150815|1265|511|121|0
hosting|20150915|1284|507|128|0
hosting|20151015|1285|518|118|0
hosting|20151115|1287|510|113|0
hosting|20151215|1312|504|112|0
hosting|20160115|1336|526|117|0
hosting|20160215|1363|524|119|0
hosting|20160315|1367|531|117|0
hosting|20160415|1366|529|125|0
hosting|20160515|1380|537|124|0
hosting|20160615|1389|537|129|0
hosting|20160715|1411|543|129|0
hosting|20160815|1436|554|123|0
hosting|20160915|1448|548|120|0
hosting|20161015|1460|565|119|0
hosting|20161115|1464|585|122|0
hosting|20161215|1459|575|128|0
hosting|20170115|1471|576|129|0
hosting|20170215|1484|572|122|0
hosting|20170315|1505|575|122|0
hosting|20170415|1499|585|125|0
hosting|20170515|1514|585|130|0
hosting|20170615|1489|607|121|0
hosting|20170715|1503|597|132|0
hosting|20170815|1524|606|129|0
hosting|20170915|1556|620|131|0
hosting|20171015|1553|637|127|0
hosting|20171115|1583|660|127|0
hosting|20171215|1540|646|127|0
hosting|20180115|1568|630|124|0
hosting|20180215|1588|634|130|0
hosting|20180315|1605|654|120|0
hosting|20180415|1626|657|122|0
hosting|20180515|1643|646|121|0
hosting|20180615|1656|647|115|0
hosting|20180715|1662|642|121|0
hosting|20180815|1646|640|123|0
hosting|20180915|1644|662|118|0
hosting|20181015|1656|664|112|0
hosting|20181115|1677|644|128|0
hosting|20181215|1683|652|121|0
hosting|20190115|1693|654|119|0
hosting|20190215|1700|658|117|0
hosting|20190315|1681|671|118|0
hosting|20190415|1716|671|118|0
hosting|20190515|1716|666|119|0
hosting|20190615|1722|674|113|0
hosting|20190715|1728|678|110|0
hosting|20190815|1732|686|116|0
hosting|20190915|1713|715|113|0
hosting|20191015|1761|697|113|0
hosting|20191115|1763|715|110|0
hosting|20191215|1771|705|114|0
hosting|20200115|1790|708|114|0
hosting|20200215|1811|702|117|0
hosting|20200315|1826|726|122|0
hosting|20200415|1839|719|120|0
hosting|20200515|1841|727|121|0
hosting|20200615|1852|740|115|0
hosting|20200715|1854|750|117|0
hosting|20200815|1857|761|119|0
hosting|20200915|1874|768|120|0
hosting|20201015|1888|777|126|0
hosting|20201115|1898|778|123|0
hosting|20201215|1928|792|133|0
hosting|20210115|1884|800|129|0
hosting|20210215|1908|807|123|0
hosting|20210315|1914|804|128|0
hosting|20210415|1911|808|132|0
hosting|20210515|1934|802|138|0
hosting|20210615|1947|826|133|0
hosting|20210715|1931|832|134|0
hosting|20210815|1932|834|133|0
hosting|20210915|1967|861|125|0
hosting|20211015|1947|841|145|0
hosting|20211115|1964|854|141|0
hosting|20211215|1979|842|136|0
hosting|20220115|1990|851|131|0
hosting|20220215|1991|849|135|0
hosting|20220315|2015|853|125|0
hosting|20220415|2016|851|126|0
hosting|20220515|2008|863|129|0
hosting|20220615|2014|857|127|0
hosting|20220715|2045|854|134|0
hosting|20220815|2040|859|135|0
hosting|20220915|2038|875|134|0
hosting|20221015|2050|867|132|0
hosting|20221115|2056|876|135|0
hosting|20221215|2070|887|140|0
hosting|20230115|2055|890|135|0
hosting|20230215|2046|892|134|0
hosting|20230315|2054|886|136|0
hosting|20230415|2057|894|132|0
hosting|20230515|2067|883|136|0
hosting|20230615|2057|901|133|0
hosting|20230715|2054|892|138|0
hosting|20230815|2045|910|141|0
hosting|20230915|2049|907|139|0
hosting|20231015|2060|913|142|0
hosting|20231115|2048|918|141|0
hosting|20231215|2033|927|141|0
hosting|20240115|2034|921|140|0
hosting|20240215|2047|929|135|0
hosting|20240315|2047|912|141|0
hosting|20240415|2074|911|141|0
hosting|20240515|2091|904|142|0
hosting|20240615|2095|913|148|0
internet|20140615|5869|3681|1086|1
internet|20140715|5798|3463|786|0
internet|20140815|5884|3531|770|0
internet|20140915|6131|3862|1130|1
internet|20141015|6163|3918|1187|1
internet|20141115|6172|3920|1152|1
internet|20141215|6177|3950|1131|1
internet|20150115|6196|4012|1104|1
internet|20150215|6259|4004|1116|1
internet|20150315|6340|4024|1158|1
internet|20150415|6403|4032|1102|1
internet|20150515|6509|4183|1186|1
internet|20150615|6377|3934|825|1
internet|20150715|6475|3943|843|1
internet|20150815|6678|4318|1220|1
internet|20150915|6743|4335|1242|1
internet|20151015|6767|4348|1208|1
internet|20151115|6624|4083|863|1
internet|20151215|6681|4135|891|1
internet|20160115|6954|4504|1288|1
internet|20160215|7012|4613|1253|1
internet|20160315|7034|4647|1230|1
internet|20160415|7115|4696|1277|1
internet|20160515|7129|4738|1281|1
internet|20160615|7225|4762|1326|1
internet|20160715|7269|4829|1305|1
internet|20160815|7367|4924|1337|1
internet|20160915|7388|5007|1311|1
internet|20161015|7453|5069|1304|1
internet|20161115|7481|5074|1308|1
internet|20161215|7490|5067|1307|1
internet|20170115|7535|5100|1340|1
internet|20170215|7506|5014|1166|1
internet|20170315|7622|5063|1173|1
internet|20170415|7611|5157|1193|1
internet|20170515|7673|5238|1221|1
internet|20170615|7712|5314|1184|2
internet|20170715|7732|5315|1230|1
internet|20170815|7805|5377|1258|1
internet|20170915|7969|5501|1260|2
internet|20171015|7983|5636|1277|2
internet|20171115|8163|5750|1277|2
internet|20171215|8034|5729|1290|2
internet|20180115|8051|5703|1269|2
internet|20180215|8119|5755|1284|1
internet|20180315|8223|5925|1273|2
internet|20180415|8288|5985|1298|3
internet|20180515|8398|6016|1269|3
internet|20180615|8409|6145|1252|2
internet|20180715|8413|6222|1263|3
internet|20180815|8438|6242|1335|2
internet|20180915|8461|6278|1338|2
internet|20181015|8465|6367|1327|2
internet|20181115|8513|6400|1428|1
internet|20181215|8539|6479|1359|1
internet|20190115|8612|6523|1420|1
internet|20190215|8577|6644|1368|2
internet|20190315|8577|6692|1386|1
internet|20190415|8731|6760|1396|1
internet|20190515|8765|6803|1368|0
internet|20190615|8788|6827|1340|0
internet|20190715|8854|6889|1353|0
internet|20190815|8838|7046|1420|0
internet|20190915|8839|7145|1408|0
internet|20191015|8959|7164|1431|0
internet|20191115|9012|7381|1435|0
internet|20191215|8998|7372|1430|0
internet|20200115|9010|7341|1306|0
internet|20200215|9060|7404|1358|0
internet|20200315|9260|7658|1501|0
internet|20200415|9250|7757|1512|0
internet|20200515|9264|7859|1494|0
internet|20200615|9368|7922|1517|0
internet|20200715|9369|8020|1518|0
