#as_type|date|disagg_1|disagg_2|disagg_3|disagg_4plus
isp|20200315|1907|4107|979|2430
isp|20200415|1928|4222|972|2418
isp|20200515|1940|4300|971|2424
isp|20200615|2010|4349|985|2430
isp|20200715|2037|4403|982|2443
isp|20200815|2124|4469|971|2458
isp|20200915|2207|4570|976|2458
isp|20201015|2259|4504|974|2457
isp|20201115|2308|4581|974|2461
isp|20201215|2312|4750|988|2491
isp|20210115|2386|4617|975|2464
isp|20210215|2403|4683|994|2468
isp|20210315|2420|4761|986|2477
isp|20210415|2446|4775|990|2505
isp|20210515|2485|4761|977|2510
isp|20210615|2495|4800|1012|2502
isp|20210715|2544|4787|1013|2509
isp|20210815|2555|4882|1030|2518
isp|20210915|2555|4918|1047|2537
isp|20211015|2584|4852|1040|2542
isp|20211115|2598|4867|1049|2553
isp|20211215|2649|4847|1054|2527
isp|20220115|2684|4906|1050|2552
isp|20220215|2680|4921|1048|2537
isp|20220315|2680|4883|1059|2562
isp|20220415|2742|4885|1065|2581
isp|20220515|2769|4854|1059|2579
isp|20220615|2811|4869|1063|2580
isp|20220715|2823|4984|1077|2607
isp|20220815|2864|4959|1073|2597
isp|20220915|2924|4981|1055|2607
isp|20221015|2892|4927|1046|2601
isp|20221115|2915|4891|1049|2578
isp|20221215|2936|4960|1056|2593
isp|20230115|3021|4895|1052|2596
isp|20230215|3031|4896|1063|2598
isp|20230315|3068|4932|1057|2597
isp|20230415|3074|4906|1076|2613
isp|20230515|3085|4901|1077|2609
isp|20230615|3091|4920|1083|2623
isp|20230715|3077|4955|1076|2606
isp|20230815|3108|4918|1094|2609
isp|20230915|3148|4960|1112|2589
isp|20231015|3191|4975|1119|2595
isp|20231115|3219|4984|1111|2602
isp|20231215|3219|4958|1120|2603
isp|20240115|3232|5001|1124|2608
isp|20240215|3238|4982|1121|2628
isp|20240315|3280|4980|1134|2628
isp|20240415|3247|5009|1142|2652
isp|20240515|3306|4936|1123|2655
isp|20240615|3313|4912|1140|2635
none|20140615|424|389|295|763
none|20140715|429|380|307|697
none|20140815|433|388|309|702
none|20140915|434|407|306|816
none|20141015|442|395|319|807
none|20141115|443|412|314|753
none|20141215|461|425|314|753
none|20150115|453|426|313|743
none|20150215|450|426|310|740
none|20150315|450|437|318|734
none|20150415|445|445|326|728
none|20150515|442|452|337|739
none|20150615|453|448|327|664
none|20150715|445|461|331|657
none|20150815|443|464|317|771
none|20150915|429|476|311|774
none|20151015|432|477|304|762
none|20151115|431|503|313|646
none|20151215|431|515|302|656
none|20160115|439|512|304|768
none|20160215|447|531|304|766
none|20160315|453|512|304|750
none|20160415|455|527|312|752
none|20160515|457|522|306|752
none|20160615|460|530|304|750
none|20160715|456|542|307|736
none|20160815|454|552|303|739
none|20160915|453|553|312|735
none|20161015|457|549|304|731
none|20161115|465|545|292|723
none|20161215|466|532|302|693
none|20170115|458|553|312|698
none|20170215|462|555|310|614
none|20170315|463|560|315|617
none|20170415|463|578|303|601
none|20170515|465|587|302|604
none|20170615|469|577|294|597
none|20170715|454|591|288|591
none|20170815|465|593|282|585
none|20170915|463|588|282|597
none|20171015|464|594|284|587
none|20171115|490|597|286|583
none|20171215|466|603|284|580
none|20180115|469|584|277|572
none|20180215|450|608|266|571
none|20180315|468|606|274|569
none|20180415|466|613|270|571
none|20180515|476|610|274|544
none|20180615|473|613|272|535
none|20180715|471|611|265|529
none|20180815|465|629|262|528
none|20180915|461|626|253|528
none|20181015|447|642|238|508
none|20181115|451|641|243|505
none|20181215|455|639|242|498
none|20190115|451|651|249|497
none|20190215|448|656|242|490
none|20190315|458|651|230|488
none|20190415|468|650|236|491
none|20190515|466|638|230|486
none|20190615|467|633|219|481
none|20190715|462|642|220|473
none|20190815|468|633|217|481
none|20190915|468|649|214|470
none|20191015|459|660|212|452
none|20191115|471|660|205|443
none|20191215|460|655|198|438
none|20200115|453|646|205|421
none|20200215|445|652|202|413
none|20200315|450|668|197|421
none|20200415|452|658|193|414
none|20200515|459|647|188|406
none|20200615|464|655|180|405
none|20200715|477|633|179|397
none|20200815|475|629|178|388
none|20200915|471|614|182|380
none|20201015|471|608|177|364
none|20201115|470|594|167|359
none|20201215|457|609|173|354
none|20210115|449|584|167|349
none|20210215|447|578|166|343
none|20210315|436|577|168|346
none|20210415|436|573|165|335
none|20210515|432|566|162|319
none|20210615|427|559|156|307
none|20210715|404|545|153|301
none|20210815|398|538|149|290
none|20210915|390|544|151|279
none|20211015|389|525|146|261
none|20211115|390|500|148|250
none|20211215|377|501|135|240
none|20220115|382|496|135|233
none|20220215|365|474|131|219
none|20220315|344|455|125|222
none|20220415|346|451|120|215
none|20220515|327|452|110|207
none|20220615|332|428|108|203
none|20220715|328|410|110|201
none|20220815|323|384|106|191
none|20220915|318|367|104|178
none|20221015|298|352|97|163
none|20221115|292|329|94|159
none|20221215|279|329|87|160
none|20230115|276|313|79|153
none|20230215|260|305|77|138
none|20230315|246|302|73|127
none|20230415|239|294|70|125
none|20230515|230|280|65|115
none|20230615|219|259|60|112
none|20230715|206|231|58|98
none|20230815|194|221|53|89
none|20230915|187|206|48|83
none|20231015|165|196|46|75
none|20231115|152|184|45|71
none|20231215|143|163|38|64
none|20240115|129|145|37|61
none|20240215|117|123|35|59
none|20240315|103|106|34|49
none|20240415|90|96|28|41
none|20240515|80|85|24|39
none|20240615|68|71|22|28
internet|20140615|2046|1890|1509|5192
internet|20140715|2125|1963|1568|4392
internet|20140815|2153|2027|1576|4430
internet|20140915|2107|2062|1540|5416
internet|20141015|2121|2115|1543|5490
internet|20141115|2149|2166|1565|5365
internet|20141215|2189|2219|1595|5256
internet|20150115|2197|2268|1621|5227
internet|20150215|2198|2288|1609|5285
internet|20150315|2210|2330|1626|5358
internet|20150415|2249|2393|1663|5233
internet|20150515|2266|2452|1679|5482
internet|20150615|2353|2502|1704|4578
internet|20150715|2374|2581|1714|4593
internet|20150815|2277|2595|1675|5670
internet|20150915|2303|2644|1696|5678
internet|20151015|2307|2693|1692|5632
internet|20151115|2387|2818|1738|4628
internet|20151215|2406|2887|1754|4661
internet|20160115|2365|2907|1732|5743
internet|20160215|2421|2990|1737|5731
internet|20160315|2423|3040|1747|5703
internet|20160415|2458|3129|1751|5752
internet|20160515|2501|3132|1783|5734
internet|20160615|2515|3230|1786|5784
internet|20160715|2537|3300|1817|5750
internet|20160815|2563|3410|1838|5818
internet|20160915|2569|3438|1838|5862
internet|20161015|2600|3479|1857|5891
internet|20161115|2639|3535|1857|5833
internet|20161215|2647|3574|1854|5790
internet|20170115|2656|3646|1868|5806
internet|20170215|2758|3746|1871|5312
internet|20170315|2769|3871|1878|5341
internet|20170415|2802|3948|1856|5356
internet|20170515|2800|4051|1877|5405
internet|20170615|2856|4113|1900|5343
internet|20170715|2915|4127|1908|5329
internet|20170815|2928|4257|1903|5354
internet|20170915|3055|4385|1899|5393
internet|20171015|3026|4444|1922|5506
internet|20171115|3276|4534|1934|5448
internet|20171215|3056|4615|1907|5477
internet|20180115|3074|4615|1906|5430
internet|20180215|3074|4711|1902|5472
internet|20180315|3248|4803|1916|5456
internet|20180415|3256|4839|1937|5542
internet|20180515|3386|4932|1946|5422
internet|20180615|3401|5004|1966|5438
internet|20180715|3386|5117|1968|5430
internet|20180815|3416|5213|1966|5422
internet|20180915|3460|5244|1953|5424
internet|20181015|3496|5302|1941|5423
internet|20181115|3465|5376|1949|5553
internet|20181215|3434|5474|1958|5513
internet|20190115|3469|5579|1966|5543
internet|20190215|3526|5661|1950|5457
internet|20190315|3568|5736|1922|5432
internet|20190415|3629|5832|1942|5487
internet|20190515|3641|5850|1935|5513
internet|20190615|3716|5838|1907|5496
internet|20190715|3761|5938|1915|5485
internet|20190815|3855|5983|1928|5539
internet|20190915|3899|6055|1915|5524
internet|20191015|3924|6180|1940|5511
internet|20191115|4035|6339|1944|5511
internet|20191215|4078|6328|1930|5466
internet|20200115|4137|6404|1971|5146
internet|20200215|4191|6483|1979|5169
internet|20200315|4249|6638|1974|5560
internet|20200415|4306|6729|1959|5526
internet|20200515|4309|6801|1947|5561
internet|20200615|4403|6884|1952|5568
internet|20200715|4448|6949|1940|5570
internet|20200815|4557|7034|1946|5575
internet|20200915|4662|7154|1964|5547
internet|20201015|4740|7093|1971|5530
internet|20201115|4794|7169|1960|5528
internet|20201215|4813|7395|1990|5592
internet|20210115|4852|7206|1973|5535
internet|20210215|4892|7298|1981|5567
internet|20210315|4906|7394|1988|5542
internet|20210415|4967|7387|1990|5574
internet|20210515|4988|7382|1973|5573
internet|20210615|5031|7428|2007|5540
internet|20210715|5077|7396|1997|5525
internet|20210815|5085|7504|2001|5551
internet|20210915|5099|7578|2035|5609
internet|20211015|5112|7489|2016|5593
internet|20211115|5156|7470|2038|5608
internet|20211215|5188|7459|2021|5584
internet|20220115|5255|7515|2027|5587
internet|20220215|5254|7522|2028|5363
internet|20220315|5228|7474|2036|5566
internet|20220415|5294|7482|2042|5583
internet|20220515|5320|7458|2033|5568
internet|20220615|5363|7432|2037|5581
internet|20220715|5396|7555|2066|5621
internet|20220815|5444|7503|2050|5609
internet|20220915|5539|7521|2026|5602
internet|20221015|5500|7450|2004|5569
internet|20221115|5522|7395|2015|5545
internet|20221215|5553|7489|2007|5574
internet|20230115|5651|7406|1994|5558
internet|20230215|5658|7386|2012|5554
internet|20230315|5693|7429|2001|5532
internet|20230415|5719|7403|2015|5557
internet|20230515|5717|7392|2007|5543
internet|20230615|5720|7394|2008|5570
internet|20230715|5698|7400|1999|5528
internet|20230815|5730|7363|2002|5547
internet|20230915|5807|7417|2034|5198
internet|20231015|5844|7432|2045|5191
internet|20231115|5868|7420|2016|5192
internet|20231215|5877|7360|2037|5168
internet|20240115|5872|7382|2035|5176
internet|20240215|5867|7344|2030|5195
internet|20240315|5893|7311|2053|5195
internet|20240415|5858|7366|2059|5205
internet|20240515|5928|7276|2043|5207
internet|20240615|5952|7241|2054|5181
