region|date|from1to24|from25to49|from50to74|from75to100
arin|20141215|222|723|2215|2528
arin|20150115|230|730|2185|2563
arin|20150215|226|751|2228|2550
arin|20150315|223|756|2257|2531
arin|20150415|222|761|2293|2536
arin|20150515|238|746|2269|2547
arin|20150615|238|770|2278|2563
arin|20150715|238|768|2290|2605
arin|20150815|243|752|2316|2612
arin|20150915|244|775|2289|2610
arin|20151015|241|783|2301|2583
arin|20151115|247|771|2309|2611
arin|20151215|248|784|2288|2612
arin|20160115|246|762|2350|2587
arin|20160215|251|766|2381|2603
arin|20160315|256|780|2409|2577
arin|20160415|256|768|2435|2588
arin|20160515|263|783|2436|2579
arin|20160615|277|779|2423|2587
arin|20160715|288|773|2435|2600
arin|20160815|287|780|2451|2603
arin|20160915|271|780|2493|2599
arin|20161015|273|740|2510|2590
arin|20161115|270|753|2489|2598
arin|20161215|274|769|2493|2614
arin|20170115|277|760|2517|2598
arin|20170215|277|765|2554|2566
arin|20170315|286|774|2565|2592
arin|20170415|280|788|2574|2599
arin|20170515|285|785|2590|2603
arin|20170615|289|780|2574|2597
arin|20170715|293|763|2584|2608
arin|20170815|301|776|2604|2624
arin|20170915|305|777|2659|2618
arin|20171015|308|798|2612|2593
arin|20171115|312|805|2597|2663
arin|20171215|307|815|2601|2608
arin|20180115|312|815|2580|2611
arin|20180215|316|799|2604|2623
arin|20180315|316|827|2579|2637
arin|20180415|331|834|2633|2617
arin|20180515|324|828|2620|2670
arin|20180615|334|838|2628|2661
arin|20180715|344|821|2624|2644
arin|20180815|344|815|2601|2667
arin|20180915|342|832|2611|2625
arin|20181015|355|827|2633|2617
arin|20181115|349|832|2633|2633
arin|20181215|356|854|2597|2626
arin|20190115|355|856|2597|2606
arin|20190215|361|863|2570|2599
arin|20190315|371|856|2575|2627
arin|20190415|368|839|2595|2622
arin|20190515|370|860|2617|2584
arin|20190615|368|874|2601|2597
arin|20190715|372|862|2593|2584
arin|20190815|381|860|2622|2565
arin|20190915|389|854|2651|2577
arin|20191015|391|864|2672|2595
arin|20191115|404|895|2511|2780
arin|20191215|404|861|2636|2613
arin|20200115|398|873|2655|2603
arin|20200215|402|880|2603|2634
arin|20200315|405|871|2621|2679
arin|20200415|393|878|2614|2695
arin|20200515|402|877|2631|2702
arin|20200615|402|881|2661|2676
arin|20200715|402|878|2635|2687
arin|20200815|407|895|2648|2717
arin|20200915|412|871|2636|2725
arin|20201015|427|868|2641|2729
arin|20201115|427|873|2592|2794
arin|20201215|441|863|2578|2794
arin|20210115|435|857|2598|2745
arin|20210215|436|866|2585|2770
arin|20210315|436|876|2588|2776
arin|20210415|441|925|2417|2931
arin|20210515|434|897|2572|2774
arin|20210615|442|880|2610|2733
arin|20210715|443|854|2582|2775
arin|20210815|444|857|2569|2769
arin|20210915|438|869|2576|2813
arin|20211015|434|889|2596|2815
arin|20211115|447|899|2654|2742
arin|20211215|430|918|2439|2948
arin|20220115|435|924|2449|2976
arin|20220215|430|932|2452|2991
arin|20220315|444|894|2581|2816
arin|20220415|436|889|2607|2786
arin|20220515|426|912|2660|2743
arin|20220615|433|878|2621|2832
arin|20220715|440|888|2622|2845
arin|20220815|453|921|2418|3042
arin|20220915|445|949|2403|3033
arin|20221015|448|921|2393|3004
arin|20221115|437|878|2566|2790
arin|20221215|438|885|2562|2790
arin|20230115|447|871|2563|2799
arin|20230215|441|877|2563|2801
arin|20230315|445|885|2576|2792
arin|20230415|450|892|2576|2819
arin|20230515|459|922|2511|2895
arin|20230615|451|880|2546|2848
arin|20230715|443|877|2516|2841
arin|20230815|462|914|2712|2905
arin|20230915|458|925|2717|2915
arin|20231015|451|933|2701|2933
arin|20231115|432|946|2694|2913
arin|20231215|437|950|2702|2897
arin|20240115|442|952|2668|2930
arin|20240215|428|910|2531|2848
