# type|date|total_ases|use_selective
education|20171115|2749|830
education|20171215|2762|820
education|20180115|2781|820
education|20180215|2787|827
education|20180315|2803|835
education|20180415|2814|852
education|20180515|2828|847
education|20180615|2840|851
education|20180715|2844|845
education|20180815|2860|840
education|20180915|2880|848
education|20181015|2889|872
education|20181115|2907|860
education|20181215|2913|864
education|20190115|2925|879
education|20190215|2946|872
education|20190315|2944|884
education|20190415|2959|884
education|20190515|2981|883
education|20190615|3009|882
education|20190715|3028|897
education|20190815|3036|887
education|20190915|3051|904
education|20191015|3053|897
education|20191115|3059|903
education|20191215|3069|893
education|20200115|3078|902
education|20200215|3085|902
education|20200315|3104|899
education|20200415|3111|899
education|20200515|3118|899
education|20200615|3122|894
education|20200715|3142|904
education|20200815|3160|908
education|20200915|3172|904
education|20201015|3188|907
education|20201115|3205|890
education|20201215|3213|900
education|20210115|3229|896
education|20210215|3240|894
education|20210315|3250|898
education|20210415|3271|907
education|20210515|3278|901
education|20210615|3289|902
education|20210715|3301|894
education|20210815|3318|898
education|20210915|3333|901
education|20211015|3337|913
education|20211115|3350|922
education|20211215|3368|911
education|20220115|3377|924
education|20220215|3390|928
education|20220315|3396|933
education|20220415|3406|923
education|20220515|3420|926
education|20220615|3429|938
education|20220715|3444|954
education|20220815|3455|940
education|20220915|3463|942
education|20221015|3466|942
education|20221115|3476|945
education|20221215|3483|944
education|20230115|3493|932
education|20230215|3496|933
education|20230315|3505|932
education|20230415|3512|942
education|20230515|3514|942
education|20230615|3517|961
education|20230715|3529|945
education|20230815|3532|960
education|20230915|3542|963
education|20231015|3549|963
education|20231115|3554|955
education|20231215|3560|942
education|20240115|3567|955
education|20240215|3577|950
education|20240315|3584|964
education|20240415|3591|969
education|20240515|3601|958
education|20240615|3614|956
government|20140615|1091|315
government|20140715|1094|315
government|20140815|1102|315
government|20140915|1110|328
government|20141015|1115|323
government|20141115|1118|327
government|20141215|1124|331
government|20150115|1127|334
government|20150215|1131|336
government|20150315|1130|331
government|20150415|1132|338
government|20150515|1134|332
government|20150615|1136|329
government|20150715|1146|329
government|20150815|1150|329
government|20150915|1157|327
government|20151015|1164|323
government|20151115|1173|321
government|20151215|1182|328
government|20160115|1193|325
government|20160215|1204|332
government|20160315|1203|337
government|20160415|1209|335
government|20160515|1217|337
government|20160615|1220|338
government|20160715|1233|339
government|20160815|1238|337
government|20160915|1246|335
government|20161015|1253|340
government|20161115|1267|336
government|20161215|1275|337
government|20170115|1276|331
government|20170215|1286|332
government|20170315|1291|340
government|20170415|1295|334
government|20170515|1309|336
government|20170615|1307|338
government|20170715|1312|338
government|20170815|1318|343
government|20170915|1329|349
government|20171015|1331|342
government|20171115|1338|349
government|20171215|1342|355
government|20180115|1349|350
government|20180215|1357|363
government|20180315|1362|362
government|20180415|1369|375
government|20180515|1374|372
government|20180615|1381|385
government|20180715|1389|383
government|20180815|1398|381
government|20180915|1405|380
government|20181015|1416|377
government|20181115|1421|385
government|20181215|1425|384
government|20190115|1432|368
government|20190215|1440|381
government|20190315|1446|388
government|20190415|1459|391
government|20190515|1461|393
government|20190615|1471|394
government|20190715|1479|393
government|20190815|1486|398
government|20190915|1493|398
government|20191015|1502|394
government|20191115|1511|394
government|20191215|1520|404
government|20200115|1534|410
government|20200215|1543|412
government|20200315|1553|409
government|20200415|1561|412
government|20200515|1568|415
government|20200615|1581|420
government|20200715|1586|419
government|20200815|1602|421
government|20200915|1608|419
government|20201015|1618|419
government|20201115|1628|422
government|20201215|1633|422
government|20210115|1640|426
government|20210215|1645|426
government|20210315|1657|434
government|20210415|1668|436
government|20210515|1680|438
government|20210615|1687|437
government|20210715|1694|433
government|20210815|1695|442
government|20210915|1704|444
government|20211015|1707|450
government|20211115|1716|455
government|20211215|1727|453
government|20220115|1733|462
government|20220215|1739|468
government|20220315|1736|473
government|20220415|1746|467
government|20220515|1756|474
government|20220615|1758|482
government|20220715|1762|481
government|20220815|1771|495
government|20220915|1777|488
government|20221015|1776|488
government|20221115|1783|482
government|20221215|1789|488
government|20230115|1793|487
government|20230215|1804|487
government|20230315|1805|495
government|20230415|1817|495
government|20230515|1816|493
government|20230615|1824|496
government|20230715|1831|489
government|20230815|1838|487
government|20230915|1842|494
government|20231015|1850|494
government|20231115|1857|489
government|20231215|1863|496
government|20240115|1865|494
government|20240215|1879|496
government|20240315|1891|513
government|20240415|1899|507
government|20240515|1912|504
government|20240615|1919|510
hosting|20140615|6828|2572
hosting|20140715|6857|2609
hosting|20140815|6881|2627
hosting|20140915|6936|2644
hosting|20141015|6989|2656
hosting|20141115|7023|2687
hosting|20141215|7078|2687
hosting|20150115|7117|2726
hosting|20150215|7170|2724
hosting|20150315|7219|2748
hosting|20150415|7277|2753
hosting|20150515|7314|2776
hosting|20150615|7342|2806
hosting|20150715|7391|2831
hosting|20150815|7417|2885
hosting|20150915|7462|2894
hosting|20151015|7507|2921
hosting|20151115|7539|2941
hosting|20151215|7595|2970
hosting|20160115|7623|2991
hosting|20160215|7648|3035
hosting|20160315|7698|3046
hosting|20160415|7747|3071
hosting|20160515|7793|3087
hosting|20160615|7836|3114
hosting|20160715|7887|3160
hosting|20160815|7950|3180
hosting|20160915|8000|3192
hosting|20161015|8046|3202
hosting|20161115|8111|3231
hosting|20161215|8161|3232
hosting|20170115|8185|3257
hosting|20170215|8228|3299
hosting|20170315|8273|3353
hosting|20170415|8326|3367
hosting|20170515|8359|3379
hosting|20170615|8409|3405
hosting|20170715|8449|3424
hosting|20170815|8485|3471
hosting|20170915|8530|3477
hosting|20171015|8564|3507
hosting|20171115|8622|3546
hosting|20171215|8667|3550
hosting|20180115|8696|3544
hosting|20180215|8745|3583
hosting|20180315|8769|3619
hosting|20180415|8823|3727
hosting|20180515|8862|3694
hosting|20180615|8921|3744
hosting|20180715|8958|3721
hosting|20180815|9008|3745
hosting|20180915|9054|3785
hosting|20181015|9102|3797
hosting|20181115|9155|3842
hosting|20181215|9212|3862
hosting|20190115|9244|3880
hosting|20190215|9295|3908
hosting|20190315|9330|3930
hosting|20190415|9377|3898
hosting|20190515|9407|3977
hosting|20190615|9461|3964
hosting|20190715|9528|4009
hosting|20190815|9562|4026
hosting|20190915|9633|4097
hosting|20191015|9689|4163
hosting|20191115|9744|4205
hosting|20191215|9780|4149
hosting|20200115|9832|4210
hosting|20200215|9886|4210
hosting|20200315|9944|4285
hosting|20200415|9990|4309
hosting|20200515|10058|4305
hosting|20200615|10107|4308
hosting|20200715|10184|4345
hosting|20200815|10256|4391
hosting|20200915|10301|4423
hosting|20201015|10352|4478
hosting|20201115|10412|4480
hosting|20201215|10473|4521
hosting|20210115|10515|4524
hosting|20210215|10580|4547
hosting|20210315|10628|4595
hosting|20210415|10699|4623
hosting|20210515|10751|4620
hosting|20210615|10809|4639
hosting|20210715|10855|4634
hosting|20210815|10892|4690
hosting|20210915|10969|4727
hosting|20211015|10995|4831
hosting|20211115|11074|4778
hosting|20211215|11108|4731
hosting|20220115|11132|4796
hosting|20220215|11197|4801
hosting|20220315|11227|4810
hosting|20220415|11281|4793
hosting|20220515|11335|4835
hosting|20220615|11382|4858
hosting|20220715|11475|4942
hosting|20220815|11537|4896
hosting|20220915|11603|4952
hosting|20221015|11606|4937
hosting|20221115|11680|4922
hosting|20221215|11738|4930
hosting|20230115|11788|4954
hosting|20230215|11838|4932
hosting|20230315|11931|4954
hosting|20230415|12019|5011
hosting|20230515|12091|5039
hosting|20230615|12157|5016
hosting|20230715|12251|5015
hosting|20230815|12348|5193
hosting|20230915|12414|5220
hosting|20231015|12495|5249
hosting|20231115|12594|5271
hosting|20231215|12690|5247
hosting|20240115|12778|5279
hosting|20240215|12864|5194
hosting|20240315|12962|5360
hosting|20240415|13051|5395
hosting|20240515|13165|5432
hosting|20240615|13266|5466
isp|20140615|11076|4096
isp|20140715|11211|4176
isp|20140815|11347|4212
isp|20140915|11475|4296
isp|20141015|11584|4326
isp|20141115|11706|4421
isp|20141215|11797|4471
isp|20150115|11890|4536
isp|20150215|11987|4562
isp|20150315|12078|4602
isp|20150415|12207|4657
isp|20150515|12329|4700
isp|20150615|12435|4757
isp|20150715|12560|4800
isp|20150815|12664|4849
isp|20150915|12785|4886
isp|20151015|12915|4945
isp|20151115|13025|5000
isp|20151215|13133|5071
isp|20160115|13240|5143
isp|20160215|13356|5197
isp|20160315|13497|5328
isp|20160415|13637|5345
isp|20160515|13757|5405
isp|20160615|13908|5463
isp|20160715|14050|5507
isp|20160815|14190|5625
isp|20160915|14314|5695
isp|20161015|14430|5760
isp|20161115|14557|5816
isp|20161215|14717|5869
isp|20170115|14842|5889
isp|20170215|14978|6036
isp|20170315|15121|6149
isp|20170415|15257|6228
isp|20170515|15425|6272
isp|20170615|15629|6335
isp|20170715|15765|6359
isp|20170815|15928|6462
isp|20170915|16111|6578
isp|20171015|16259|6723
isp|20171115|16399|6852
isp|20171215|16598|6752
isp|20180115|16717|6776
isp|20180215|16883|6884
isp|20180315|17018|7079
isp|20180415|17217|7346
isp|20180515|17410|7399
isp|20180615|17575|7577
isp|20180715|17696|7484
isp|20180815|17893|7605
isp|20180915|18102|7622
isp|20181015|18275|7662
isp|20181115|18468|7786
isp|20181215|18637|7778
isp|20190115|18772|7821
isp|20190215|18966|7861
isp|20190315|19161|7990
isp|20190415|19337|7957
isp|20190515|19504|8088
isp|20190615|19708|8089
isp|20190715|19911|8144
isp|20190815|20087|8243
isp|20190915|20251|8319
isp|20191015|20447|8476
isp|20191115|20643|8581
isp|20191215|20843|8550
isp|20200115|20998|8762
isp|20200215|21227|8834
isp|20200315|21451|9033
isp|20200415|21680|9136
isp|20200515|21853|9227
isp|20200615|22028|9313
isp|20200715|22242|9448
isp|20200815|22500|9566
isp|20200915|22748|9702
isp|20201015|22917|9743
isp|20201115|23051|9727
isp|20201215|23231|9927
isp|20210115|23303|9954
isp|20210215|23437|9924
isp|20210315|23605|10042
isp|20210415|23770|10153
isp|20210515|23887|10228
isp|20210615|24026|10306
isp|20210715|24153|10351
isp|20210815|24294|10526
isp|20210915|24437|10659
isp|20211015|24533|10843
isp|20211115|24663|10755
isp|20211215|24815|10750
isp|20220115|24995|10925
isp|20220215|25158|10957
isp|20220315|25230|11010
isp|20220415|25368|11015
isp|20220515|25512|11078
isp|20220615|25647|11192
isp|20220715|25787|11322
isp|20220815|25871|11290
isp|20220915|25987|11383
isp|20221015|26091|11359
isp|20221115|26164|11335
isp|20221215|26321|11394
isp|20230115|26443|11477
isp|20230215|26528|11481
isp|20230315|26639|11506
isp|20230415|26764|11620
isp|20230515|26855|11583
isp|20230615|26950|11642
isp|20230715|27050|11719
isp|20230815|27179|12069
isp|20230915|27302|12189
isp|20231015|27422|12204
isp|20231115|27557|12217
isp|20231215|27682|12205
isp|20240115|27800|12246
isp|20240215|27920|12026
isp|20240315|28070|12255
isp|20240415|28201|12400
isp|20240515|28329|12414
isp|20240615|28447|12470
none|20140615|11464|2417
none|20140715|11507|2443
none|20140815|11516|2468
none|20140915|11536|2468
none|20141015|11521|2489
none|20141115|11526|2474
none|20141215|11579|2484
none|20150115|11577|2514
none|20150215|11608|2518
none|20150315|11612|2538
none|20150415|11645|2537
none|20150515|11670|2527
none|20150615|11660|2505
none|20150715|11678|2496
none|20150815|11685|2499
none|20150915|11693|2494
none|20151015|11702|2490
none|20151115|11686|2510
none|20151215|11721|2518
none|20160115|11699|2519
none|20160215|11734|2558
none|20160315|11720|2557
none|20160415|11747|2572
none|20160515|11741|2542
none|20160615|11744|2556
none|20160715|11737|2529
none|20160815|11748|2551
none|20160915|11746|2528
none|20161015|11715|2490
none|20161115|11686|2492
none|20161215|11691|2481
none|20170115|11667|2440
none|20170215|11662|2444
none|20170315|11648|2473
none|20170415|11643|2444
none|20170515|11600|2444
none|20170615|11606|2436
none|20170715|11564|2409
none|20170815|11520|2413
none|20170915|11487|2430
none|20171015|11466|2418
none|20171115|11460|2428
none|20171215|11477|2405
none|20180115|11407|2353
none|20180215|11397|2328
none|20180315|11390|2375
none|20180415|11347|2396
none|20180515|11325|2381
none|20180615|11246|2363
none|20180715|11216|2285
none|20180815|11212|2339
none|20180915|11154|2310
none|20181015|11134|2302
none|20181115|11106|2296
none|20181215|11029|2263
none|20190115|10961|2253
none|20190215|10898|2252
none|20190315|10869|2211
none|20190415|10823|2196
none|20190515|10788|2206
none|20190615|10724|2181
none|20190715|10677|2158
none|20190815|10656|2147
none|20190915|10623|2130
none|20191015|10552|2124
none|20191115|10480|2126
none|20191215|10363|2047
none|20200115|10315|2032
none|20200215|10219|1982
none|20200315|10205|1989
none|20200415|10108|1948
none|20200515|10043|1959
none|20200615|9997|1931
none|20200715|9896|1889
none|20200815|9869|1877
none|20200915|9803|1870
none|20201015|9689|1822
none|20201115|9608|1754
none|20201215|9526|1755
none|20210115|9378|1697
none|20210215|9309|1692
none|20210315|9184|1686
none|20210415|9088|1650
none|20210515|8962|1608
none|20210615|8872|1573
none|20210715|8766|1540
none|20210815|8644|1541
none|20210915|8602|1527
none|20211015|8414|1484
none|20211115|8361|1438
none|20211215|8142|1381
none|20220115|8081|1360
none|20220215|7940|1342
none|20220315|7743|1282
none|20220415|7592|1249
none|20220515|7488|1204
none|20220615|7317|1176
none|20220715|7279|1172
none|20220815|7085|1091
none|20220915|7000|1069
none|20221015|6735|1006
none|20221115|6546|935
none|20221215|6375|908
none|20230115|6238|870
none|20230215|5998|838
none|20230315|5807|808
none|20230415|5682|784
none|20230515|5452|766
none|20230615|5273|688
none|20230715|5017|640
none|20230815|4838|624
none|20230915|4671|592
none|20231015|4483|557
none|20231115|4225|514
none|20231215|3986|459
none|20240115|3788|417
none|20240215|3542|365
none|20240315|3297|327
none|20240415|3053|300
none|20240515|2843|273
none|20240615|2557|238
internet|20140615|46683|13668
internet|20140715|47030|13880
internet|20140815|47300|14001
internet|20140915|47619|14183
internet|20141015|47866|14237
internet|20141115|48127|14394
internet|20141215|48441|14507
internet|20150115|48655|14679
internet|20150215|48947|14743
internet|20150315|49165|14844
internet|20150415|49531|14948
internet|20150515|49874|15009
internet|20150615|50109|15083
internet|20150715|50403|15140
internet|20150815|50635|15274
internet|20150915|50940|15371
internet|20151015|51258|15467
internet|20151115|51515|15627
internet|20151215|51826|15758
internet|20160115|52030|15895
internet|20160215|52336|16088
internet|20160315|52641|16269
internet|20160415|52982|16357
internet|20160515|53288|16461
internet|20160615|53597|16600
internet|20160715|53905|16681
internet|20160815|54232|16900
internet|20160915|54526|16997
internet|20161015|54750|17004
internet|20161115|55001|17109
internet|20161215|55330|17175
internet|20170115|55537|17215
internet|20170215|55841|17470
internet|20170315|56148|17703
internet|20170415|56460|17803
internet|20170515|56750|17920
internet|20170615|57143|18023
internet|20170715|57386|18040
internet|20170815|57678|18283
internet|20170915|58003|18466
internet|20171015|58270|18645
internet|20171115|58608|18933
internet|20171215|58971|18796
internet|20180115|59145|18763
internet|20180215|59479|18931
internet|20180315|59756|19258
internet|20180415|60074|19754
internet|20180515|60420|19765
internet|20180615|60670|20019
internet|20180715|60897|19840
internet|20180815|61263|20046
internet|20180915|61575|20074
internet|20181015|61888|20189
internet|20181115|62256|20400
internet|20181215|62505|20421
internet|20190115|62687|20495
internet|20190215|63036|20596
internet|20190315|63348|20784
internet|20190415|63672|20665
internet|20190515|63970|20921
internet|20190615|64281|20913
internet|20190715|64645|21007
internet|20190815|64949|21144
internet|20190915|65307|21344
internet|20191015|65647|21590
internet|20191115|65983|21815
internet|20191215|66245|21648
internet|20200115|66504|21953
internet|20200215|66826|21984
internet|20200315|67239|22322
internet|20200415|67522|22458
internet|20200515|67797|22579
internet|20200615|68094|22659
internet|20200715|68424|22821
internet|20200815|68842|23036
internet|20200915|69197|23184
internet|20201015|69463|23285
internet|20201115|69726|23244
internet|20201215|70031|23548
internet|20210115|70079|23498
internet|20210215|70360|23529
internet|20210315|70604|23712
internet|20210415|70879|23878
internet|20210515|71009|23880
internet|20210615|71245|23944
internet|20210715|71407|23935
internet|20210815|71571|24158
internet|20210915|71877|24366
internet|20211015|71910|24677
internet|20211115|72171|24490
internet|20211215|72258|24384
internet|20220115|72493|24659
internet|20220215|72669|24727
internet|20220315|72657|24716
internet|20220415|72809|24646
internet|20220515|72993|24731
internet|20220615|73098|24908
internet|20220715|73416|25217
internet|20220815|73471|25050
internet|20220915|73671|25205
internet|20221015|73566|25078
internet|20221115|73635|24912
internet|20221215|73766|24964
internet|20230115|73883|25027
internet|20230215|73896|25001
internet|20230315|74015|25006
internet|20230415|74240|25197
internet|20230515|74255|25192
internet|20230615|74347|25161
internet|20230715|74366|25153
internet|20230815|74490|25833
internet|20230915|74625|25980
internet|20231015|74760|25986
internet|20231115|74846|25936
internet|20231215|74942|25825
internet|20240115|75036|25877
internet|20240215|75142|25455
internet|20240315|75270|25889
internet|20240415|75399|26116
internet|20240515|75596|26164
internet|20240615|75646|26236
