region|date|baixa|media|alta
internet|20230615|3036|6029|16096
internet|20230715|3021|6085|16047
internet|20230815|3121|6175|16538
internet|20230915|3105|6158|16717
internet|20231015|3144|6208|16634
internet|20231115|3125|6159|16651
internet|20231215|3229|6197|16398
internet|20240115|3216|6172|16488
internet|20240215|3139|6125|16190
internet|20240315|3205|6194|16490
internet|20240415|3260|6189|16667
internet|20240515|3293|6253|16618
internet|20240615|3346|6200|16690
lacnic|20140615|144|283|1016
lacnic|20140715|148|273|1056
lacnic|20140815|143|280|1083
lacnic|20140915|132|289|1147
lacnic|20141015|142|313|1130
lacnic|20141115|145|318|1173
lacnic|20141215|148|312|1232
lacnic|20150115|149|316|1233
lacnic|20150215|159|314|1272
lacnic|20150315|154|317|1295
lacnic|20150415|159|335|1321
lacnic|20150515|156|351|1349
lacnic|20150615|160|364|1341
lacnic|20150715|177|357|1371
lacnic|20150815|168|355|1395
lacnic|20150915|159|369|1448
lacnic|20151015|172|363|1495
lacnic|20151115|169|383|1476
lacnic|20151215|169|374|1528
lacnic|20160115|173|410|1544
lacnic|20160215|196|406|1577
lacnic|20160315|213|386|1650
lacnic|20160415|212|405|1626
lacnic|20160515|203|411|1665
lacnic|20160615|206|408|1705
lacnic|20160715|214|419|1749
lacnic|20160815|228|434|1754
lacnic|20160915|224|445|1820
lacnic|20161015|219|439|1866
lacnic|20161115|229|410|1899
lacnic|20161215|220|444|1909
lacnic|20170115|223|441|1949
lacnic|20170215|220|449|2037
lacnic|20170315|239|420|2086
lacnic|20170415|231|421|2118
lacnic|20170515|229|443|2174
lacnic|20170615|228|437|2212
lacnic|20170715|236|458|2212
lacnic|20170815|222|449|2287
lacnic|20170915|243|463|2294
lacnic|20171015|251|475|2356
lacnic|20171115|244|478|2442
lacnic|20171215|229|478|2446
lacnic|20180115|228|497|2445
lacnic|20180215|247|506|2486
lacnic|20180315|251|513|2570
lacnic|20180415|282|522|2585
lacnic|20180515|268|509|2653
lacnic|20180615|269|532|2690
lacnic|20180715|265|511|2719
lacnic|20180815|250|531|2769
lacnic|20180915|249|542|2808
lacnic|20181015|247|536|2861
lacnic|20181115|243|517|2954
lacnic|20181215|237|544|2933
lacnic|20190115|247|541|2940
lacnic|20190215|245|566|2963
lacnic|20190315|239|583|3018
lacnic|20190415|249|580|3003
lacnic|20190515|250|575|3033
lacnic|20190615|242|601|2976
lacnic|20190715|251|618|2996
lacnic|20190815|263|631|3072
lacnic|20190915|251|663|3068
lacnic|20191015|248|650|3147
lacnic|20191115|260|639|3233
lacnic|20191215|247|660|3218
lacnic|20200115|243|659|3345
lacnic|20200215|251|671|3361
lacnic|20200315|256|678|3476
lacnic|20200415|257|714|3557
lacnic|20200515|248|734|3619
lacnic|20200615|262|690|3753
lacnic|20200715|279|677|3830
lacnic|20200815|292|699|3862
lacnic|20200915|299|730|3933
lacnic|20201015|309|757|3810
lacnic|20201115|309|755|3821
lacnic|20201215|314|762|3920
lacnic|20210115|320|785|3913
lacnic|20210215|307|775|3929
lacnic|20210315|320|752|4018
lacnic|20210415|335|765|4021
lacnic|20210515|327|770|4057
lacnic|20210615|341|784|4073
lacnic|20210715|343|779|4082
lacnic|20210815|347|843|4087
lacnic|20210915|350|835|4125
lacnic|20211015|351|861|4111
lacnic|20211115|368|855|4138
lacnic|20211215|355|860|4124
lacnic|20220115|379|895|4124
lacnic|20220215|379|863|4175
lacnic|20220315|399|878|4149
lacnic|20220415|403|878|4125
lacnic|20220515|409|886|4101
lacnic|20220615|432|848|4135
lacnic|20220715|444|853|4193
lacnic|20220815|430|856|4143
lacnic|20220915|445|883|4141
lacnic|20221015|421|900|4112
lacnic|20221115|448|904|4051
lacnic|20221215|425|917|4091
lacnic|20230115|446|887|4090
lacnic|20230215|439|912|4110
lacnic|20230315|453|901|4088
lacnic|20230415|457|917|4097
lacnic|20230515|467|910|4090
lacnic|20230615|472|936|4111
lacnic|20230715|488|921|4186
lacnic|20230815|491|955|4143
lacnic|20230915|493|963|4194
lacnic|20231015|503|959|4178
lacnic|20231115|510|952|4162
lacnic|20231215|552|959|4134
lacnic|20240115|534|967|4150
lacnic|20240215|536|972|4117
lacnic|20240315|533|977|4101
lacnic|20240415|539|966|4135
lacnic|20240515|562|996|4112
lacnic|20240615|575|966|4148
ripencc|20140615|318|985|2963
ripencc|20140715|322|1002|3020
ripencc|20140815|341|1002|3036
ripencc|20140915|343|997|3085
ripencc|20141015|347|1003|3121
ripencc|20141115|339|1009|3188
ripencc|20141215|356|1008|3153
ripencc|20150115|369|1025|3209
ripencc|20150215|379|1009|3186
ripencc|20150315|363|1030|3243
ripencc|20150415|369|1034|3198
ripencc|20150515|369|1065|3219
ripencc|20150615|377|1069|3211
ripencc|20150715|377|1080|3183
ripencc|20150815|384|1077|3230
ripencc|20150915|392|1099|3234
ripencc|20151015|384|1141|3233
ripencc|20151115|381|1136|3292
ripencc|20151215|389|1134|3353
ripencc|20160115|401|1143|3376
ripencc|20160215|405|1166|3419
ripencc|20160315|408|1177|3462
ripencc|20160415|416|1184|3477
ripencc|20160515|412|1200|3492
ripencc|20160615|416|1208|3519
ripencc|20160715|422|1194|3505
ripencc|20160815|436|1219|3566
ripencc|20160915|433|1208|3577
ripencc|20161015|429|1215|3571
ripencc|20161115|440|1227|3602
ripencc|20161215|434|1240|3585
ripencc|20170115|451|1216|3555
ripencc|20170215|454|1241|3636
ripencc|20170315|449|1279|3646
ripencc|20170415|470|1267|3688
ripencc|20170515|476|1282|3690
ripencc|20170615|483|1273|3754
ripencc|20170715|480|1319|3729
ripencc|20170815|496|1323|3788
ripencc|20170915|501|1343|3770
ripencc|20171015|505|1390|3822
ripencc|20171115|522|1366|3912
ripencc|20171215|502|1405|3853
ripencc|20180115|493|1378|3858
ripencc|20180215|511|1373|3902
ripencc|20180315|532|1408|3936
ripencc|20180415|583|1495|4026
ripencc|20180515|568|1457|4047
ripencc|20180615|592|1470|4123
ripencc|20180715|549|1434|4044
ripencc|20180815|565|1460|4104
ripencc|20180915|576|1486|4101
ripencc|20181015|583|1450|4165
ripencc|20181115|601|1431|4270
ripencc|20181215|588|1453|4289
ripencc|20190115|593|1432|4343
ripencc|20190215|596|1468|4346
ripencc|20190315|608|1475|4341
ripencc|20190415|603|1409|4373
ripencc|20190515|626|1465|4424
ripencc|20190615|630|1477|4451
ripencc|20190715|629|1504|4444
ripencc|20190815|634|1491|4390
ripencc|20190915|635|1513|4520
ripencc|20191015|640|1491|4706
ripencc|20191115|649|1510|4670
ripencc|20191215|672|1515|4574
ripencc|20200115|666|1507|4698
ripencc|20200215|670|1564|4624
ripencc|20200315|682|1593|4704
ripencc|20200415|674|1566|4727
ripencc|20200515|671|1609|4729
ripencc|20200615|681|1560|4698
ripencc|20200715|690|1577|4697
ripencc|20200815|714|1573|4702
ripencc|20200915|728|1569|4716
ripencc|20201015|777|1570|4752
ripencc|20201115|773|1585|4721
ripencc|20201215|770|1579|4859
ripencc|20210115|765|1579|4872
ripencc|20210215|768|1576|4865
ripencc|20210315|794|1556|4913
ripencc|20210415|812|1543|4918
ripencc|20210515|786|1535|4947
ripencc|20210615|793|1567|4949
ripencc|20210715|774|1549|4926
ripencc|20210815|771|1564|4942
ripencc|20210915|778|1594|4928
ripencc|20211015|773|1601|5202
ripencc|20211115|778|1591|5018
ripencc|20211215|746|1622|4920
ripencc|20220115|778|1618|5003
ripencc|20220215|788|1629|4984
ripencc|20220315|795|1606|5021
ripencc|20220415|790|1633|4959
ripencc|20220515|771|1659|5037
ripencc|20220615|777|1653|5099
ripencc|20220715|798|1633|5206
ripencc|20220815|802|1609|5086
ripencc|20220915|804|1636|5129
ripencc|20221015|801|1657|5095
ripencc|20221115|788|1645|5091
ripencc|20221215|793|1614|5062
ripencc|20230115|779|1647|5082
ripencc|20230215|763|1645|5019
ripencc|20230315|770|1655|5018
ripencc|20230415|804|1659|5061
ripencc|20230515|778|1652|5084
ripencc|20230615|785|1602|5097
ripencc|20230715|750|1662|5010
ripencc|20230815|770|1663|5117
ripencc|20230915|764|1656|5148
ripencc|20231015|776|1677|5130
ripencc|20231115|793|1684|5154
ripencc|20231215|808|1675|5046
ripencc|20240115|809|1697|5073
ripencc|20240215|793|1672|5016
ripencc|20240315|815|1671|5096
ripencc|20240415|823|1675|5111
ripencc|20240515|843|1662|5113
ripencc|20240615|876|1645|5162
