#date|total_ases|aspp_and_moreSpecific|aspp_and_selective|more_specific_and_selective|all_three|just_aspp|just_more_specific|just_selective
20230715|10565|1624|1965|3664|1336|2146|1932|1906
20230815|10777|1629|1989|3776|1335|2134|1942|1977
20230915|11078|1740|2146|3939|1447|2157|1975|2015
20231015|10987|1715|2095|3796|1387|2192|1948|2015
20231115|11047|1728|2108|3822|1390|2196|1941|2032
20231215|11156|1777|2142|3858|1443|2252|1975|2038
20240115|11182|1797|2168|3878|1465|2245|1971|2053
20240215|11323|1803|2162|3914|1464|2290|2007|2075
20240315|11396|1841|2210|3968|1491|2297|1990|2072
20240415|11499|1887|2256|3995|1524|2327|1989|2093
20240515|11642|1954|2315|4094|1581|2318|1992|2131
20240615|11752|1957|2315|4078|1577|2355|2029|2172
