#as_origin|region|country|as_type|prefix01(neighbors_announced);prefix02(neighbors_announced);...
17709|apnic|TW|isp|2001:f10::/32(9505,9264,2914);2404::/26(9505,9264,2914);2404::/32(9505,9264,2914);2404:0:1000::/40(9505,2914)
17714|apnic|TW|none|2606:c00:65::/48(9505)
17715|apnic|TW|none|2001:ca0::/32(17419)
17719|apnic|AU|isp|2405:9000:80::/48(7474);2405:9000:90::/48(7474)
17721|apnic|PH|education|2404:9800::/32(9821)
17727|apnic|ID|isp|2404:c000:8000::/33(45147,55818);2404:c000:c000::/47(45147,55818);2404:c000:c000::/48(45147,55818);2404:c000:c001::/48(45147,55818)
17732|apnic|AU|none|2404:8600::/32(4826,703);2404:8600:4000::/37(4826,703);2404:8600:6000::/37(4826,703)
17741|apnic|AU|hosting|2401:2800::/32(7594)
17746|apnic|NZ|none|2400:4800::/32(4610)
17753|apnic|IN|isp|2402:8c00:2::/48(6939)
17754|apnic|IN|isp|2401:fb00::/33(9498)
17762|apnic|IN|isp|2402:d400::/48(4755);2402:d400:3::/48(4755)
17766|apnic|AU|hosting|2001:db0::/32(4826)
17771|apnic|IN|isp|2405:1e00::/48(6939);2405:1e00:1::/48(9498);2405:1e00:2::/48(45820);2405:1e00:155::/48(45820)
17787|apnic|PK|business|2403:a500::/32(38193);2405:c00:64::/48(38193);2405:c00:1000::/48(38193)
17806|apnic|BD|isp|2403:ec00::/32(6453,9498)
17813|apnic|IN|isp|2402:2600::/33(4755);2402:2600:8000::/33(4755)
17819|apnic|SG|hosting|2001:df1:c000::/48(4826,2914,1221);2404:4f00::/32(4826,6453,2914,1221);2404:6900::/32(1273,6939,10026,3491,4635);2407:b000::/32(4725,6453,2497);2407:d300::/32(4826,6453,2914,1221)
17820|apnic|IN|business|2402:8400::/48(4755);2402:8400:1::/48(4755);2402:8400:2::/48(4755);2402:8400:3::/48(4755);2402:8400:4::/48(4755);2402:8400:6::/48(4755);2402:8400:100::/40(4755);2402:8400:200::/40(4755);2402:8400:400::/40(4755);2402:8400:600::/40(4755);2402:8400:700::/40(4755);2402:8400:900::/40(4755)
17825|apnic|IN|business|2400:6300::/48(9583)
17828|apnic|PG|isp|2001:c60::/32(6453,24130,4637)
17832|apnic|KR|none|2001:220::/35(6939);2001:2b8::/32(1237,6939);2001:2b8:2::/48(1237,6939);2001:2b8:11::/48(1237,6939);2001:2b8:16::/48(1237,6939);2001:2b8:17::/48(1237,6939);2001:2b8:19::/48(1237,6939);2001:2b8:20::/48(1237,6939);2001:2b8:21::/48(1237,6939);2001:2b8:22::/48(1237,6939);2001:2b8:26::/48(1237,6939);2001:2b8:28::/48(1237,6939);2001:2b8:30::/48(1237,6939);2001:2b8:31::/48(1237,6939);2001:2b8:32::/48(1237,6939);2001:2b8:35::/48(1237,6939);2001:2b8:36::/48(1237,6939);2001:2b8:37::/48(1237,6939);2001:2b8:39::/48(1237,6939);2001:2b8:40::/48(1237,6939);2001:2b8:43::/48(1237,6939);2001:2b8:45::/48(1237,6939);2001:2b8:48::/48(1237,6939);2001:2b8:49::/48(1237,6939);2001:2b8:50::/48(1237,6939);2001:2b8:f2::/48(1237,6939);2001:2b8:200::/48(1237,6939);2001:7fa::/32(6939);2001:ea0::/32(1237,6939);2001:eb8:ffff::/48(1237,6939);2001:ef0:4000::/34(1237);2001:ef0:a000::/35(1237);2001:ef8::/32(1237,6939);2001:44d0::/28(1237,6939);2400:3300::/32(1237,6939);2400:ab00::/32(1237,6939);2401:a000::/32(1237,6939);2401:a000:110::/48(1237,6939);2401:a000:116::/48(1237,6939);2401:a000:22b::/48(1237,6939);2401:a000:22c::/48(1237,6939);2402:1::/36(1237);2402:5800::/32(1237,6939);2402:f400::/32(1237);2403:3e00::/32(1237,6939);2403:6500::/32(1237,6939);2404:2300::/32(1237,6939);2405:3d00:200::/48(1237,6939);2405:3d00:201::/48(1237,6939);2405:3d00:202::/48(1237,6939);2405:3d00:224::/48(1237,6939);2405:3d00:5200::/48(1237,6939);2405:3d00:5201::/48(1237,6939);2405:3d00:5202::/48(1237,6939);2405:3d00:5224::/48(1237,6939);2406:6600::/32(1237,6939);2407:b20::/32(1237);2407:3500::/32(1237);2407:c000::/32(6939)
17886|apnic|SG|hosting|2401:8400::/32(7473)
17888|apnic|HK|hosting|2400:4c00::/32(10026,7473,4635);2400:f000::/32(10026,7473,4635)
17894|apnic|PH|hosting|2401:b900::/32(4775)
17910|apnic|ID|isp|2406:5c00::/32(18379)
17911|apnic|PK|isp|2400:4f00::/36(38193)
17916|apnic|AU|business|2401:df00::/32(7474,3549)
17917|apnic|IN|isp|2403:8400::/48(4755);2403:8400:1::/48(4755);2403:8400:10::/48(4755)
17922|apnic|ID|none|2407:0:1002::/48(4761)
17924|apnic|HK|isp|2407:b400::/32(9381,4635,2914,6939);2407:b400:64::/46(4635,6939)
17927|apnic|SA|none|2402:e600::/32(4788,3491)
17931|apnic|JP|hosting|2402:4700::/32(4704,4713)
17932|apnic|JP|education|2001:df0:2ed::/48(2500,2907)
17934|apnic|JP|education|2001:e38::/32(11537,9355,4635,4713)
17937|apnic|JP|business|2404:cb00::/32(4725,4713)
17939|apnic|JP|isp|2405:c700::/32(2497,9002)
17940|apnic|JP|isp|2001:44b0::/32(2497,4713)
17941|apnic|JP|hosting|2402:c600::/32(1273,23637,6939,4713,9002)
17944|apnic|JP|business|2001:df0:2ca::/48(2519,4725,2907)
17951|apnic|JP|none|2403:4400::/32(2497,4713)
17953|apnic|JP|isp|2404:7a00::/32(10010,4694)
17955|apnic|JP|isp|2406:8000::/32(2497,9002,4725,4713)
17961|apnic|JP|hosting|2402:e200::/32(7668,4725,9002)
17970|apnic|PH|isp|2405:f400::/32(23930);2405:f400::/34(23930);2405:f400:4000::/34(23930);2405:f400:8000::/34(23930);2405:f400:c000::/34(23930)
17971|apnic|MY|hosting|2401:b000::/32(4788)
17974|apnic|ID|none|2001:4488:1::/48(7713);2001:4488:4::/48(7713);2001:4488:1100::/48(7713);2001:4488:1150::/44(7713);2001:4488:2100::/48(7713);2001:4488:3000::/36(7713);2001:4488:5100::/48(7713)
17987|apnic|AU|business|2407:6e00:5::/48(4739);2407:6e00:254::/48(4739)
17990|apnic|HK|hosting|2001:df0:44::/48(4635,6939)
17993|apnic|WS|isp|2405:8c00::/32(6939)
17996|apnic|ID|isp|2402:a600::/32(4761,7713)
18001|apnic|LK|isp|2404:f000::/32(174);2404:f000:2::/48(174,9498)
18011|apnic|CN|none|2001:256::/32(23910)
18015|apnic|NZ|hosting|2401:d200::/32(4826,45177)
18020|apnic|AU|none|2407:7800::/36(4826,4739);2407:7800:4100::/40(3356,6939)
18021|apnic|NZ|business|2400:5900::/32(9503)
18030|apnic|AU|business|2404:b000:20b::/48(9822)
18037|apnic|AU|none|2404:bc00::/32(4826)
18055|apnic|AU|government|2001:df0:251::/48(1221);2407:6a00::/32(1221)
18059|apnic|ID|hosting|2404:1b0::/32(1273,6453,6939,3491,7473);2404:1b0::/48(6453,6939,4788,3491,7473)
18065|apnic|AU|hosting|2400:fa00::/32(10084)
18068|apnic|JP|hosting|2403:9c00::/32(2497,2914)
18070|apnic|JP|isp|2400:e000::/32(2497,6939,4713)
18074|apnic|JP|business|2402:7700::/32(2497,2516)
18077|apnic|JP|isp|2402:5a00::/32(2516)
18081|apnic|JP|isp|2404:ec00::/32(2497)
18082|apnic|JP|none|2405:c100::/32(2518,2510)
18085|apnic|JP|none|2400:8400::/32(7505,2516)
18088|apnic|JP|business|2407:8a00::/32(2497)
18092|apnic|JP|isp|2404:1900::/32(4713)
18097|apnic|JP|hosting|2402:c400::/32(2914)
18101|apnic|IN|isp|2001:dd8:21::/48(15412);2001:4528::/32(15412);2001:4528:1::/48(15412);2001:4528:2::/48(15412);2001:4528:9400::/40(15412);2001:4528:9500::/41(15412);2001:4528:9600::/40(15412);2001:4528:9700::/40(15412);2403:5300:1000::/40(15412)
18106|apnic|SG|hosting|2001:d98::/32(1103,3320,6939,34309,8218,34288,37105,41695,23947,9002,13237,7473,6667,50300,45896);2001:d98::/36(6939);2001:d98:1000::/36(6939);2001:d98:2000::/36(6939);2001:d98:3000::/36(6939);2001:d98:4000::/36(6939);2001:d98:5000::/36(6939);2001:d98:6000::/36(6939);2001:d98:7000::/36(6939);2001:d98:8000::/36(6939);2001:d98:9000::/36(6939);2001:d98:a000::/36(6939);2001:d98:b000::/36(6939);2001:d98:c000::/36(6939);2001:d98:d000::/36(6939);2001:d98:e000::/36(6939);2001:d98:f000::/36(6939)
18119|apnic|NZ|hosting|2001:4428::/32(4826,10026)
18121|apnic|JP|isp|2404:a00::/32(2497,9002)
18123|apnic|JP|education|2001:df0:2e4::/48(2907,4713)
18125|apnic|JP|government|2401:ad00::/32(7660,2516,2907)
18126|apnic|JP|business|2001:f58::/32(2497,2519,2516);2402:6b00::/32(2497,2519,2516)
18134|apnic|JP|isp|2405:1200::/32(2497,4725,2516,9002)
18135|apnic|JP|isp|2401:d500::/32(9002,4713)
18139|apnic|JP|business|2406:8e00::/32(2497,2516)
18144|apnic|JP|business|2402:bc00::/29(7670)
18148|apnic|JP|education|2405:be00::/32(2907)
18149|apnic|JP|business|2001:df0:8::/48(2497,2914,2516)
18182|apnic|TW|business|2404:80::/28(9264)
18183|apnic|TW|education|2001:4500::/32(9264);2001:4500:1100::/40(9264);2001:4500:1100::/41(9264);2001:4500:1180::/41(9264)
18185|apnic|TW|education|2001:f18::/32(7539,9505)
18187|apnic|PH|isp|2405:e900::/32(3491,6939)
18200|apnic|NC|isp|2404:2200::/32(38456);2404:2200:10::/48(38456)
18203|apnic|NZ|none|2402:6000:f001::/48(38022);2404:4900::/32(9503)
18206|apnic|MY|hosting|2404:b8::/32(10026,4788,7473)
18207|apnic|IN|isp|2405:6800::/32(4755);2405:6800:800::/37(4755);2405:6800:1000::/37(4755);2405:6800:1800::/37(4755);2405:6800:2000::/37(4755);2405:6800:2800::/37(4755);2405:6800:3000::/37(4755);2405:6800:3800::/37(4755);2405:6800:4000::/37(4755);2405:6800:4800::/37(10201);2405:6800:5000::/37(4755)
18209|apnic|IN|isp|2406:b400:1::/48(4755);2406:b400:11::/48(4755)
18210|apnic|AU|none|2001:dcd:2::/48(1103,12859,6939,29140,13237,50763,34288,44953,3356,9002,31019,25220,42708,174,50300);2001:dcd:4::/48(4826,2914);2001:dcd:5::/48(1273,1916,16735,3356,2914,20080,174);2001:dcd:6::/48(1103,12859,6939,29140,13237,50763,34288,44953,3356,25220,9002,31019,4826,42708,174,50300);2001:dcd:7::/48(12859,6939,1916,44953,3356,50763,1103,29140,16735,9002,31019,42708,174,13237,50300,1273,34288,20080,25220);2001:dcd:22::/48(1916,16735,3356,20080,174);2001:dcd:32::/48(1103,12859,6939,29140,57463,13237,50763,34288,44953,3356,9002,31019,25220,42708,174,50300);2001:dcd:41::/48(1273,174,2914);2001:dcd:51::/48(4826,2914);2001:dcd:3::/48(1273,2914);2001:dcd:1::/48(20080,3356,1916,16735)
18218|apnic|HK|business|2001:ce0:a::/48(3662)
18219|apnic|SG|none|2405:4900:ffff::/48(4657);2405:4b00:ffff::/48(4657)
18224|apnic|SG|hosting|2402:500::/32(4657)
18228|apnic|SG|hosting|2402:4800::/32(4657,10026,3758)
18229|apnic|IN|hosting|2001:df0:458::/48(4755);2400:3b00::/48(9498);2400:3b00:1::/48(9498);2400:3b00:2::/48(4755)
18260|apnic|JP|isp|2400:df00::/32(9002,2914,7522)
18266|apnic|JP|isp|2001:e58::/32(7514,4725,6939)
18268|apnic|JP|isp|2403:3200::/32(2514,2497,9002,4713)
18282|apnic|JP|isp|2406:2800::/32(4725,2914,2516,9002)
18344|apnic|CN|none|2001:e18::/32(23911)
18351|apnic|ID|hosting|2406:6f00:8000::/33(1299)
18353|apnic|NZ|hosting|2404:e200:1::/48(4648);2404:e200:101::/48(4648);2404:e200:102::/48(4648);2404:e200:103::/48(4648);2404:e200:104::/48(4648)
18366|apnic|AU|hosting|2001:dc0:4000::/35(1273,4635,6939);2001:dd8:e::/48(6939)
18368|apnic|AU|business|2001:dd8:6::/48(4777,4635,4608,18366)
18369|apnic|AU|business|2001:dc0:6000::/35(2914)
18371|apnic|AU|isp|2402:b801::/32(4739);2402:b801:100::/40(4739);2402:b801:200::/40(4739);2402:b801:300::/40(4739);2402:b801:400::/40(4739);2402:b801:1000::/36(4739);2402:b801:2000::/36(4739);2402:b801:3000::/36(4739)
18379|apnic|ID|business|2400:b980::/32(2914)
18391|apnic|TW|none|2404:1100::/39(6939)
18400|apnic|NZ|isp|2401:7c00::/32(4648)
18402|apnic|SG|government|2001:df0:301::/48(4657,3758)
18403|apnic|VN|isp|2405:4800::/32(6453);2405:4800::/35(6453);2405:4800:2000::/35(6453);2405:4800:4000::/35(6453);2405:4800:6000::/35(6453);2405:4800:8000::/35(6453);2405:4800:a000::/35(6453);2405:4800:c000::/35(6453);2405:4800:e000::/35(6453)
18404|apnic|AU|none|2403:4200::/32(7545);2406:c500:ff4::/48(7545)
18412|apnic|TW|isp|2401:803f:ff00::/45(4780);2401:803f:ff40::/45(4780)
18422|apnic|TW|education|2001:ed8::/32(9264)
18440|arin|US|business|2620:114:b000::/48(7018,33132);2620:114:b010::/48(7018,33132);2620:114:b0ca::/48(7018,33132);2620:114:b0ff::/48(33132)
18446|arin|CA|none|2607:9900::/32(6939)
18450|arin|US|hosting|2607:f2d8::/32(701,6939,6461)
18451|arin|CA|isp|2605:e200::/32(6939)
18460|arin|US|education|2001:49d0:100::/42(2495)
18474|arin|US|isp|2607:9c00::/32(6939)
18480|arin|US|hosting|2620:b2::/48(4323)
18501|arin|US|hosting|2607:5201::/32(3356)
18508|arin|US|none|2620:0:380::/48(2914,6939)
18530|arin|US|hosting|2001:560::/32(6939,3549)
18531|arin|US|isp|2001:550:2400::/48(174,6939)
18540|arin|US|hosting|2607:f478::/32(174,3356,6461)
18547|lacnic|BR|hosting|2804:ac::/32(22356,16735)
18558|arin|US|education|2607:f708::/32(2152)
18563|arin|CA|hosting|2620:10:8000::/48(21548)
18565|arin|US|none|2600:3004::/32(4323,6461)
18588|arin|CA|business|2620:116:d000::/40(3257,22652,3356,6939)
18590|arin|US|hosting|2606:d600::/32(174)
18592|lacnic|MX|education|2001:1228::/32(11537,174)
18604|arin|US|none|2620:40:4000::/48(17227)
18618|arin|US|isp|2606:9000::/32(46849)
18640|arin|US|business|2001:550:a01::/48(174)
18678|lacnic|CO|business|2800:310::/32(174);2800:310:1::/48(174);2800:310:21::/48(174,12956)
18680|arin|US|business|2001:4878:26::/48(2914);2001:4878:2026::/48(2914);2001:4878:4026::/48(2914);2001:4878:8026::/48(2914);2001:4878:c026::/48(2914);2600:1404:5::/48(1299);2600:1404:9::/48(7922)
18694|arin|US|business|2620:0:10::/48(21547)
18705|arin|CA|business|2607:ffc0::/32(1103,12859,6453,6939,29140,57463,13237,50763,34288,44953,9002,8365,31019,25220,42708,50300);2607:ffc0:c::/48(6453);2607:ffc0:d::/48(6453)
18712|arin|US|isp|2606:8f00::/32(174,3356)
18717|arin|US|hosting|2600:1407:5::/48(7922)
18734|lacnic|MX|isp|2001:1278::/32(174,3356,6939)
18749|arin|US|business|2620:0:b90::/48(4323)
18750|arin|CA|hosting|2607:f078::/32(6939,701)
18779|arin|US|hosting|2604:4f00::/36(6939,13030,2914,9002,174);2607:f358::/32(6939,13030,2914,9002,174);2607:f358:1::/48(9002,174,6939,13030);2607:f358:2::/48(9002,174,6939,13030);2607:f358:3::/48(9002,174,6939,13030);2607:f358:10::/48(9002,174,6939,13030);2607:f358:11::/48(9002,174,6939,13030);2607:f358:15::/48(174,4436);2607:f358:20::/48(9002,174,6939,13030)
18786|arin|US|isp|2607:ffe8::/32(3257,174,6939)
18806|arin|US|none|2607:1800::/32(2828,4323)
18812|arin|US|business|2604:9a80::/32(209)
18817|arin|US|isp|2604:7a00::/32(11232)
18853|arin|US|isp|2604:6680::/32(4323)
18865|arin|US|hosting|2604:ee00::/48(6939)
18881|lacnic|BR|isp|2804:1b0::/31(53237,52888,1916,28571,12956,28138,3549,14840,262757,28294,22548,262750,20121);2804:7f0::/29(53237,52888,1916,28571,12956,28138,3549,14840,262757,28294,22548,262750,20121)
18888|arin|US|business|2620:115::/44(17226,3356,2914,6939)
18889|arin|US|government|2602:fff0::/36(209,7018)
18907|arin|US|hosting|2605:2880::/46(2828);2605:2880::/48(209,2828);2605:2880:3::/48(209,2828)
18931|afrinic|ZA|business|2c0f:fe20::/32(3741);2c0f:fe20:cafe::/48(3741)
18973|arin|US|hosting|2606:1a00::/32(6128,2914);2606:1a00:100::/40(2914);2606:1a00:a00::/40(2914)
18978|arin|US|hosting|2605:f700:10::/48(6939,3257,4436,6461,174);2605:f700:40::/44(6939,3257,4436,6461,174);2605:f700:80::/44(174,6461);2605:f700:c0::/44(174,6461);2605:f700:100::/44(174,6461);2605:f700:140::/42(6939,3257,4436,6461,174)
19008|arin|US|isp|2607:fb40::/32(6461,32703)
19009|arin|US|isp|2607:9200::/32(2914)
19016|arin|CA|isp|2607::/32(22652,6939);2620:35:8000::/48(22652,6939)
19019|arin|US|none|2607:f3f8::/32(209,3356,11232)
19021|arin|US|isp|2610:b8::/32(3356,6939,174)
19024|arin|US|hosting|2600:c10::/32(3257,7018,2914,174,1299);2600:c10:21::/48(3257,7018,2914,174,1299);2604:5b00::/32(3257,7018,2914,174,1299);2604:6300::/32(3257,7018,2914,174,1299)
19056|arin|US|none|2604:3d80:804::/48(7018,4323)
19066|arin|US|none|2604:d700::/32(209,2914)
19071|arin|US|business|2620:10e:a001::/48(4323,6461);2620:10e:a002::/48(6461)
19072|arin|US|none|2620:9e:8000::/48(7018,19024)
19073|arin|US|none|2607:f700::/33(11404,3356)
19092|arin|US|hosting|2607:f1e0::/32(11924,3356,6461);2607:f1e0:1000::/39(6461);2607:f1e0:4000::/39(6461);2607:f1e0:5000::/39(6461)
19104|arin|US|business|2602:fff1::/36(3356);2001:1900:2247::/48(3356)
19108|arin|US|isp|2600:5400::/27(3257,1299,2914,3356);2600:5400:e900::/48(3257,1299,2914)
19114|lacnic|EC|isp|2800:830::/31(12956);2800:830:c001::/48(12956)
19133|arin|US|hosting|2605:7900:1::/48(14744);2605:7900:2::/48(14744);2605:7900:3::/48(14744);2605:7900:4::/48(14744);2605:7900:8::/48(12179);2605:7900:9::/48(12179);2605:7900:10::/48(12179);2605:7900:11::/48(12179);2605:7900:16::/48(10913);2605:7900:17::/48(10913);2605:7900:18::/48(10913);2605:7900:19::/48(10913)
19149|arin|US|hosting|2001:18c8:300::/40(209)
19151|arin|US|hosting|2607:f138::/32(12859,6939,5580,3356,8426,286,9189,50763,6667,553,1103,25560,29140,20640,8218,16735,680,251,9002,31019,4589,42708,174,50300,13237,1273,13030,8763,34288,15435,37105,41695,2914,25220,2857,34309,29686)
19165|arin|US|isp|2604:5500::/42(4436,6939,6461);2604:5500:c00::/42(2828)
19169|lacnic|EC|none|2800:2a0::/32(3257,1299,12956)
19171|arin|CA|isp|2607:4100::/32(6327,22652,6939);2607:4100:2000::/35(22652,6939);2607:4100:ffff::/48(6327,6939)
19182|lacnic|BR|isp|2804:cc::/32(53237,52888,1916,28571,28138,262757,14840,28294,53175,22548,262750,20121)
19192|lacnic|VE|education|2800:a010::/32(27807,20312,3549)
19200|lacnic|BR|government|2801:80:40::/48(2716,14840)
19214|arin|US|hosting|2607:4200::/32(4436,174,6939)
19232|afrinic|ZA|none|2001:43f8:a0::/48(2018)
19237|arin|US|hosting|2607:fe90::/32(174,3356)
19255|arin|US|hosting|2001:4978::/32(23352,5580,2828,4436)
19271|arin|US|none|2604:b300:ad00::/48(209);2604:b300:ad01::/48(209);2604:b300:ad02::/48(209);2607:f758::/32(209,4323);2607:f758:1000::/38(209,3356,4323);2607:f758:2000::/38(209,4323);2607:f758:3000::/38(209,3356,4323);2607:f758:4000::/38(209,3356,4323);2607:f758:5000::/38(209,3356,4323);2607:f758:6000::/38(209,3356,4323);2607:f758:8000::/38(209,3356,4323);2607:f758:9000::/38(209,3356,4323);2607:f758:a000::/38(209,3356,4323);2607:f758:c000::/38(209,3356,4323);2607:f758:d000::/38(209,3356,4323);2607:f758:e000::/38(209,3356,4323)
19299|arin|US|business|2620:10d:f002::/48(3257,174,3356)
19305|arin|US|hosting|2a00:f880::/32(3356)
19310|arin|US|isp|2606:7400::/32(6939)
19318|arin|US|hosting|2604:a00::/32(2828,6939);2604:a00:12::/48(2828,6939);2604:a00:14::/48(2828,6939)
19329|arin|US|business|2620:0:1c0::/48(11096)
19331|arin|US|isp|2606:6500::/32(11758,21766)
19373|lacnic|MX|hosting|2806:1080:101::/48(8151)
19384|arin|US|none|2607:f5d0::/32(2828,174,6939,30023)
19400|arin|US|business|2620:110:2000::/40(3356)
19406|arin|US|isp|2604:f400:5::/48(6461)
19419|arin|US|business|2606:bc00::/32(2828,6461);2606:bc00::/34(2828,6461);2606:bc00:4000::/36(6461);2606:bc00:8000::/48(6461);2606:bc00:8eef::/48(6461);2606:bc00:8f00::/40(6461);2606:bc00:bef0::/44(6461)
19422|lacnic|UY|isp|2800:840::/32(12956);2800:840::/36(12956);2800:840::/40(12956);2800:840::/44(12956);2800:840::/48(12956)
19427|arin|US|none|2620:11:8000::/48(174)
19429|lacnic|CO|isp|2800:260::/28(23520,3356,12956);2800:260::/32(23520,3356,12956);2801:0:180::/48(1239);2801:0:210::/48(1239);2801:0:3b0::/48(1239,12956);2801:14::/48(3356,23520)
19447|lacnic|NI|isp|2803:8880::/36(23520);2803:8880:1000::/36(23520);2803:8880:2000::/36(23520);2803:8880:3000::/36(23520);2803:8880:4000::/36(23520);2803:8880:5000::/36(23520);2803:8880:6000::/36(23520);2803:8880:7000::/36(23520);2803:8880:8000::/36(23520);2803:8880:9000::/36(23520);2803:8880:a000::/36(23520);2803:8880:b000::/36(23520);2803:8880:c000::/36(23520);2803:8880:d000::/36(23520);2803:8880:e000::/36(23520);2803:8880:f000::/36(23520)
19453|arin|US|isp|2604:f400:2::/48(174)
19470|arin|US|education|2620:112:8000::/40(209)
19479|arin|US|none|2605:9600::/40(13789);2605:9600:100::/40(13789);2605:9600:200::/40(3356);2605:9600:300::/40(3356);2605:9600:400::/40(6128,13789);2605:9600:500::/40(6128,13789);2605:9600:800::/40(13789)
19506|arin|US|none|2620:0:2900::/44(12182,13789,3257,3549,3356,2914);2620:0:2901::/48(12182,2914,3549);2620:0:2902::/48(3257,3356,2914,13789)
19515|arin|CA|isp|2605:c500::/32(22652,174,6939)
19517|arin|US|hosting|2001:48b8::/32(6939)
19530|arin|US|government|2001:4930::/32(26794)
19531|arin|US|isp|2602:ffca::/36(3257,5580,6939,9002);2604:4600::/32(6939,3257,5580,9002,3491);2605:d100:b000::/36(3257,5580,6939,9002)
19554|arin|US|hosting|2604:8b00::/32(3356)
19555|arin|US|business|2620:18:8000::/48(701);2620:28::/48(3356,701)
19566|arin|CA|business|2607:d700::/32(40341,6939)
19578|arin|US|hosting|2604:8700::/32(174,3356)
19582|lacnic|EC|hosting|2803:8300::/32(3549)
19607|arin|US|none|2a04:21c7:ffff::/48(6939)
19611|lacnic|BR|hosting|2804:1f02::/32(53237,1916,14840)
19621|arin|US|business|2620:103:b000::/44(7018,6939)
19624|arin|US|hosting|2607:f710:33::/48(174);2607:f710:47::/48(27257);2607:f710:61::/48(5541);2607:f710:85::/48(174)
19647|arin|US|hosting|2606:a600:fff8::/48(23005)
19649|arin|US|none|2604:ba80::/48(3356)
19653|arin|US|isp|2605:8200::/32(9002,16735,6939,6461)
19662|arin|CA|isp|2605:1000::/32(3257,6939)
19693|arin|US|hosting|2604:9000::/32(174,3356,2914)
19718|arin|US|isp|2610:28:f020::/48(81)
19723|lacnic|BR|government|2804:594::/32(11835)
19733|arin|US|government|2620:0:5100::/44(6461)
19740|arin|US|hosting|2607:fc30::/32(6939,9002,174,25973,45896)
19750|arin|US|hosting|2620:100:a000::/45(6939,13030,5580,8218,3356,9002);2620:100:a001::/48(8218,5580,6939);2620:100:a002::/48(6939,13030,5580,8218,3356,9002);2620:100:a009::/48(8218,5580,6939);2620:100:a00a::/48(6939,13030,5580,8218,3356,9002)
19751|arin|US|isp|2606:b500::/32(32703)
19752|arin|CA|isp|2604:dc00::/32(22652,3356,6939,13030)
19764|arin|CA|education|2620:dd::/48(812)
19780|arin|US|business|2605:400:500::/40(6461)
19782|arin|US|education|2001:468:400::/40(2381,174,11164);2001:18e8::/32(11537,174,11164);2001:18e8:ffff::/48(2381,11164)
19783|arin|US|business|2620:0:280::/48(1239)
19792|arin|CA|none|2606:8c00::/32(6939)
19804|arin|US|hosting|2607:fdd0:1900::/41(3356)
19807|arin|US|none|2401:4700:3000::/48(10026,3491)
19842|arin|CA|hosting|2605:2600::/32(577,6939,3257,22652,3356,174)
19844|arin|US|hosting|2605:d100::/36(3257,19531)
19855|arin|US|hosting|2402:2100::/32(3491,3356,3758);2607:fa70::/32(3758,6939,4755,3356,3491);2a03:6580::/32(3491,3356,3758)
19863|lacnic|GY|isp|2800:3c0::/35(174,23520,12180);2800:3c0:2000::/35(174,23520,12180);2800:3c0:4000::/35(174,23520,12180);2800:3c0:6000::/35(174,23520,12180);2800:3c0:8000::/35(174,23520,12180);2800:3c0:a000::/35(174,23520,12180);2800:3c0:c000::/35(174,23520,12180);2800:3c0:e000::/35(174,23520,12180)
19866|arin|US|business|2620:0:2870::/48(6939)
19871|arin|US|hosting|2607:f408::/32(3356);2607:f408::/40(3356);2607:f408:1000::/40(3356)
19889|lacnic|AR|isp|2800:6d0::/32(3549)
19893|arin|US|hosting|2606:9500:100::/40(2828,3356,4323);2606:9500:200::/40(3356,2828,6461);2606:9500:201::/48(3356,2828,6461)
19905|arin|US|hosting|2610:a1:1028::/48(3356,2914)
19907|arin|US|none|2001:503:c779::/48(174,6461)
19911|arin|US|business|2610:a1:1072::/48(12008)
19930|arin|US|hosting|2607:f6f0:203::/48(4323,2828)
19940|arin|US|isp|2606:8800::/32(30071,3356,6939,6461)
19945|arin|US|education|2620:101:3000::/42(6939)
19947|arin|US|none|2600:3000:4000::/36(209);2600:3000:4100::/40(209)
19969|arin|US|hosting|2001:470:32::/48(6939);2604:5800::/32(3356,6939)
19994|arin|US|hosting|2001:4801::/32(36248,3356,6461);2404:de00::/32(6461)
20001|arin|US|isp|2600:5c00::/32(7843);2605:e000::/32(7843);2606:6000::/32(7843)
20011|afrinic|ZA|isp|2001:4308::/32(3741);2001:4308:11::/48(3741)
20021|arin|US|hosting|2600:1300::/32(209,2828,4323,6461);2600:1304::/32(209,2914,2828,6461);2600:1308::/32(3356,2914,6461);2600:130c::/32(209,3356,6461)
20037|arin|US|hosting|2606:b400:8012::/48(209,2828)
20049|arin|US|none|2620:109:c00d::/48(14413)
20052|arin|US|none|2620:100:1000::/48(12129);2620:100:1001::/48(12129)
