#as_origin|region|country|as_type|prefix01(neighbors_announced);prefix02(neighbors_announced);...
59|arin|US|education|2607:f388::/32(11537,2381)
64|arin|US|none|2620:0:240::/48(2914)
70|arin|US|government|2607:f220:41e::/48(11537,10886,3356,11164)
71|arin|US|none|2620:0:a00::/43(3356,701);2620:0:a00::/48(7018,701);2620:0:a01::/48(701);2620:0:a02::/48(7018,701);2620:0:a03::/48(7018,701);2620:0:a04::/48(7018,701);2620:0:a05::/48(7018,701);2620:0:a06::/48(7018,701);2620:0:a07::/48(7018,701);2620:0:a08::/48(7018,701);2620:0:a09::/48(7018,701);2620:0:a0d::/48(7018,701);2620:0:a10::/48(7018,701);2620:0:a12::/48(701);2620:0:a14::/48(7018,701);2620:0:a16::/48(7018,701);2620:0:a17::/48(7018,701);2620:0:a1a::/48(7018,701)
72|arin|US|business|2620:0:1700::/44(1273)
73|arin|US|education|2607:4000::/32(101)
75|arin|US|none|2001:48d0:a000::/35(195)
81|arin|US|education|2001:468:1500::/40(11537,11164);2610:28::/32(11537,11164)
84|arin|US|government|2001:480:630::/48(668)
85|arin|US|business|2001:1878:800::/44(226)
89|arin|US|government|2001:480:540::/48(668)
91|arin|US|education|2620:0:2820::/48(3754,174,3356)
101|arin|US|education|2001:1860::/32(6939,50763,11164,2497,2914,174,30071);2001:1860::/34(11537,50763,11164,2497,2914,174);2001:1860:4000::/34(11537,17579,50763,11164,2497,2914,174);2001:1860:8000::/34(11537,17579,50763,11164,2497);2001:1860:c000::/34(11537,2497,50763,11164)
102|arin|US|government|2001:468:c13::/48(10886);2620:10f:6000::/40(6223)
103|arin|US|education|2620:10d:2000::/40(174,3356,22335)
109|arin|US|business|2001:420::/32(7018,6939);2001:420:14a::/48(1239);2001:420:2ca::/48(1239);2001:420:30a::/48(1239);2001:420:780::/48(1239);2001:420:1000::/40(7018,701);2001:420:1100::/41(7018,701);2001:420:1180::/41(7018,6939);2001:420:1200::/41(7018,6939);2001:420:2000::/35(7018,1299,3356,6939);2001:420:4000::/34(4657,9498,1221,2914,2516,10026);2001:420:4000::/36(286,1299,702);2001:420:4c80::/48(1239);2001:420:5000::/39(703,1221);2001:420:5200::/39(9498);2001:420:5400::/39(9498);2001:420:5600::/39(9498);2001:420:5800::/39(10026);2001:420:5a00::/39(10026);2001:420:5c00::/39(4657,3758);2001:420:5e00::/39(2914,2516);2001:420:c0c0::/46(286,1299,702);2001:420:c0c4::/46(1299,701);2001:420:c0d0::/46(703,1221);2001:420:c0d4::/46(4657,3758);2001:420:c0d8::/46(10026);2001:420:c0dc::/46(2914,2516);2001:420:c0e0::/46(9498)
111|arin|US|education|2610:58::/32(10578,174,3356)
