#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
9203|ripencc|RU|none|False|0|0|0.00|1.00
9204|ripencc|RO|none|False|0|0|0.00|1.00
9205|ripencc|UA|isp|False|0|0|0.00|1.00
9206|ripencc|RU|none|False|0|0|0.00|1.00
9207|ripencc|LT|none|False|0|0|0.00|1.00
9208|ripencc|BE|isp|False|0|0|0.00|1.00
9211|ripencc|DE|hosting|False|0|0|0.00|1.00
9213|ripencc|UA|business|False|0|0|0.00|1.00
9216|apnic|TW|business|True|2|2|0.29|1.00
9218|apnic|WS|none|True|15|5|1.00|0.20
9219|apnic|AU|none|True|7|2|1.00|0.50
9221|apnic|HK|business|True|2|1|0.10|1.00
9223|apnic|IN|isp|False|0|0|0.00|1.00
9224|apnic|AU|isp|True|13|4|1.00|0.50
9226|apnic|SG|hosting|True|2|3|0.01|1.00
9227|apnic|IN|none|False|0|0|0.00|1.00
9228|apnic|ID|isp|True|31|3|0.06|1.00
9229|apnic|HK|isp|True|143|15|1.00|0.20
9230|apnic|BD|hosting|True|27|4|0.98|0.75
9231|apnic|HK|isp|True|3|2|0.05|1.00
9234|apnic|SG|isp|True|2|2|0.00|1.00
9237|apnic|HK|isp|False|0|0|0.00|1.00
9238|apnic|IN|none|False|0|0|0.00|1.00
9241|apnic|FJ|isp|True|8|2|0.34|1.00
9242|apnic|HK|hosting|False|0|0|0.00|1.00
9243|apnic|AU|none|False|0|0|0.00|1.00
9244|apnic|TW|isp|True|6|3|0.00|1.00
9245|apnic|NZ|isp|True|23|3|1.00|0.33
9246|apnic|GU|isp|True|18|10|1.00|0.80
9247|apnic|SG|education|False|0|0|0.00|1.00
9249|apnic|VU|isp|False|0|0|0.00|1.00
9253|apnic|HK|business|True|2|1|0.00|1.00
9254|apnic|PH|business|False|0|0|0.00|1.00
9255|apnic|SG|isp|False|0|0|0.00|1.00
9259|apnic|HK|none|True|2|3|0.18|1.00
9260|apnic|PK|isp|True|119|2|0.91|0.50
9263|apnic|HK|isp|False|0|0|0.00|1.00
9264|apnic|TW|education|True|9|7|1.00|0.69
9266|apnic|AU|isp|True|64|2|0.90|0.67
9268|apnic|AU|isp|False|0|0|0.00|1.00
9269|apnic|HK|isp|True|142|16|1.00|0.69
9270|apnic|KR|business|True|2|1|0.65|0.67
9271|apnic|KR|education|True|16|1|0.78|0.67
9272|apnic|KR|none|False|0|0|0.00|1.00
9273|apnic|KR|business|False|0|0|0.00|1.00
9274|apnic|KR|education|True|8|3|1.00|0.50
9275|apnic|KR|education|False|0|0|0.00|1.00
9276|apnic|KR|business|False|0|0|0.00|1.00
9280|apnic|AU|hosting|True|9|2|0.88|0.50
9283|apnic|AU|hosting|False|0|0|0.00|1.00
9285|apnic|IN|business|True|1|1|0.25|1.00
9286|apnic|KR|isp|True|82|4|1.00|0.25
9287|apnic|TH|hosting|False|0|0|0.00|1.00
9288|apnic|AU|hosting|False|0|0|0.00|1.00
9289|apnic|HK|business|False|0|0|0.00|1.00
9290|apnic|AU|hosting|False|0|0|0.00|1.00
