#asn|region|country|as_type|use_moreSpecific(yes;no)|announced_prefixes|moreSpecific_prefixes|moreSpecific_proportion_usage|announced_prefixes(list)
57239|ripencc|PL|hosting|no|1|0|0.00|2001:1a68:12::/48
51373|ripencc|PL|isp|no|1|0|0.00|2001:1a68:14::/48
35491|ripencc|PL|isp|no|1|0|0.00|2001:1a68:15::/48
57367|ripencc|PL|hosting|no|2|0|0.00|2001:1a68:19::/48,2001:1a68:1a::/48
57723|ripencc|PL|isp|no|1|0|0.00|2001:1a68:21::/48
197447|ripencc|PL|isp|no|1|0|0.00|2001:1a68:23::/48
12046|ripencc|EU|business|no|1|0|0.00|2001:1a70::/32
6677|ripencc|IS|isp|yes|2|1|50.00|2001:1a98::/29,2001:1a98::/32
12301|ripencc|HU|hosting|no|1|0|0.00|2001:1aa0::/29
29134|ripencc|CZ|hosting|no|2|0|0.00|2001:1ab0::/32,2a01:8c00::/32
15440|ripencc|LT|hosting|no|1|0|0.00|2001:1ab8::/32
42549|ripencc|LT|hosting|no|1|0|0.00|2001:1ab9::/32
16004|ripencc|IT|isp|no|1|0|0.00|2001:1ac0::/32
12716|ripencc|BG|isp|no|1|0|0.00|2001:1ac8::/32
24953|ripencc|AT|isp|no|2|0|0.00|2001:1ad0::/32,2a00:5320::/32
31283|ripencc|NO|none|no|1|0|0.00|2001:1ad8::/32
8262|ripencc|BG|hosting|no|1|0|0.00|2001:1ae0::/32
13036|ripencc|CZ|isp|no|1|0|0.00|2001:1ae8::/29
13046|ripencc|HR|isp|no|1|0|0.00|2001:1af0::/29
44325|ripencc|HR|business|no|1|0|0.00|2001:1af0:9000::/48
16265|ripencc|NL|none|yes|19|1|5.26|2001:1af8::/32,2a00:c98::/32,2a00:9d20:4::/48,2a01:9260::/32,2a01:9400::/32,2a01:b2e0::/32,2a01:b2e0::/40,2a02:bc0::/32,2a02:cc8::/32,2a02:2968:20::/48,2a02:40c0::/36,2a02:4900::/32,2a03:f85:2::/48,2a03:2280::/32,2a03:4a80::/32,2a03:7480::/44,2a03:e280::/32,2a04:1880:1111::/48,2c0f:f9b8:f::/48
20597|ripencc|RU|hosting|no|1|0|0.00|2001:1b00::/32
20900|ripencc|FR|hosting|no|1|0|0.00|2001:1b08::/32
29259|ripencc|DE|isp|no|2|0|0.00|2001:1b10::/32,2a03:6dc0::/32
21385|ripencc|DE|hosting|no|1|0|0.00|2001:1b18::/32
8728|ripencc|EE|isp|no|1|0|0.00|2001:1b28::/32
20783|ripencc|DE|hosting|no|1|0|0.00|2001:1b30::/32
8218|ripencc|FR|hosting|no|3|0|0.00|2001:1b48::/32,2604:e500::/32,2a00:1f60::/32
35283|ripencc|FR|isp|no|1|0|0.00|2001:1b58::/32
31103|ripencc|DE|hosting|no|1|0|0.00|2001:1b60::/29
158|arin|US|business|no|8|0|0.00|2001:1b70:6::/48,2001:1b70:6202::/48,2001:1b70:8140::/48,2001:1b70:8142::/48,2001:1b70:82ad::/48,2001:1b70:82b0::/46,2001:1b70:82c0::/48,2001:1b70:82ff::/48
28855|ripencc|FR|hosting|no|1|0|0.00|2001:1b78::/32
12912|ripencc|PL|isp|no|1|0|0.00|2001:1b80::/32
25588|ripencc|GB|hosting|no|1|0|0.00|2001:1b90::/32
5578|ripencc|CZ|hosting|no|2|0|0.00|2001:1ba0::/32,2a00:1298::/32
8342|ripencc|RU|hosting|yes|2|1|50.00|2001:1bb0::/32,2001:1bb0:e001::/48
31458|ripencc|IE|none|no|1|0|0.00|2001:1bb8::/32
29686|ripencc|DE|hosting|no|1|0|0.00|2001:1bc0::/32
28716|ripencc|IT|hosting|no|1|0|0.00|2001:1bd0::/32
13272|ripencc|EE|none|no|1|0|0.00|2001:1bf0::/32
47814|ripencc|LV|isp|no|1|0|0.00|2001:1bf8::/32
1299|ripencc|EU|isp|no|3|0|0.00|2001:2000::/20,2407:1600::/32,2a02:26f0:95::/48
3308|ripencc|SE|isp|no|3|0|0.00|2001:2000:1000::/40,2001:2010::/31,2a03:3b80::/32
15659|ripencc|NO|isp|no|4|0|0.00|2001:2000:a000::/40,2001:2001:a000::/40,2001:20a0::/32,2a04:980::/29
12929|ripencc|NO|isp|no|2|0|0.00|2001:2020::/32,2001:2021::/32
5522|ripencc|LT|hosting|no|1|0|0.00|2001:20b0::/32
8565|ripencc|FR|business|no|1|0|0.00|2001:4000::/32
44444|ripencc|EU|hosting|yes|6|2|33.33|2001:4010::/32,2001:4010::/35,2001:4010:68::/48,2001:4010:74::/48,2001:4010:86::/48,2001:4010:88::/48
13110|ripencc|PL|isp|no|1|0|0.00|2001:4020::/32
31479|ripencc|ES|business|no|2|0|0.00|2001:4030::/32,2a04:3a40::/32
31383|ripencc|NL|hosting|no|1|0|0.00|2001:4038::/32
49550|ripencc|LT|none|no|1|0|0.00|2001:4048::/32
48583|ripencc|LT|none|no|1|0|0.00|2001:4048:102::/48
6772|ripencc|CH|isp|no|1|0|0.00|2001:4060::/32
197439|ripencc|CH|hosting|no|1|0|0.00|2001:4060:4052::/48
6666|ripencc|DE|none|no|1|0|0.00|2001:4068::/32
5550|ripencc|PL|education|no|1|0|0.00|2001:4070::/33
12831|ripencc|PL|education|no|1|0|0.00|2001:4070:8000::/33
16073|ripencc|FR|none|no|1|0|0.00|2001:4080::/32
13273|ripencc|FR|hosting|no|1|0|0.00|2001:4080:300::/40
9153|ripencc|GB|hosting|yes|2|1|50.00|2001:4088::/32,2001:4088:2d::/48
12312|ripencc|DE|isp|no|2|0|0.00|2001:4090::/32,2a01:5c8::/32
9116|ripencc|IL|none|no|1|0|0.00|2001:40a8::/32
13039|ripencc|DE|hosting|no|1|0|0.00|2001:40b8::/32
21217|ripencc|CH|hosting|yes|4|2|50.00|2001:40c0::/32,2001:40c0::/40,2001:40c0::/48,2a00:77c0::/48
20912|ripencc|IT|isp|no|1|0|0.00|2001:40d0::/32
30798|ripencc|FI|hosting|no|1|0|0.00|2001:40e8::/32
15997|ripencc|PL|isp|no|1|0|0.00|2001:40f0::/32
15798|ripencc|TR|education|no|1|0|0.00|2001:40f8::/32
12401|ripencc|AT|business|no|1|0|0.00|2001:4100::/32
2607|ripencc|SK|education|no|1|0|0.00|2001:4118::/32
28788|ripencc|NL|hosting|no|1|0|0.00|2001:4128::/32
24725|ripencc|UA|hosting|yes|2|1|50.00|2001:4130::/32,2001:4130:18::/48
15533|ripencc|GB|hosting|no|1|0|0.00|2001:4138::/32
8201|ripencc|BE|none|no|1|0|0.00|2001:4158::/29
8586|ripencc|GB|isp|no|2|0|0.00|2001:4160::/32,2a02:66c0::/32
31424|ripencc|CH|hosting|no|1|0|0.00|2001:4168::/32
13092|ripencc|RS|education|no|1|0|0.00|2001:4170::/32
15456|ripencc|DE|hosting|no|1|0|0.00|2001:4178::/32
8246|ripencc|PL|none|no|1|0|0.00|2001:4190::/32
6762|ripencc|IT|hosting|no|2|0|0.00|2001:41a8::/32,2800:870::/32
12741|ripencc|PL|isp|no|1|0|0.00|2001:41b0::/32
8365|ripencc|DE|hosting|no|1|0|0.00|2001:41b8::/32
2818|ripencc|GB|business|yes|3|1|33.33|2001:41c0::/32,2001:41c0::/33,2001:41c1::/32
31459|ripencc|GB|business|no|1|0|0.00|2001:41c0:8000::/33
35425|ripencc|GB|hosting|no|2|0|0.00|2001:41c8::/32,2001:41c9::/32
16276|ripencc|FR|hosting|no|3|0|0.00|2001:41d0::/32,2402:1f00:2000::/35,2607:5300::/32
28725|ripencc|CZ|isp|no|1|0|0.00|2001:41d8::/32
13115|ripencc|DE|hosting|no|1|0|0.00|2001:41f8::/32
2018|afrinic|ZA|education|no|1|0|0.00|2001:4200::/32
37520|afrinic|ZA|education|no|4|0|0.00|2001:4200:1010::/48,2001:4200:1011::/48,2001:4200:1018::/45,2001:43f8:750::/45
25818|afrinic|ZA|isp|no|1|0|0.00|2001:4210::/32
16637|afrinic|ZA|isp|yes|4|1|25.00|2001:4218::/32,2001:4218:2004::/48,2001:4260::/32,2c0f:fb08::/32
24835|afrinic|EG|isp|no|1|0|0.00|2001:4220::/32
33772|afrinic|TZ|none|no|1|0|0.00|2001:4240::/32
30999|afrinic|MU|isp|no|1|0|0.00|2001:4248::/32
37084|afrinic|TZ|isp|no|1|0|0.00|2001:4258::/32
8346|ripencc|EU|isp|no|1|0|0.00|2001:4278::/32
23889|afrinic|MU|isp|no|1|0|0.00|2001:4290::/32
30990|afrinic|DJ|isp|no|1|0|0.00|2001:4298::/32
6083|afrinic|ZA|hosting|yes|2|1|50.00|2001:42a0::/32,2001:42a0:7000::/40
36937|afrinic|ZA|isp|no|1|0|0.00|2001:42a8::/32
36992|afrinic|EG|isp|yes|3|1|33.33|2001:42b8:1400::/48,2c0f:fc88::/32,2c0f:fc88::/48
30985|afrinic|ML|isp|no|1|0|0.00|2001:42c0::/32
33764|afrinic|MU|hosting|no|3|0|0.00|2001:42d0::/32,2c0f:fa48::/32,2c0f:fb18::/32
36867|afrinic|SC|business|no|1|0|0.00|2001:42e0::/32
31065|afrinic|EG|government|no|1|0|0.00|2001:4300:5503::/48
20011|afrinic|ZA|isp|yes|2|1|50.00|2001:4308::/32,2001:4308:11::/48
30983|afrinic|MA|hosting|no|1|0|0.00|2001:4310::/32
28683|afrinic|BJ|isp|no|1|0|0.00|2001:4320::/32
36910|afrinic|ZA|none|no|1|0|0.00|2001:4330::/32
3208|afrinic|DZ|education|no|1|0|0.00|2001:4340::/32
2609|ripencc|TN|isp|no|2|0|0.00|2001:4350::/32,2c0f:fab0::/28
9129|afrinic|ZA|isp|no|1|0|0.00|2001:4368::/32
36915|afrinic|KE|isp|no|1|0|0.00|2001:4370::/32
36965|afrinic|TZ|isp|no|1|0|0.00|2001:43a0::/32
22351|arin|US|isp|no|3|0|0.00|2001:43a8::/32,2607:f668::/32,2a00:fd8::/32
30844|ripencc|GB|isp|yes|5|1|20.00|2001:43b8::/32,2a01:410::/32,2a01:410:1::/48,2a01:410:2::/48,2c0f:fa10::/32
20928|afrinic|EG|isp|yes|2|1|50.00|2001:43c8::/32,2001:43c8:ffff::/48
37061|afrinic|KE|isp|no|1|0|0.00|2001:43d0::/32
15022|afrinic|ZA|isp|no|1|0|0.00|2001:43d8::/32
37074|afrinic|GH|education|no|1|0|0.00|2001:43e0::/32
37105|afrinic|ZA|isp|no|3|0|0.00|2001:43e8::/32,2001:43f8:360::/48,2c0f:fb40::/32
36944|afrinic|ZA|education|no|1|0|0.00|2001:43f8:20::/48
6968|afrinic|ZA|business|no|2|0|0.00|2001:43f8:30::/48,2001:43f8:790::/48
36982|afrinic|ZA|education|no|1|0|0.00|2001:43f8:70::/45
37513|afrinic|NA|education|no|1|0|0.00|2001:43f8:80::/48
327681|afrinic|MU|none|no|1|0|0.00|2001:43f8:90::/48
19232|afrinic|ZA|none|no|1|0|0.00|2001:43f8:a0::/48
37045|afrinic|TZ|hosting|no|1|0|0.00|2001:43f8:e0::/48
37181|afrinic|MU|business|no|1|0|0.00|2001:43f8:110::/48
37177|afrinic|MU|hosting|no|1|0|0.00|2001:43f8:120::/48
37386|afrinic|UG|none|no|1|0|0.00|2001:43f8:130::/48
327740|afrinic|KE|none|no|1|0|0.00|2001:43f8:170::/48
37304|afrinic|GH|business|yes|2|1|50.00|2001:43f8:240::/47,2001:43f8:241::/48
32279|afrinic|BW|none|no|1|0|0.00|2001:43f8:2a0::/48
37312|afrinic|ZA|business|no|1|0|0.00|2001:43f8:2c0::/48
37364|afrinic|TZ|business|no|1|0|0.00|2001:43f8:330::/48
37187|afrinic|MW|isp|no|2|0|0.00|2001:43f8:380::/48,2c0f:fd50::/32
37419|afrinic|TZ|business|no|1|0|0.00|2001:43f8:610::/48
37354|afrinic|KE|hosting|no|1|0|0.00|2001:43f8:6e0::/48
37501|afrinic|ZA|education|no|1|0|0.00|2001:43f8:770::/46
37555|afrinic|NG|none|no|1|0|0.00|2001:43f8:780::/48
9901|apnic|NZ|none|no|1|0|0.00|2001:4400::/30
9445|apnic|NZ|none|no|3|0|0.00|2001:4403:1001::/48,2001:4403:1002::/48,2001:4403:1003::/48
9896|apnic|NZ|business|no|1|0|0.00|2001:4403:dead::/48
4758|apnic|IN|hosting|yes|36|2|5.56|2001:4408:4::/48,2001:4408:a::/48,2001:4408:b::/48,2001:4408:100::/48,2001:4408:200::/48,2001:4408:1080::/48,2001:4408:1081::/48,2001:4408:4400::/40,2001:4408:4c00::/40,2001:4408:5200::/48,2001:4408:5202::/48,2001:4408:5205::/48,2001:4408:5206::/48,2001:4408:5220::/48,2001:4408:5222::/48,2001:4408:5223::/48,2001:4408:5600::/48,2001:4408:5a00::/40,2001:4408:5e00::/40,2001:4408:5e20::/48,2001:4408:5e21::/48,2001:4408:6000::/40,2001:4408:6200::/40,2001:4408:6600::/40,2001:4408:6c00::/40,2001:4408:6e00::/40,2001:4408:6e32::/48,2001:4408:7200::/40,2001:4408:7800::/40,2001:4408:7a00::/40,2001:4408:7c00::/40,2001:4408:7e00::/40,2001:4408:7f00::/45,2001:4408:7f08::/45,2001:4408:8000::/40,2001:4408:8200::/40
132040|apnic|NZ|isp|yes|18|4|22.22|2001:4410::/32,2001:4410::/40,2001:4410:1000::/40,2001:4410:1001::/48,2001:4410:1004::/48,2001:4410:2000::/40,2001:4410:2001::/48,2001:4410:2002::/48,2001:4410:2003::/48,2001:4410:2006::/48,2001:4410:2007::/48,2001:4410:2009::/48,2001:4410:200a::/48,2001:4410:200b::/48,2001:4410:200c::/48,2001:4410:2011::/48,2001:4410:3000::/40,2001:4410:3001::/48
4782|apnic|TW|isp|no|1|0|0.00|2001:4420::/32
18119|apnic|NZ|hosting|no|1|0|0.00|2001:4428::/32
9299|apnic|PH|isp|no|1|0|0.00|2001:4450::/32
4818|apnic|MY|isp|no|1|0|0.00|2001:4458::/32
4802|apnic|AU|hosting|yes|12|1|8.33|2001:4478::/32,2001:4478:1300::/40,2001:4478:1500::/40,2001:4478:1800::/40,2001:4478:1900::/40,2001:4478:2200::/40,2001:4478:2500::/40,2001:4478:3600::/40,2001:4478:4000::/40,2001:4478:4100::/40,2001:4478:5800::/39,2001:4479::/32
17554|apnic|HK|isp|no|1|0|0.00|2001:4480::/32
7713|apnic|ID|isp|no|1|0|0.00|2001:4488::/32
17974|apnic|ID|none|no|7|0|0.00|2001:4488:1::/48,2001:4488:4::/48,2001:4488:1100::/48,2001:4488:1150::/44,2001:4488:2100::/48,2001:4488:3000::/36,2001:4488:5100::/48
9829|apnic|IN|isp|no|36|0|0.00|2001:4490::/40,2001:4490:100::/40,2001:4490:200::/40,2001:4490:300::/40,2001:4490:7000::/46,2001:4490:7400::/46,2001:4490:7800::/46,2001:4490:7c00::/46,2001:4490:d000::/46,2001:4490:d040::/46,2001:4490:d080::/46,2001:4490:d0c0::/46,2001:4490:d100::/46,2001:4490:d140::/46,2001:4490:d180::/46,2001:4490:d1c0::/46,2001:4490:d240::/46,2001:4490:d280::/46,2001:4490:d380::/46,2001:4490:d4c0::/46,2001:4490:d500::/46,2001:4490:d660::/46,2001:4490:d700::/46,2001:4490:d760::/46,2001:4490:d7a0::/46,2001:4490:d820::/46,2001:4490:d930::/46,2001:4490:da30::/46,2001:4490:dad0::/46,2001:4490:db40::/46,2001:4490:dbf0::/46,2001:4490:dc4c::/46,2001:4490:e000::/46,2001:4490:effc::/46,2001:4490:f020::/46,2001:4490:fffc::/46
24218|apnic|MY|hosting|yes|3|1|33.33|2001:4498::/32,2001:4498:4::/48,2401:5000::/32
2506|apnic|JP|business|no|1|0|0.00|2001:44a0::/32
23836|apnic|JP|isp|no|1|0|0.00|2001:44a8::/32
17940|apnic|JP|isp|no|1|0|0.00|2001:44b0::/32
18183|apnic|TW|education|yes|4|2|50.00|2001:4500::/32,2001:4500:1100::/40,2001:4500:1100::/41,2001:4500:1180::/41
10077|apnic|IN|none|yes|2|1|50.00|2001:4520::/32,2001:4520:1::/48
9433|apnic|NZ|education|no|1|0|0.00|2001:4530::/32
9541|apnic|PK|isp|no|1|0|0.00|2001:4538::/32
33070|arin|US|hosting|no|2|0|0.00|2001:4800::/32,2001:4807:2::/48
19994|arin|US|hosting|no|2|0|0.00|2001:4801::/32,2404:de00::/32
27357|arin|US|hosting|no|1|0|0.00|2001:4802::/32
33437|arin|US|hosting|no|1|0|0.00|2001:4810::/32
12188|arin|CA|none|no|1|0|0.00|2001:4818::/36
36031|arin|CA|none|no|1|0|0.00|2001:4818:1000::/36
36030|arin|CA|none|no|1|0|0.00|2001:4818:2000::/36
40341|arin|CA|none|no|1|0|0.00|2001:4818:3000::/36
27272|arin|CA|none|no|1|0|0.00|2001:4818:4000::/36
30715|arin|CA|hosting|no|1|0|0.00|2001:4818:5000::/36
16942|arin|US|isp|no|1|0|0.00|2001:4828::/32
30071|arin|US|hosting|yes|6|1|16.67|2001:4830::/32,2001:4830:1100::/40,2001:4830:1600::/40,2001:4830:1700::/40,2001:4830:2502::/48,2001:4830:4030::/48
27552|arin|US|hosting|yes|3|1|33.33|2001:4830:100::/40,2001:4830:c000::/36,2001:4830:c100::/48
54611|arin|US|hosting|no|3|0|0.00|2001:4830:131::/48,2001:4830:2020::/45,2602:fffb::/36
22989|arin|US|business|no|1|0|0.00|2001:4830:134::/48
10255|arin|US|hosting|no|1|0|0.00|2001:4830:140::/44
25623|arin|US|hosting|no|1|0|0.00|2001:4830:200::/40
26167|arin|US|hosting|yes|3|1|33.33|2001:4830:1000::/40,2001:4830:1000::/43,2605:5880::/32
3|arin|US|education|no|1|0|0.00|2001:4830:2446::/48
25944|arin|US|hosting|no|1|0|0.00|2001:4830:3000::/48
22147|arin|US|hosting|no|4|0|0.00|2001:4830:3100::/42,2001:4830:3140::/42,2001:4830:3180::/42,2001:4830:c150::/44
33236|arin|US|isp|no|1|0|0.00|2001:4830:31c0::/42
9913|apnic|AU|isp|no|1|0|0.00|2001:4830:4040::/48
61126|ripencc|GB|hosting|no|1|0|0.00|2001:4830:6000::/40
3384|arin|US|education|no|1|0|0.00|2001:4830:c0c0::/44
29748|arin|US|hosting|no|1|0|0.00|2001:4838::/32
6983|arin|US|isp|no|1|0|0.00|2001:4840::/32
27446|arin|US|isp|no|1|0|0.00|2001:4850::/32
32097|arin|US|hosting|no|2|0|0.00|2001:4858::/32,2604:4300::/32
43515|ripencc|IE|hosting|no|1|0|0.00|2001:4860:4805::/48
23148|arin|US|none|yes|8|1|12.50|2001:4868::/32,2001:4868:10c::/48,2001:4868:400::/40,2001:4868:4300::/40,2001:4868:4400::/40,2607:fd28::/40,2607:fd28:100::/40,2a00:18a0::/32
11303|arin|US|none|no|3|0|0.00|2001:4868:401::/48,2001:4868:701::/48,2001:4868:801::/48
27992|lacnic|CO|none|no|1|0|0.00|2001:4868:2200::/40
27991|lacnic|DO|none|no|1|0|0.00|2001:4868:2300::/40
50146|ripencc|ES|none|no|1|0|0.00|2001:4868:4100::/40
21928|arin|US|isp|yes|33|1|3.03|2001:4870:e00b::/48,2607:fb90::/32,2607:fb90::/40,2607:fb90:200::/40,2607:fb90:300::/40,2607:fb90:400::/40,2607:fb90:700::/40,2607:fb90:900::/40,2607:fb90:b00::/40,2607:fb90:c00::/40,2607:fb90:f00::/40,2607:fb90:1000::/40,2607:fb90:1100::/40,2607:fb90:1200::/40,2607:fb90:1300::/40,2607:fb90:1400::/40,2607:fb90:1700::/40,2607:fb90:1b00::/40,2607:fb90:1d00::/40,2607:fb90:2000::/40,2607:fb90:2300::/40,2607:fb90:2400::/40,2607:fb90:2500::/40,2607:fb90:2700::/40,2607:fb90:2c00::/40,2607:fb90:2d00::/40,2607:fb90:beef::/48,2607:fb90:c13d::/48,2607:fb90:800::/40,2607:fb90:d00::/40,2607:fb90:1500::/40,2607:fb90:1c00::/40,2607:fb90:1f00::/40
21399|ripencc|EU|none|no|5|0|0.00|2001:4878::/48,2001:4878:2000::/48,2001:4878:4000::/48,2001:4878:8000::/48,2001:4878:c000::/48
12222|arin|US|hosting|no|96|0|0.00|2001:4878:1::/48,2001:4878:6::/48,2001:4878:7::/48,2001:4878:9::/48,2001:4878:10::/48,2001:4878:33::/48,2001:4878:34::/48,2001:4878:37::/48,2001:4878:39::/48,2001:4878:102::/48,2001:4878:129::/48,2001:4878:136::/48,2001:4878:1e0::/44,2001:4878:204::/48,2001:4878:216::/48,2001:4878:217::/48,2001:4878:220::/48,2001:4878:225::/48,2001:4878:230::/48,2001:4878:321::/48,2001:4878:322::/48,2001:4878:323::/48,2001:4878:2007::/48,2001:4878:2009::/48,2001:4878:2010::/48,2001:4878:2033::/48,2001:4878:2034::/48,2001:4878:2037::/48,2001:4878:2129::/48,2001:4878:2136::/48,2001:4878:21e0::/44,2001:4878:2204::/48,2001:4878:2216::/48,2001:4878:2217::/48,2001:4878:2220::/48,2001:4878:2225::/48,2001:4878:2230::/48,2001:4878:2321::/48,2001:4878:2322::/48,2001:4878:2323::/48,2001:4878:4001::/48,2001:4878:4007::/48,2001:4878:4009::/48,2001:4878:4010::/48,2001:4878:4033::/48,2001:4878:4102::/48,2001:4878:4129::/48,2001:4878:4136::/48,2001:4878:41e0::/44,2001:4878:4204::/48,2001:4878:4216::/48,2001:4878:4217::/48,2001:4878:4220::/48,2001:4878:4225::/48,2001:4878:4230::/48,2001:4878:4321::/48,2001:4878:4322::/48,2001:4878:4323::/48,2001:4878:8006::/48,2001:4878:8007::/48,2001:4878:8009::/48,2001:4878:8010::/48,2001:4878:8033::/48,2001:4878:8034::/48,2001:4878:8037::/48,2001:4878:8102::/48,2001:4878:8129::/48,2001:4878:8136::/48,2001:4878:81e0::/44,2001:4878:8204::/48,2001:4878:8216::/48,2001:4878:8217::/48,2001:4878:8220::/48,2001:4878:8225::/48,2001:4878:8230::/48,2001:4878:8321::/48,2001:4878:8322::/48,2001:4878:8323::/48,2001:4878:c007::/48,2001:4878:c009::/48,2001:4878:c010::/48,2001:4878:c033::/48,2001:4878:c034::/48,2001:4878:c102::/48,2001:4878:c129::/48,2001:4878:c136::/48,2001:4878:c1e0::/44,2001:4878:c204::/48,2001:4878:c216::/48,2001:4878:c217::/48,2001:4878:c220::/48,2001:4878:c225::/48,2001:4878:c230::/48,2001:4878:c321::/48,2001:4878:c322::/48,2001:4878:c323::/48
18680|arin|US|business|no|7|0|0.00|2001:4878:26::/48,2001:4878:2026::/48,2001:4878:4026::/48,2001:4878:8026::/48,2001:4878:c026::/48,2600:1404:5::/48,2600:1404:9::/48
23903|apnic|IN|none|no|5|0|0.00|2001:4878:305::/48,2001:4878:2305::/48,2001:4878:4305::/48,2001:4878:8305::/48,2001:4878:c305::/48
6167|arin|US|isp|yes|4|1|25.00|2001:4888::/32,2001:4888:800e::/48,2001:4888:800f::/48,2607:f160:10::/48
