#region|date|baixa|media|alta
afrinic|20210415|8|21|43
afrinic|20210515|8|23|42
afrinic|20210615|9|28|41
afrinic|20210715|7|29|46
afrinic|20210815|9|31|42
afrinic|20210915|7|33|41
afrinic|20211015|10|32|41
afrinic|20211115|10|35|39
afrinic|20211215|15|29|43
afrinic|20220115|11|34|45
afrinic|20220215|16|32|44
afrinic|20220315|16|30|36
afrinic|20220415|18|31|41
afrinic|20220515|17|27|37
afrinic|20220615|14|27|50
afrinic|20220715|13|34|46
afrinic|20220815|15|33|50
afrinic|20220915|17|28|54
afrinic|20221015|14|30|55
afrinic|20221115|14|32|53
afrinic|20221215|17|27|55
afrinic|20230115|16|33|49
afrinic|20230215|15|30|52
afrinic|20230315|17|36|45
afrinic|20230415|19|27|43
afrinic|20230515|16|31|49
afrinic|20230615|16|29|50
afrinic|20230715|20|28|51
afrinic|20230815|24|27|48
afrinic|20230915|19|30|50
afrinic|20231015|18|33|50
afrinic|20231115|17|33|56
afrinic|20231215|18|34|53
afrinic|20240115|21|32|53
afrinic|20240215|19|35|55
afrinic|20240315|17|31|55
afrinic|20240415|22|29|59
afrinic|20240515|19|35|56
afrinic|20240615|26|33|54
apnic|20140615|20|75|72
apnic|20140715|22|64|80
apnic|20140815|24|66|79
apnic|20140915|24|63|86
apnic|20141015|22|77|77
apnic|20141115|22|78|76
apnic|20141215|23|71|88
apnic|20150115|23|78|81
apnic|20150215|24|73|86
apnic|20150315|22|70|86
apnic|20150415|23|74|89
apnic|20150515|23|78|91
apnic|20150615|23|73|96
apnic|20150715|27|79|101
apnic|20150815|23|84|94
apnic|20150915|22|85|105
apnic|20151015|22|95|111
apnic|20151115|21|97|117
apnic|20151215|26|91|114
apnic|20160115|25|100|113
apnic|20160215|27|103|111
apnic|20160315|30|113|106
apnic|20160415|29|110|121
apnic|20160515|27|107|121
apnic|20160615|31|111|124
apnic|20160715|37|110|121
apnic|20160815|38|106|128
apnic|20160915|39|111|138
apnic|20161015|37|115|144
apnic|20161115|37|116|137
apnic|20161215|42|122|136
apnic|20170115|47|111|128
apnic|20170215|40|119|129
apnic|20170315|39|120|131
apnic|20170415|44|120|126
apnic|20170515|48|115|128
apnic|20170615|45|123|131
apnic|20170715|49|139|131
apnic|20170815|46|144|130
apnic|20170915|51|152|123
apnic|20171015|55|153|119
apnic|20171115|65|145|137
apnic|20171215|63|145|143
apnic|20180115|68|142|135
apnic|20180215|65|151|138
apnic|20180315|62|153|137
apnic|20180415|68|163|136
apnic|20180515|71|157|147
apnic|20180615|72|162|151
apnic|20180715|80|167|153
apnic|20180815|81|165|153
apnic|20180915|82|172|148
apnic|20181015|76|168|158
apnic|20181115|79|170|170
apnic|20181215|81|177|173
apnic|20190115|85|180|166
apnic|20190215|80|179|182
apnic|20190315|83|192|182
apnic|20190415|86|194|187
apnic|20190515|86|197|193
apnic|20190615|92|202|181
apnic|20190715|90|214|179
apnic|20190815|90|202|201
apnic|20190915|99|188|225
apnic|20191015|97|201|220
apnic|20191115|98|211|203
apnic|20191215|103|206|206
apnic|20200115|99|214|213
apnic|20200215|96|229|205
apnic|20200315|98|224|219
apnic|20200415|93|239|227
apnic|20200515|105|231|216
apnic|20200615|101|233|221
apnic|20200715|105|230|211
apnic|20200815|109|222|210
apnic|20200915|119|219|217
apnic|20201015|118|224|211
apnic|20201115|123|230|220
apnic|20201215|123|223|222
apnic|20210115|126|216|216
apnic|20210215|123|217|228
apnic|20210315|123|218|236
apnic|20210415|124|240|229
