as_type|date|from1to24|from25to49|from50to74|from75to100
internet|20200415|99|230|891|2455
internet|20200515|92|237|852|2598
internet|20200615|95|246|869|2617
internet|20200715|102|234|910|2684
internet|20200815|109|230|894|2684
internet|20200915|99|226|933|2844
internet|20201015|97|235|901|2835
internet|20201115|104|230|903|2881
internet|20201215|105|241|893|2937
internet|20210115|106|240|909|2973
internet|20210215|113|249|933|3010
internet|20210315|118|267|964|3062
internet|20210415|115|275|964|3127
internet|20210515|113|278|1013|3207
internet|20210615|127|294|1059|3382
internet|20210715|118|273|995|3343
internet|20210815|112|283|1022|3404
internet|20210915|119|295|1080|3513
internet|20211015|117|316|1073|3512
internet|20211115|124|299|1028|3565
internet|20211215|134|281|1005|3647
internet|20220115|125|286|1072|3710
internet|20220215|129|311|1080|3798
internet|20220315|138|312|1138|3753
internet|20220415|144|311|1118|3746
internet|20220515|143|302|1140|3758
internet|20220615|124|328|1128|3862
internet|20220715|129|316|1199|3991
internet|20220815|134|328|1151|4070
internet|20220915|141|329|1153|4125
internet|20221015|129|333|1218|4068
internet|20221115|137|328|1259|4155
internet|20221215|122|321|1252|4208
internet|20230115|139|328|1232|4240
internet|20230215|142|326|1259|4372
internet|20230315|153|341|1291|4498
internet|20230415|143|350|1257|4501
internet|20230515|149|377|1262|4505
internet|20230615|147|362|1290|4423
internet|20230715|147|385|1247|4419
internet|20230815|146|375|1282|4604
internet|20230915|156|392|1288|4817
internet|20231015|149|378|1259|4733
internet|20231115|139|381|1281|4771
internet|20231215|149|369|1282|4795
internet|20240115|153|353|1273|4855
internet|20240215|151|368|1253|4915
internet|20240315|159|383|1249|4968
internet|20240415|165|411|1268|4976
internet|20240515|179|398|1259|5123
internet|20240615|155|401|1275|5156
isp|20140615|7|25|95|175
isp|20140715|10|23|96|179
isp|20140815|11|25|105|183
isp|20140915|10|26|114|179
isp|20141015|13|28|121|186
isp|20141115|15|29|123|190
isp|20141215|15|29|113|204
isp|20150115|13|31|122|206
isp|20150215|12|27|122|208
isp|20150315|14|31|114|206
isp|20150415|16|32|116|211
isp|20150515|12|31|119|209
isp|20150615|17|35|117|211
isp|20150715|18|35|114|219
isp|20150815|15|34|118|225
isp|20150915|22|37|123|218
isp|20151015|23|33|135|222
isp|20151115|22|32|137|229
isp|20151215|20|36|130|233
isp|20160115|20|39|132|242
isp|20160215|27|40|136|258
isp|20160315|21|34|127|285
isp|20160415|22|40|130|295
isp|20160515|21|35|144|287
isp|20160615|23|46|136|299
isp|20160715|23|43|139|305
isp|20160815|21|33|159|308
isp|20160915|29|34|157|310
isp|20161015|26|46|166|335
isp|20161115|15|56|157|352
isp|20161215|22|49|155|367
isp|20170115|17|51|161|358
isp|20170215|26|52|167|358
isp|20170315|24|55|170|371
isp|20170415|24|59|170|373
isp|20170515|30|61|177|378
isp|20170615|31|60|190|392
isp|20170715|29|60|176|429
isp|20170815|31|59|173|434
isp|20170915|32|58|170|451
isp|20171015|30|61|173|465
isp|20171115|30|67|187|505
isp|20171215|32|72|198|499
isp|20180115|33|76|198|508
isp|20180215|33|79|202|522
isp|20180315|34|70|230|529
isp|20180415|36|72|222|557
isp|20180515|37|71|237|549
isp|20180615|43|67|242|569
isp|20180715|43|75|247|610
isp|20180815|40|64|232|634
isp|20180915|41|64|244|629
isp|20181015|37|61|263|659
isp|20181115|35|66|255|661
isp|20181215|34|71|256|714
isp|20190115|35|72|261|730
isp|20190215|37|73|257|740
isp|20190315|35|74|292|727
isp|20190415|33|72|287|729
isp|20190515|32|71|311|735
isp|20190615|31|89|311|762
isp|20190715|36|95|314|779
isp|20190815|45|89|327|792
isp|20190915|40|89|339|832
isp|20191015|40|88|329|885
isp|20191115|35|90|326|918
isp|20191215|38|92|347|934
isp|20200115|38|91|351|971
isp|20200215|43|91|358|981
isp|20200315|39|80|369|1037
isp|20200415|47|104|382|994
isp|20200515|42|99|364|1070
isp|20200615|45|108|372|1110
isp|20200715|49|96|402|1149
isp|20200815|57|88|370|1162
isp|20200915|54|94|397|1231
isp|20201015|55|89|392|1250
isp|20201115|59|100|378|1283
isp|20201215|56|84|375|1328
