#region|date|total_ases|use_selective
internet|20170115|12697|1917
internet|20170215|12949|1950
internet|20170315|13107|1994
internet|20170415|13237|2013
internet|20170515|13409|2039
internet|20170615|13564|2105
internet|20170715|13704|2150
internet|20170815|13896|2153
internet|20170915|14016|2183
internet|20171015|14120|2192
internet|20171115|14510|2343
internet|20171215|14516|2351
internet|20180115|14634|2377
internet|20180215|14787|2423
internet|20180315|14891|2484
internet|20180415|15033|2539
internet|20180515|15183|2571
internet|20180615|15446|2602
internet|20180715|15805|2732
internet|20180815|15810|2689
internet|20180915|15897|2697
internet|20181015|16043|2750
internet|20181115|16189|2775
internet|20181215|16458|2892
internet|20190115|16526|2915
internet|20190215|16656|2947
internet|20190315|16760|3014
internet|20190415|16907|3030
internet|20190515|17162|3096
internet|20190615|17319|3162
internet|20190715|17562|3197
internet|20190815|17684|3252
internet|20190915|17910|3320
internet|20191015|18177|3395
internet|20191115|18316|3462
internet|20191215|18505|3509
internet|20200115|18757|3572
internet|20200215|18942|3584
internet|20200315|19106|3677
internet|20200415|19500|3675
internet|20200515|19757|3779
internet|20200615|19794|3827
internet|20200715|20309|3930
internet|20200815|20315|3918
internet|20200915|20794|4103
internet|20201015|20857|4068
internet|20201115|21069|4119
internet|20201215|21346|4176
internet|20210115|21544|4228
internet|20210215|21856|4305
internet|20210315|22085|4411
internet|20210415|22323|4481
internet|20210515|22611|4611
internet|20210615|23140|4862
internet|20210715|23035|4730
internet|20210815|23243|4822
internet|20210915|23586|5007
internet|20211015|23615|5018
internet|20211115|23738|5016
internet|20211215|23934|5067
internet|20220115|24109|5193
internet|20220215|24310|5318
internet|20220315|24598|5341
internet|20220415|24688|5319
internet|20220515|24797|5343
internet|20220615|24950|5442
internet|20220715|25249|5635
internet|20220815|25555|5683
internet|20220915|25696|5748
internet|20221015|25785|5748
internet|20221115|26060|5879
internet|20221215|26307|5904
internet|20230115|26474|5939
internet|20230215|26731|6099
internet|20230315|27211|6283
internet|20230415|27215|6251
internet|20230515|27369|6293
internet|20230615|27415|6222
internet|20230715|27550|6199
internet|20230815|27955|6407
internet|20230915|28398|6653
internet|20231015|28311|6519
internet|20231115|28352|6572
internet|20231215|28408|6595
internet|20240115|28628|6634
internet|20240215|28910|6687
internet|20240315|29059|6759
internet|20240415|29284|6820
internet|20240515|29489|6959
internet|20240615|29609|6987
