#type|date|observed_ases|use_aspp
business|20220115|23137|6907
business|20220215|23196|6912
business|20220315|23276|6941
business|20220415|23367|7106
business|20220515|23439|6951
business|20220615|23509|6950
business|20220715|23616|6992
business|20220815|23702|7005
business|20220915|23790|7216
business|20221015|23843|7089
business|20221115|23946|7144
business|20221215|24014|7097
business|20230115|24081|7125
business|20230215|24184|7200
business|20230315|24293|7197
business|20230415|24391|7231
business|20230515|24479|7249
business|20230615|24578|7305
business|20230715|24639|7251
business|20230815|24707|7315
business|20230915|24805|7378
business|20231015|24926|7389
business|20231115|25015|7412
business|20231215|25120|7371
business|20240115|25196|7381
business|20240215|25312|7411
business|20240315|25420|7415
business|20240415|25556|7458
business|20240515|25710|7517
business|20240615|25798|7675
education|20140615|2262|606
education|20140715|2279|607
education|20140815|2291|611
education|20140915|2302|629
education|20141015|2315|639
education|20141115|2326|646
education|20141215|2331|635
education|20150115|2334|646
education|20150215|2344|652
education|20150315|2354|655
education|20150415|2366|661
education|20150515|2377|670
education|20150615|2392|669
education|20150715|2406|668
education|20150815|2411|663
education|20150915|2423|676
education|20151015|2439|667
education|20151115|2451|670
education|20151215|2460|661
education|20160115|2476|661
education|20160215|2487|669
education|20160315|2490|675
education|20160415|2513|671
education|20160515|2518|679
education|20160615|2538|683
education|20160715|2551|674
education|20160815|2560|677
education|20160915|2572|689
education|20161015|2578|695
education|20161115|2582|681
education|20161215|2590|687
education|20170115|2604|684
education|20170215|2622|690
education|20170315|2639|708
education|20170415|2650|710
education|20170515|2657|710
education|20170615|2668|718
education|20170715|2686|726
education|20170815|2700|721
education|20170915|2712|731
education|20171015|2720|736
education|20171115|2737|744
education|20171215|2751|754
education|20180115|2772|762
education|20180215|2777|764
education|20180315|2793|806
education|20180415|2805|769
education|20180515|2820|774
education|20180615|2831|783
education|20180715|2839|782
education|20180815|2856|790
education|20180915|2873|801
education|20181015|2881|809
education|20181115|2899|795
education|20181215|2907|808
education|20190115|2920|804
education|20190215|2940|801
education|20190315|2937|804
education|20190415|2952|821
education|20190515|2973|826
education|20190615|3001|828
education|20190715|3020|844
education|20190815|3028|849
education|20190915|3040|840
education|20191015|3043|838
education|20191115|3048|837
education|20191215|3059|844
education|20200115|3069|840
education|20200215|3080|863
education|20200315|3098|859
education|20200415|3105|862
education|20200515|3110|855
education|20200615|3115|858
education|20200715|3137|867
education|20200815|3153|855
education|20200915|3163|837
education|20201015|3181|845
education|20201115|3199|857
education|20201215|3208|865
education|20210115|3224|882
education|20210215|3236|878
education|20210315|3248|879
education|20210415|3262|885
education|20210515|3274|895
education|20210615|3282|897
education|20210715|3290|899
education|20210815|3306|907
education|20210915|3327|912
education|20211015|3330|900
education|20211115|3338|893
education|20211215|3361|898
education|20220115|3369|909
education|20220215|3382|902
education|20220315|3388|915
education|20220415|3400|931
education|20220515|3412|920
education|20220615|3425|929
education|20220715|3436|939
education|20220815|3452|942
education|20220915|3453|954
education|20221015|3457|940
education|20221115|3467|941
education|20221215|3472|939
education|20230115|3484|945
education|20230215|3489|946
education|20230315|3500|941
education|20230415|3502|948
education|20230515|3506|947
education|20230615|3513|952
education|20230715|3525|937
education|20230815|3527|950
education|20230915|3535|955
education|20231015|3542|957
education|20231115|3551|954
education|20231215|3555|941
education|20240115|3558|941
education|20240215|3569|949
education|20240315|3582|959
education|20240415|3583|962
education|20240515|3592|963
education|20240615|3608|980
government|20140615|1089|241
government|20140715|1093|243
government|20140815|1101|256
government|20140915|1110|259
government|20141015|1114|257
government|20141115|1117|266
government|20141215|1123|271
government|20150115|1126|264
government|20150215|1131|268
government|20150315|1129|266
government|20150415|1132|271
government|20150515|1133|274
government|20150615|1135|268
government|20150715|1144|273
government|20150815|1148|277
government|20150915|1157|273
government|20151015|1162|269
government|20151115|1171|271
government|20151215|1177|273
government|20160115|1189|273
government|20160215|1200|285
government|20160315|1201|284
government|20160415|1205|293
government|20160515|1215|291
government|20160615|1218|289
government|20160715|1228|289
government|20160815|1236|282
government|20160915|1245|281
government|20161015|1252|293
government|20161115|1265|298
government|20161215|1274|297
government|20170115|1274|288
government|20170215|1285|288
government|20170315|1288|282
government|20170415|1294|281
government|20170515|1306|285
government|20170615|1305|288
government|20170715|1310|293
government|20170815|1317|292
government|20170915|1327|293
government|20171015|1329|297
government|20171115|1335|300
government|20171215|1340|305
government|20180115|1347|299
government|20180215|1355|298
government|20180315|1361|308
government|20180415|1368|300
government|20180515|1370|301
government|20180615|1378|305
government|20180715|1385|307
government|20180815|1393|313
government|20180915|1401|315
government|20181015|1411|313
government|20181115|1417|330
government|20181215|1422|330
government|20190115|1427|330
government|20190215|1435|334
government|20190315|1443|339
government|20190415|1456|351
government|20190515|1458|343
government|20190615|1468|358
government|20190715|1476|355
government|20190815|1480|362
government|20190915|1490|367
government|20191015|1499|369
government|20191115|1506|369
government|20191215|1517|370
government|20200115|1532|377
government|20200215|1540|393
government|20200315|1551|395
government|20200415|1554|397
government|20200515|1563|400
government|20200615|1578|404
government|20200715|1584|403
government|20200815|1600|412
government|20200915|1606|407
government|20201015|1615|401
government|20201115|1627|399
government|20201215|1631|403
government|20210115|1637|409
government|20210215|1644|412
government|20210315|1655|418
government|20210415|1666|439
government|20210515|1679|432
government|20210615|1686|425
government|20210715|1691|422
government|20210815|1694|433
government|20210915|1701|437
government|20211015|1704|443
government|20211115|1714|430
government|20211215|1724|435
government|20220115|1732|436
government|20220215|1738|432
government|20220315|1734|444
government|20220415|1744|445
government|20220515|1752|448
government|20220615|1756|449
government|20220715|1759|457
government|20220815|1768|455
government|20220915|1776|461
government|20221015|1775|456
government|20221115|1782|460
government|20221215|1789|468
government|20230115|1792|468
government|20230215|1801|477
government|20230315|1805|483
government|20230415|1817|473
government|20230515|1816|478
government|20230615|1824|485
government|20230715|1831|487
government|20230815|1836|495
government|20230915|1841|496
government|20231015|1848|490
government|20231115|1856|484
government|20231215|1862|492
government|20240115|1863|483
government|20240215|1874|489
government|20240315|1888|488
government|20240415|1897|500
government|20240515|1911|497
government|20240615|1918|508
hosting|20140615|6821|2004
hosting|20140715|6845|2028
hosting|20140815|6873|2025
hosting|20140915|6930|2048
hosting|20141015|6980|2082
hosting|20141115|7014|2069
hosting|20141215|7070|2072
hosting|20150115|7105|2080
hosting|20150215|7156|2096
hosting|20150315|7211|2101
hosting|20150415|7261|2127
hosting|20150515|7303|2114
hosting|20150615|7336|2143
hosting|20150715|7377|2158
hosting|20150815|7402|2162
hosting|20150915|7452|2160
hosting|20151015|7494|2179
hosting|20151115|7532|2177
hosting|20151215|7586|2199
hosting|20160115|7614|2209
hosting|20160215|7639|2233
hosting|20160315|7689|2255
hosting|20160415|7736|2285
hosting|20160515|7782|2279
hosting|20160615|7823|2316
hosting|20160715|7879|2305
hosting|20160815|7934|2327
hosting|20160915|7987|2335
hosting|20161015|8029|2420
hosting|20161115|8099|2366
hosting|20161215|8147|2345
hosting|20170115|8171|2365
hosting|20170215|8211|2371
hosting|20170315|8252|2457
hosting|20170415|8312|2383
hosting|20170515|8340|2402
hosting|20170615|8384|2407
hosting|20170715|8425|2411
hosting|20170815|8470|2427
hosting|20170915|8509|2455
hosting|20171015|8547|2478
hosting|20171115|8597|2523
hosting|20171215|8648|2522
hosting|20180115|8676|2523
hosting|20180215|8726|2543
hosting|20180315|8743|2645
hosting|20180415|8802|2560
hosting|20180515|8840|2571
hosting|20180615|8902|2605
hosting|20180715|8937|2626
hosting|20180815|8984|2636
hosting|20180915|9033|2646
hosting|20181015|9079|2658
hosting|20181115|9130|2700
hosting|20181215|9194|2700
hosting|20190115|9220|2715
hosting|20190215|9264|2733
hosting|20190315|9309|2775
hosting|20190415|9363|2803
hosting|20190515|9391|2817
hosting|20190615|9447|2836
hosting|20190715|9511|2856
hosting|20190815|9544|2872
hosting|20190915|9619|2859
hosting|20191015|9667|2870
hosting|20191115|9725|2910
hosting|20191215|9757|2916
hosting|20200115|9816|2965
hosting|20200215|9867|2941
hosting|20200315|9928|2927
hosting|20200415|9971|2972
hosting|20200515|10042|3005
hosting|20200615|10094|3021
hosting|20200715|10168|3025
hosting|20200815|10246|3050
hosting|20200915|10285|3053
hosting|20201015|10343|3133
hosting|20201115|10400|3124
hosting|20201215|10459|3145
hosting|20210115|10506|3173
hosting|20210215|10565|3146
hosting|20210315|10610|3191
hosting|20210415|10688|3213
hosting|20210515|10736|3254
hosting|20210615|10794|3259
hosting|20210715|10837|3271
hosting|20210815|10879|3289
hosting|20210915|10952|3316
hosting|20211015|10982|3307
hosting|20211115|11060|3309
hosting|20211215|11096|3315
hosting|20220115|11116|3358
hosting|20220215|11178|3381
hosting|20220315|11210|3382
hosting|20220415|11271|3588
hosting|20220515|11326|3388
hosting|20220615|11366|3440
hosting|20220715|11463|3451
hosting|20220815|11521|3478
hosting|20220915|11586|3627
hosting|20221015|11592|3493
hosting|20221115|11661|3478
hosting|20221215|11725|3466
hosting|20230115|11778|3478
hosting|20230215|11828|3505
hosting|20230315|11921|3527
hosting|20230415|12004|3553
hosting|20230515|12078|3591
hosting|20230615|12145|3604
hosting|20230715|12235|3615
hosting|20230815|12340|3622
hosting|20230915|12400|3617
hosting|20231015|12486|3622
hosting|20231115|12579|3650
hosting|20231215|12673|3640
hosting|20240115|12760|3642
hosting|20240215|12840|3692
hosting|20240315|12944|3721
hosting|20240415|13033|3751
hosting|20240515|13152|3759
hosting|20240615|13248|3937
isp|20140615|11059|3391
isp|20140715|11187|3418
isp|20140815|11325|3431
isp|20140915|11450|3482
isp|20141015|11561|3512
isp|20141115|11685|3570
isp|20141215|11778|3641
isp|20150115|11865|3725
isp|20150215|11963|3707
isp|20150315|12059|3736
isp|20150415|12188|3793
isp|20150515|12310|3825
isp|20150615|12413|3796
isp|20150715|12542|3817
isp|20150815|12644|3828
isp|20150915|12770|3872
isp|20151015|12894|3886
isp|20151115|13008|3885
isp|20151215|13114|3963
isp|20160115|13219|3994
isp|20160215|13345|4086
isp|20160315|13483|4126
isp|20160415|13623|4135
isp|20160515|13738|4163
isp|20160615|13898|4195
isp|20160715|14038|4272
isp|20160815|14174|4322
isp|20160915|14297|4334
isp|20161015|14415|4572
isp|20161115|14537|4527
isp|20161215|14693|4537
isp|20170115|14816|4551
isp|20170215|14961|4628
isp|20170315|15103|4837
isp|20170415|15237|4760
isp|20170515|15408|4808
isp|20170615|15613|4831
isp|20170715|15747|4883
isp|20170815|15910|4880
isp|20170915|16088|4942
isp|20171015|16231|5013
isp|20171115|16370|5107
isp|20171215|16570|5171
isp|20180115|16685|5192
isp|20180215|16863|5279
isp|20180315|16997|5672
isp|20180415|17190|5380
isp|20180515|17388|5400
isp|20180615|17557|5468
isp|20180715|17675|5567
isp|20180815|17867|5643
isp|20180915|18076|5703
isp|20181015|18241|5722
isp|20181115|18445|5870
isp|20181215|18614|5934
isp|20190115|18748|5937
isp|20190215|18944|6035
isp|20190315|19138|6116
isp|20190415|19320|6228
isp|20190515|19481|6341
isp|20190615|19686|6353
isp|20190715|19886|6457
isp|20190815|20066|6574
isp|20190915|20225|6531
isp|20191015|20428|6663
isp|20191115|20627|6741
isp|20191215|20825|6742
isp|20200115|20978|6796
isp|20200215|21212|6838
isp|20200315|21440|6992
isp|20200415|21665|7227
isp|20200515|21839|7254
isp|20200615|22015|7324
isp|20200715|22226|7388
isp|20200815|22482|7451
isp|20200915|22726|7568
isp|20201015|22900|7605
isp|20201115|23036|7667
isp|20201215|23205|7825
isp|20210115|23285|7899
isp|20210215|23418|7901
isp|20210315|23585|8024
isp|20210415|23753|8159
isp|20210515|23871|8212
isp|20210615|24005|8319
isp|20210715|24133|8426
isp|20210815|24274|8549
isp|20210915|24414|8649
isp|20211015|24517|8718
isp|20211115|24644|8776
isp|20211215|24791|8876
isp|20220115|24982|9062
isp|20220215|25132|9119
isp|20220315|25205|9175
isp|20220415|25349|9398
isp|20220515|25487|9269
isp|20220615|25628|9394
isp|20220715|25769|9428
isp|20220815|25855|9451
isp|20220915|25966|9723
isp|20221015|26066|9549
isp|20221115|26152|9540
isp|20221215|26306|9597
isp|20230115|26425|9666
isp|20230215|26504|9751
isp|20230315|26619|9781
isp|20230415|26747|9902
isp|20230515|26836|9986
isp|20230615|26934|10045
isp|20230715|27030|10004
isp|20230815|27162|10092
isp|20230915|27285|10184
isp|20231015|27412|10204
isp|20231115|27540|10302
isp|20231215|27665|10305
isp|20240115|27786|10374
isp|20240215|27903|10411
isp|20240315|28047|10449
isp|20240415|28185|10535
isp|20240515|28318|10607
isp|20240615|28433|10815
none|20140615|11405|2529
none|20140715|11445|2527
none|20140815|11459|2499
none|20140915|11470|2497
none|20141015|11447|2529
none|20141115|11463|2502
none|20141215|11515|2540
none|20150115|11514|2562
none|20150215|11543|2541
none|20150315|11553|2550
none|20150415|11588|2580
none|20150515|11606|2612
none|20150615|11607|2603
none|20150715|11623|2575
none|20150815|11629|2549
none|20150915|11642|2557
none|20151015|11633|2559
none|20151115|11629|2555
none|20151215|11653|2559
none|20160115|11631|2537
none|20160215|11668|2579
none|20160315|11656|2597
none|20160415|11680|2573
none|20160515|11679|2564
none|20160615|11668|2563
none|20160715|11670|2565
none|20160815|11680|2563
none|20160915|11677|2558
none|20161015|11653|2592
none|20161115|11627|2555
none|20161215|11629|2540
none|20170115|11601|2541
none|20170215|11601|2568
none|20170315|11576|2576
none|20170415|11577|2518
none|20170515|11523|2501
none|20170615|11515|2499
none|20170715|11478|2502
none|20170815|11432|2492
none|20170915|11401|2475
none|20171015|11376|2468
none|20171115|11356|2456
none|20171215|11368|2458
none|20180115|11300|2442
none|20180215|11291|2453
none|20180315|11289|2581
none|20180415|11244|2413
none|20180515|11225|2411
none|20180615|11150|2383
none|20180715|11106|2379
none|20180815|11098|2379
none|20180915|11055|2362
none|20181015|11031|2360
none|20181115|10991|2339
none|20181215|10906|2302
none|20190115|10853|2304
none|20190215|10783|2325
none|20190315|10748|2313
none|20190415|10704|2325
none|20190515|10670|2309
none|20190615|10595|2302
none|20190715|10551|2288
none|20190815|10526|2272
none|20190915|10485|2254
none|20191015|10422|2229
none|20191115|10329|2222
none|20191215|10230|2166
none|20200115|10191|2178
none|20200215|10100|2159
none|20200315|10091|2168
none|20200415|9987|2166
none|20200515|9919|2149
none|20200615|9875|2129
none|20200715|9787|2086
none|20200815|9735|2044
none|20200915|9665|2028
none|20201015|9550|1974
none|20201115|9478|1973
none|20201215|9384|1952
none|20210115|9240|1943
none|20210215|9178|1918
none|20210315|9053|1884
none|20210415|8954|1878
none|20210515|8830|1852
none|20210615|8732|1832
none|20210715|8626|1814
none|20210815|8486|1801
none|20210915|8441|1772
none|20211015|8272|1751
none|20211115|8166|1733
none|20211215|7986|1709
none|20220115|7931|1700
none|20220215|7781|1682
none|20220315|7579|1610
none|20220415|7429|1608
none|20220515|7333|1530
none|20220615|7153|1489
none|20220715|7070|1464
none|20220815|6911|1424
none|20220915|6772|1429
none|20221015|6514|1343
none|20221115|6334|1276
none|20221215|6171|1246
none|20230115|6020|1211
none|20230215|5764|1148
none|20230315|5591|1111
none|20230415|5445|1076
none|20230515|5229|1033
none|20230615|5042|1005
none|20230715|4794|942
none|20230815|4616|938
none|20230915|4434|889
none|20231015|4259|851
none|20231115|3988|787
none|20231215|3762|738
none|20240115|3554|662
none|20240215|3323|639
none|20240315|3076|595
none|20240415|2820|540
none|20240515|2614|489
none|20240615|2318|433
internet|20140615|46564|12544
internet|20140715|46891|12644
internet|20140815|47167|12638
internet|20140915|47477|12825
internet|20141015|47712|12908
internet|20141115|47985|12989
internet|20141215|48306|13165
internet|20150115|48499|13284
internet|20150215|48803|13291
internet|20150315|49037|13381
internet|20150415|49394|13563
internet|20150515|49730|13653
internet|20150615|49974|13644
internet|20150715|50275|13657
internet|20150815|50492|13641
internet|20150915|50818|13770
internet|20151015|51091|13830
internet|20151115|51382|13846
internet|20151215|51676|13944
internet|20160115|51879|13991
internet|20160215|52201|14204
internet|20160315|52505|14345
internet|20160415|52839|14388
internet|20160515|53140|14434
internet|20160615|53455|14545
internet|20160715|53767|14657
internet|20160815|54071|14751
internet|20160915|54372|14835
internet|20161015|54616|15322
internet|20161115|54851|15155
internet|20161215|55174|15128
internet|20170115|55370|15169
internet|20170215|55703|15389
internet|20170315|55976|15758
internet|20170415|56308|15532
internet|20170515|56573|15628
internet|20170615|56961|15710
internet|20170715|57206|15771
internet|20170815|57493|15778
internet|20170915|57817|15908
internet|20171015|58081|16052
internet|20171115|58383|16243
internet|20171215|58760|16361
internet|20180115|58931|16362
internet|20180215|59280|16563
internet|20180315|59555|17371
internet|20180415|59864|16634
internet|20180515|60216|16718
internet|20180615|60479|16822
internet|20180715|60676|16969
internet|20180815|61038|17097
internet|20180915|61363|17227
internet|20181015|61665|17311
internet|20181115|62012|17521
internet|20181215|62278|17620
internet|20190115|62472|17652
internet|20190215|62809|17842
internet|20190315|63118|18038
internet|20190415|63464|18307
internet|20190515|63746|18424
internet|20190615|64048|18464
internet|20190715|64408|18637
internet|20190815|64725|18802
internet|20190915|65071|18716
internet|20191015|65415|18922
internet|20191115|65733|19125
internet|20191215|66006|19023
internet|20200115|66298|19181
internet|20200215|66633|19243
internet|20200315|67056|19492
internet|20200415|67321|19842
internet|20200515|67595|19890
internet|20200615|67915|20026
internet|20200715|68252|20077
internet|20200815|68635|20137
internet|20200915|68973|20233
internet|20201015|69254|20356
internet|20201115|69527|20444
internet|20201215|69799|20689
internet|20210115|69866|20820
internet|20210215|70142|20750
internet|20210315|70390|20983
internet|20210415|70678|21207
internet|20210515|70802|21267
internet|20210615|71025|21380
internet|20210715|71178|21459
internet|20210815|71328|21724
internet|20210915|71621|21848
internet|20211015|71692|21925
internet|20211115|71883|21963
internet|20211215|72019|22106
internet|20220115|72267|22372
internet|20220215|72407|22428
internet|20220315|72392|22467
internet|20220415|72560|23076
internet|20220515|72749|22506
internet|20220615|72837|22651
internet|20220715|73113|22731
internet|20220815|73209|22755
internet|20220915|73343|23410
internet|20221015|73247|22870
internet|20221115|73342|22839
internet|20221215|73477|22813
internet|20230115|73580|22893
internet|20230215|73570|23027
internet|20230315|73729|23040
internet|20230415|73906|23183
internet|20230515|73944|23284
internet|20230615|74036|23396
internet|20230715|74054|23236
internet|20230815|74188|23412
internet|20230915|74300|23519
internet|20231015|74473|23513
internet|20231115|74529|23589
internet|20231215|74637|23487
internet|20240115|74717|23483
internet|20240215|74821|23591
internet|20240315|74957|23627
internet|20240415|75074|23746
internet|20240515|75297|23832
internet|20240615|75323|24348
