as_type|date|tam_1|tam_2|tam_3|tam_4plus
isp|20150615|1262|880|649|1005
isp|20150715|1254|898|651|1014
isp|20150815|1272|883|644|1029
isp|20150915|1285|892|656|1039
isp|20151015|1281|912|659|1034
isp|20151115|1262|926|671|1026
isp|20151215|1332|939|665|1027
isp|20160115|1348|943|671|1032
isp|20160215|1390|951|690|1055
isp|20160315|1389|980|691|1066
isp|20160415|1376|985|676|1098
isp|20160515|1359|1003|708|1093
isp|20160615|1363|999|716|1117
isp|20160715|1362|1047|726|1137
isp|20160815|1375|1069|733|1145
isp|20160915|1386|1069|738|1141
isp|20161015|1572|1071|747|1182
isp|20161115|1501|1083|731|1212
isp|20161215|1473|1102|745|1217
isp|20170115|1465|1098|761|1227
isp|20170215|1503|1109|782|1234
isp|20170315|1618|1156|825|1238
isp|20170415|1487|1197|853|1223
isp|20170515|1508|1199|856|1245
isp|20170615|1536|1202|809|1284
isp|20170715|1525|1233|835|1290
isp|20170815|1519|1200|860|1301
isp|20170915|1547|1215|867|1313
isp|20171015|1578|1235|876|1324
isp|20171115|1615|1278|891|1323
isp|20171215|1666|1261|903|1341
isp|20180115|1649|1285|914|1344
isp|20180215|1684|1294|934|1367
isp|20180315|2010|1324|943|1395
isp|20180415|1690|1347|930|1413
isp|20180515|1674|1350|948|1428
isp|20180615|1665|1359|963|1481
isp|20180715|1681|1401|956|1529
isp|20180815|1732|1447|958|1506
isp|20180915|1747|1437|986|1533
isp|20181015|1740|1444|975|1563
isp|20181115|1753|1478|1032|1607
isp|20181215|1798|1478|1030|1628
isp|20190115|1774|1506|995|1662
isp|20190215|1837|1524|1026|1648
isp|20190315|1875|1527|1044|1670
isp|20190415|1894|1549|1075|1710
isp|20190515|1944|1587|1115|1695
isp|20190615|1964|1545|1125|1719
isp|20190715|1994|1583|1130|1750
isp|20190815|2008|1664|1140|1762
isp|20190915|1975|1634|1162|1760
isp|20191015|1995|1646|1202|1820
isp|20191115|2027|1652|1202|1860
isp|20191215|2046|1645|1190|1861
isp|20200115|2083|1662|1215|1836
isp|20200215|2105|1662|1214|1857
isp|20200315|2170|1709|1240|1873
isp|20200415|2313|1776|1233|1905
isp|20200515|2288|1772|1277|1917
isp|20200615|2321|1767|1266|1970
isp|20200715|2321|1814|1282|1971
isp|20200815|2345|1822|1348|1936
isp|20200915|2403|1822|1354|1989
isp|20201015|2461|1814|1356|1974
