#date|total_ases|aspp_and_moreSpecific|aspp_and_selective|more_specific_and_selective|all_three|just_aspp|just_more_specific|just_selective
20220415|72819|8486|12145|13569|5318|9418|5319|5905
20220515|73004|8318|11901|13524|5359|9111|5360|6129
20220615|73108|8379|12128|13636|5328|9076|5329|6075
20220715|73428|8474|12226|13815|5370|9054|5371|6197
20220815|73483|8468|12212|13730|5419|9088|5420|6119
20220915|73682|8717|12562|13787|5403|9351|5404|6075
20221015|73579|8468|12319|13611|5454|9095|5455|6158
20221115|73646|8437|12190|13582|5433|9189|5434|6115
20221215|73779|8455|12150|13673|5450|9166|5451|6097
20230115|73895|8485|12237|13667|5437|9155|5438|6104
20230215|73907|8549|12272|13701|5396|9245|5397|6065
20230315|74026|8617|12367|13706|5439|9167|5440|6041
20230415|74251|8659|12451|13788|5373|9202|5374|6085
20230515|74267|8730|12552|13758|5378|9212|5379|6091
20230615|74355|8728|12533|13767|5401|9341|5402|6067
20230715|74375|8653|12517|13803|5351|9250|5352|6017
20230815|74498|8679|12686|13955|5233|9274|5234|6420
20230915|74634|8669|12775|14037|5021|9348|5022|6441
20231015|74769|8646|12722|14054|5045|9380|5046|6445
20231115|74855|8706|12759|13960|5065|9362|5066|6453
20231215|74952|8631|12695|13935|5088|9375|5089|6408
20240115|75045|8666|12693|13933|5083|9344|5084|6469
20240215|75153|8654|12652|13831|5119|9455|5120|6141
20240315|75281|8669|12745|13887|5082|9401|5083|6445
20240415|75409|8729|12861|14000|5016|9416|5017|6514
20240515|75606|8724|12872|13984|4994|9486|4995|6558
20240615|75657|8877|13156|13999|4932|9698|4933|6463
