asn|aspp_average|moreSpecific_average|selective_average
1001|100.0||100.0
1002|||100.0
1003|60.0||100.0
1004|100.0||
1008|||100.0
1009|61.54||49.85
1011|50.0||100.0
1012|||80.0
1024|100.0||
1030|||100.0
1031|16.1|14.85|100.0
1035|100.0|37.3|0.0
1040||17.81|70.43
1041|78.95|34.92|0.0
1043|||50.0
1050|||83.33
1053|100.0||
1077|||97.37
1078||50.0|0.0
1082|||53.33
1084|100.0||
1085|100.0||
1086|||27.67
1088|100.0||100.0
1100|||65.33
1101|5.88|16.41|88.53
1102|||64.03
1103|38.53|25.66|99.26
1104|14.56|8.72|100.0
1109||50.0|
1110||49.82|
1111||49.03|100.0
1113||50.0|
1114||50.0|
1117||50.0|
1120||25.0|88.0
1124||35.31|
1125|75.0|50.0|
1126|20.0|19.22|86.57
1128||49.8|
1132|100.0||100.0
1133||44.33|100.0
1134||12.23|100.0
1136|55.78|11.76|70.24
1140|97.62|25.0|58.88
1142||33.33|0.0
1147|84.51|50.0|94.0
1149|68.33|42.59|42.86
1150|83.34|33.33|
1161||27.92|
1199||48.72|
1200|78.38|21.11|99.32
1201|94.13|16.45|6.43
1202||2.67|100.0
1204|49.53|12.45|96.73
1205||25.0|
1206||25.0|
1208||43.87|
1213|86.02|35.64|19.66
1216|||50.0
1217|25.0||74.12
1218|100.0||95.06
1219|60.0|20.0|100.0
1221||2.53|63.6
1222|61.9||87.57
1224|67.23|39.31|41.32
1226|88.87|12.08|18.31
1234|28.68|25.63|89.95
1236|40.74||100.0
1237|99.08|10.61|18.06
1239|6.55|4.87|100.0
1241|29.44|33.91|99.66
1246|1.57|1.09|98.45
1248|21.44|18.89|99.98
1249|92.5|24.17|0.0
1251|16.9|20.34|94.23
1252|82.88|15.48|48.6
1254||28.57|
1255|25.0|28.62|
1256||17.16|
1257|56.12|4.78|99.9
1258|100.0||
1261|62.98|15.83|69.08
1265||26.85|0.0
1267|22.01|35.63|99.81
1273|1.59|8.11|100.0
1277|32.69||100.0
1280|12.76|4.87|63.18
1286|83.92||92.64
1287|70.84||100.0
1289|75.36|25.24|25.74
1290|9.79|8.11|99.19
1293|82.03||24.5
1294|25.62|4.25|100.0
1295|91.59|1.48|98.0
1299|98.23|3.59|100.0
1301|53.82|9.37|44.47
1303||17.87|
1307||49.66|
1311|34.64|13.71|93.96
1312|83.33|15.48|
1313|41.32|24.85|100.0
1315|100.0||
1317||13.33|
1321||5.81|100.0
1325|91.05||40.08
1326|19.92|25.0|94.0
1328|||100.0
1337||7.14|
1339|20.76|9.23|100.0
1341|44.32|9.74|98.24
1342|79.21|17.89|45.51
1343|72.53|12.37|100.0
1347||7.69|100.0
1348|73.09|12.58|92.15
1350||15.39|
1351|66.67|43.61|19.76
1355|69.15||52.38
1358|19.82||99.98
1359|100.0||
1378|99.55|11.14|32.16
1379|12.5|22.0|100.0
1382|77.38|25.0|95.71
1396|100.0||
1397|28.59||89.45
1398|100.0||
1399|53.01|5.55|96.4
1400|96.67||50.0
1402|65.53||75.0
1403|73.66|13.89|67.83
1404|82.54||92.73
1405|100.0||
1406|61.54|18.12|100.0
1407|100.0||
1409|23.38|10.83|57.0
1410||7.86|94.38
1411|98.23|28.43|3.45
1412||33.33|
1414|46.15|49.02|91.74
1415|31.58||67.34
1416|28.09|42.26|41.17
1419|34.8||100.0
1420|100.0||60.0
1421|7.43|8.29|100.0
1422|64.17||59.4
1423|77.43||43.4
1427|100.0||
1428|95.45||50.0
1429|100.0||
1430|94.44||100.0
1432|93.07|36.05|2.7
1434|100.0||
1435|||57.6
1436|100.0||
1437|96.75||50.0
1438|100.0||82.14
1439|||100.0
1440|100.0||
1442||22.67|14.26
1443|33.33|23.42|100.0
1445|100.0||
1446|59.88||51.43
1447|43.63|25.0|51.19
1448|6.9|23.59|29.16
1449|11.82||99.77
1451|8.33|10.75|
1452|6.58|6.68|100.0
1453|88.28|13.29|
1455|100.0||77.0
1458||19.06|
1460||33.33|
1461|16.67||
1462|9.81|30.36|
1463|92.31|8.12|
1464||11.54|
1465|75.0||
1466|25.11|21.0|
1467|9.53|11.65|
1468||12.7|
1472|48.34|10.14|
1474|57.27|21.37|
1475||25.0|
1476||17.5|
1477|4.63|12.38|
1479||6.09|
1480|80.0|6.7|
1482||8.34|
1483|50.0|41.11|
1484||39.81|
1488|7.85|38.25|
1489||9.82|
1490|26.54||100.0
1491|10.51|17.91|
1493|27.26||100.0
1494|3.35|4.82|100.0
1495||25.93|
1498|31.16|7.47|
1500||15.65|
1501||6.09|
1502|18.21|4.61|
1503|2.33|6.82|
1504|7.59|5.35|
1505|55.8|12.71|
1506|67.5|21.36|
1508|||50.0
1509|10.95|4.82|
1510||27.39|
1515||25.53|
1516|65.9|7.84|92.0
1519||33.33|
1524|34.21|33.33|
1525|78.62|30.49|100.0
1526|16.18||
1527|38.08|12.16|
1528|50.0|25.0|
1530||6.19|
1531|16.81||
1533||28.59|
1535||25.93|
1537||9.93|
1539|100.0|3.03|
1540||3.36|
1541||2.23|97.0
1544|||100.0
1547|25.33|12.5|99.45
1551||43.1|
1554|39.39|19.83|100.0
1555||21.32|
1556||28.68|
1559||26.98|
1562||26.59|
1563|||100.0
1565||42.06|
1567||50.0|
1568||30.08|
1569||23.06|
1580||17.79|100.0
1582||29.16|
1585||36.17|
1586||38.54|0.0
1590|7.23|2.88|
1591|12.37|2.47|100.0
1598|40.0||
1600|6.19|5.11|
1602|26.16|17.92|66.33
1605|28.89|20.0|96.69
1609|68.52||95.13
1610|13.98|6.51|23.86
1611|100.0||
1612||6.09|60.08
1613|||48.0
1614|51.95||100.0
1615|100.0||50.0
1616|28.28||95.26
1617|100.0||50.0
1618|||50.0
1620|50.0|33.33|23.47
1621||33.6|76.82
1623|||100.0
1624|100.0||
1625|100.0||100.0
1627|100.0||
1629|55.56||57.29
1631|||100.0
1632||50.0|46.22
1633|||100.0
1635|98.71||26.41
1636|||50.0
1637|12.5|15.37|
1638|100.0|33.33|13.33
1640|56.24|16.03|18.95
1641|50.0||99.57
1642|30.85||69.93
1645|||55.0
1646|100.0||100.0
1647|25.0||97.5
1648|100.0|26.71|37.33
1649|81.62|14.88|50.0
1651||8.61|0.0
1652|50.0||100.0
1653||5.96|88.42
1655||50.0|
1657|7.73|41.77|100.0
1659|13.72|9.96|76.79
1660||1.29|
1661|||98.07
1668|91.93|11.64|95.67
1676|||85.71
1678|11.07|4.48|100.0
1680|25.13|10.12|100.0
1689|||100.0
1695|||100.0
1696|37.27||86.77
1698||25.71|
1699||1.96|100.0
1700|100.0||
1701||50.0|100.0
1702|100.0||
1704|25.0|21.92|87.79
1705|4.38||8.49
1706|84.24|5.83|71.36
1708||19.74|100.0
1709|100.0||
1712||25.03|2.92
1715||44.47|83.0
1723||49.65|
1724||47.89|100.0
1725||50.0|
1729|23.72|10.38|95.42
1730|85.24|20.0|0.0
1733|22.25||99.32
1734|66.67|27.08|52.61
1736|1.23|1.48|0.0
1738|66.73|16.73|79.75
1739||33.33|
1741|69.93|11.8|47.52
1742|77.08|9.74|54.79
1746||4.33|47.95
1747|86.09|16.67|0.0
1749||25.0|100.0
1754||31.75|100.0
1756|42.35|2.88|99.39
1757|50.0|3.91|92.87
1759|0.93|2.56|13.46
1761|17.96|16.97|8.66
1764|3.48|8.62|79.54
1766|4.04|3.7|100.0
1767||13.97|
